Name         Age Nat St Tk Ps Sh Ag KAb TAb PAb SAb Gam Sub  Min Mom Sav Con Ktk Kps Sht Gls Ass  DP Inj Sus Fit
----------------------------------------------------------------------------------------------------------------
K_Naumovski  25  mac 11  2  4  4 11 285  60 110 100   0   0    0   0   0   0   0   0   0   0   0   0   0   0 100
C_Balgradean 25  rom 13  2  5  3 13 305  60 110 100   0   0    0   0   0   0   0   0   0   0   0   0   0   0 100
C_Nica       20  rom  2 13 10  7 10  60 385 275 190   0   0    0   0   0   0   0   0   0   0   0   0   0   0 100
C_Scutaru    26  rom  2 12 10  8 11  60 335 250 190   0   0    0   0   0   0   0   0   0   0   0   0   0   0 100
N_Musat      27  rom  2 12 10  8  9  60 335 250 190   0   0    0   0   0   0   0   0   0   0   0   0   0   0 100
A_Radu       17  rom  2 10  9  8 12  60 280 215 175   0   0    0   0   0   0   0   0   0   0   0   0   0   0 100
S_Homei      26  rom  2 11 10  6 10  60 325 275 185   0   0    0   0   0   0   0   0   0   0   0   0   0   0 100
S_Stratila   27  rom  2 11 10  7 11  60 325 275 195   0   0    0   0   0   0   0   0   0   0   0   0   0   0 100
D_Grigore    27  rom  2 13 10  6 10  60 385 275 175   0   0    0   0   0   0   0   0   0   0   0   0   0   0 100
S_Luchin     27  rom  2 13 10  6 13  60 385 275 175   0   0    0   0   0   0   0   0   0   0   0   0   0   0 100
A_Dandea     26  rom  2 12 10  8 12  60 335 250 190   0   0    0   0   0   0   0   0   0   0   0   0   0   0 100
I_Burnea     21  rom  2 11  9  7 10  60 325 275 195   0   0    0   0   0   0   0   0   0   0   0   0   0   0 100
D_Rotariu    18  rom  2  8 13 11 12  60 185 355 290   0   0    0   0   0   0   0   0   0   0   0   0   0   0 100
C_Matei      22  rom  2  9 13 10 13  60 260 330 215   0   0    0   0   0   0   0   0   0   0   0   0   0   0 100
C_Munteanu   35  rom  2 10 12  6 12  60 265 280 185   0   0    0   0   0   0   0   0   0   0   0   0   0   0 100
M_Alexe      23  rom  2  9 13 11 14  60 215 355 290   0   0    0   0   0   0   0   0   0   0   0   0   0   0 100
M_Boubacar   25  sen  2 11 12  6 12  60 265 280 185   0   0    0   0   0   0   0   0   0   0   0   0   0   0 100
A_Curtean    26  rom  2  8 13 10 13  60 210 330 215   0   0    0   0   0   0   0   0   0   0   0   0   0   0 100
L_Rus        28  rom  2 11 12  7 10  60 265 280 185   0   0    0   0   0   0   0   0   0   0   0   0   0   0 100
M_Roman      21  rom  2  8 11 10 11  60 190 325 215   0   0    0   0   0   0   0   0   0   0   0   0   0   0 100
R_Stanescu   20  rom  2  8 11 10 14  60 215 335 220   0   0    0   0   0   0   0   0   0   0   0   0   0   0 100
S_Filip      20  rom  2  9 12 10  9  60 230 335 220   0   0    0   0   0   0   0   0   0   0   0   0   0   0 100
M_Axente     26  rom  2  6  9 12 11  60 130 205 335   0   0    0   0   0   0   0   0   0   0   0   0   0   0 100
A_Cristea    29  rom  2  6 11 12 12  60 115 305 320   0   0    0   0   0   0   0   0   0   0   0   0   0   0 100
A_Tudose     26  rom  2  6  9 11  9  60 130 205 310   0   0    0   0   0   0   0   0   0   0   0   0   0   0 100
M_Niculae    32  rom  2  6 11 13 14  60 115 305 320   0   0    0   0   0   0   0   0   0   0   0   0   0   0 100
