Name         Age Nat St Tk Ps Sh Ag KAb TAb PAb SAb Gam Sub  Min Mom Sav Con Ktk Kps Sht Gls Ass  DP Inj Sus
------------------------------------------------------------------------------------------------------------
K_Wyssbrod    19 usa 18  1  1  1  8 947 588 588 588   0   0    0   0   0   0   0   0   0   0   0   0   0   0
F_Mutchler    19 can 16  1  1  1 11 520 588 588 588   0   0    0   0   0   0   0   0   0   0   0   0   0   0
I_Buttar      17 gha 15  1  1  1 31 373 444 444 444   0   0    0   0   0   0   0   0   0   0   0   0   0   0
O_Gumaer      19 arg  1 18  7  3  9 588 159 749 565   0   0    0   0   0   0   0   0   0   0   0   0   0   0
F_Cullumber   19 nzl  1 17  3  4 52 444 579 184 524   0   0    0   0   0   0   0   0   0   0   0   0   0   0
D_Futo        19 por  1 17  5  7 63 444 335 858 351   0   0    0   0   0   0   0   0   0   0   0   0   0   0
S_Gutman      19 usa  1 17  8  7 54 444  41 850 805   0   0    0   0   0   0   0   0   0   0   0   0   0   0
U_Bunday      18 ivo  1 16  6 11 46 588 709 676 496   0   0    0   0   0   0   0   0   0   0   0   0   0   0
O_Beiring     19 swe  1 15  4 10 59 732 676 266 636   0   0    0   0   0   0   0   0   0   0   0   0   0   0
O_Mulhare     17 nir  1 15  7  9  8 444 450  80 316   0   0    0   0   0   0   0   0   0   0   0   0   0   0
D_Dutrau      18 xxx  1 15  2  3 12 300 197 364 151   0   0    0   0   0   0   0   0   0   0   0   0   0   0
P_Kudrna      17 xxx  1 13  2  5 33 300 107 136 162   0   0    0   0   0   0   0   0   0   0   0   0   0   0
F_Czerniak    19 cze  1  9 17  3 13 588 595 936 503   0   0    0   0   0   0   0   0   0   0   0   0   0   0
W_Durden      18 ire  1  5 16  6 13 444  16 634 721   0   0    0   0   0   0   0   0   0   0   0   0   0   0
I_Overland    18 xxx  1 10 16  6 15 300 305 638 825   0   0    0   0   0   0   0   0   0   0   0   0   0   0
D_Szpek       17 rus  1  3 15  7 31 444 815 453 480   0   0    0   0   0   0   0   0   0   0   0   0   0   0
D_Guice       17 fra  1  3 15 10 13 444 757 228 431   0   0    0   0   0   0   0   0   0   0   0   0   0   0
C_Munder      18 xxx  1  4 15  4 13 300 157 135 343   0   0    0   0   0   0   0   0   0   0   0   0   0   0
P_Awde        17 xxx  1  3 15  6 54 300 335 662 263   0   0    0   0   0   0   0   0   0   0   0   0   0   0
H_Purkis      17 xxx  1  7 14  6 64 300 126 526 519   0   0    0   0   0   0   0   0   0   0   0   0   0   0
O_Jungknecht  17 xxx  1  5 14  4 16 300 546 131 485   0   0    0   0   0   0   0   0   0   0   0   0   0   0
K_June        16 xxx  1  9 13  2  9 300 148 136 306   0   0    0   0   0   0   0   0   0   0   0   0   0   0
V_Duzant      19 fra  1  4  5 18 13 480 665 446 131   0   0    0   0   0   0   0   0   0   0   0   0   0   0
M_Plumlee     18 eng  1 12  1 16 42 444 536 798 745   0   0    0   0   0   0   0   0   0   0   0   0   0   1
H_Worthing    16 xxx  1  1  9 14 14 300 797 309 237   0   0    0   0   0   0   0   0   0   0   0   0   0   0
