Name         Age Nat St Tk Ps Sh Ag KAb TAb PAb SAb Gam Sub  Min Mom Sav Con Ktk Kps Sht Gls Ass  DP Inj Sus
------------------------------------------------------------------------------------------------------------
X_Werchand    26 ger 26  2  2  2 42  27 653 653 653  18   0 1708   0  77  25   0   0   0   0   0   3   0   0
J_Varnon      22 sco 20  2  2  2 39 946 265 265 265   2   1  133   0   7   4   0   0   0   0   0   0   0   0
Ronald_McD    35 arm  1  1  1  1 99 121 121 121 121   0   0    0   0   0   0   0   0   0   0   0   0   0   0
A_Roberson    26 sco  1 25  5 16 39 580 183 772 965  18   0 1631   1   0   0  16   5  18   4   0   9   0   0
R_Zelaya      29 sen  2 24 14 10 50 829 116  87 585  18   2 1642   1   0   0  15   5   7   0   1  12   0   0
X_Izer        24 arg  1 23 14  2  2 580 477 922 549  19   0 1773   3   0   0  18  20   3   1   2   0   0   0
K_Kimbler     28 sco  2 23  4 11 25 399 787 830 232  14   0 1213   0   0   0  14   5   8   0   0   9   0   0
C_Lombardi    22 ita  1 23 12  8 21 688 372 599  10  17   0 1572   1   0   0  21  12   5   2   0  16   0   0
G_Jasnau      28 bol  2 22  4  8 11 501 398 548 429   2   1  148   0   0   0   2   0   0   0   0   0   0   0
U_Seten       31 hun  3 20  6 11 37  36 892 675  80  11   4  923   1   0   0  15   2   9   0   0   0   0   0
L_Lybrook     17 eng  1 14  7  5 29 580 448 474 447   0   0    0   0   0   0   0   0   0   0   0   0   0   0
N_Hylaszak    26 slo  1 13 24  5 24 580 783 871 753  19   0 1771   1   0   0  10  25   6   1   1   6   0   0
K_Miyazaki    26 jap  2  4 24 14 26 209 975 525 782  19   0 1841   0   0   0   1  29  19   1   2   9   0   0
C_Remington   28 usa  2 12 24  5 12 636 200 713 457  19   0 1841   0   0   0   3  42   3   0   3   0   0   0
D_Brassneck   29 usa  2 11 24 16 43 532 353 988 592  19   0 1715   0   0   0   5  35  16   0   2   9   0   0
F_Thibedeau   25 fra  2  4 21  7 15 427 416 741 812   1   1   70   0   0   0   0   1   0   0   0   0   0   0
G_Yates       25 eng  2  5 21 10 24 478 832 415 572   1   0   94   0   0   0   0   1   1   0   0   0   0   0
S_Theriault   20 fra  1  8 20  5 41 850 941 449 598   0   0    0   0   0   0   0   0   0   0   0   0   0   0
A_Nakamura    25 jap  1  2 13 24 22 770 957 211 144  15   0 1440   0   0   0   2   7  41   8   1   3   0   0
T_Karker      30 ire  3  6  9 23  7 267 551 767 603  10   4  592   1   0   0   2   0   9   4   0  10   0   0
T_Paynton     22 eng  2  8 14 21 24 265 363 234 329  15   2 1340   0   0   0   4  12  19   4   1   0   0   0
