Name         Age Nat St Tk Ps Sh Ag KAb TAb PAb SAb Gam Sub  Min Mom Sav Con Ktk Kps Sht Gls Ass  DP Inj Sus
------------------------------------------------------------------------------------------------------------
G_Hawco       19 nig 17  1  1  1  8 185 826 826 826  12   0 1082   0  57  21   0   0   0   0   0   0   0   0
P_Duppong     19 nig 16  1  1  1 53 588 682 682 682   3   0  219   0  22   2   0   0   0   0   0   0   0   0
J_Eysink      19 swe  1 18 13  4 22 556 870 332 765  17   0 1615   0   0   0  30  14  13   0   0   0   0   0
P_Ryburn      18 sco  1 18  8  4  8 682 504 517  20  17   0 1615   1   0   0  34  13   9   0   1   3   0   0
K_Huntsinger  18 hol  1 17  8  3 27 682 117 679 882  11   0 1046   0   0   0  18   5   4   1   0  13   0   0
D_Hufnagel    17 ger  1 17 11  2 33 556  12 568 567  14   0 1302   2   0   0  31  13   7   0   0  13   0   0
N_Ryther      17 sco  1 16  3  8 17 412 344 241 473   9   0  849   0   0   0  14   5   8   1   0   0   0   0
U_Bury        18 eng  1 16  7  9 21 412  29 591  45   0   0    0   0   0   0   0   0   0   0   0   0   0   0
V_Bushman     18 aus  1 15  4  6 18 556 204 813 747   0   0    0   0   0   0   0   0   0   0   0   0   0   0
H_Cushman     19 usa  1  7 18  2 10 693 321 552 896  17   0 1615   0   0   0   5  40   9   0   4   6   0   0
M_Provins     18 sco  1  4 18  9 49 682 438 194 705  13   0 1205   1   0   0   5  31  15   2   3  12   0   0
S_Furze       19 spa  1  4 17  6 33 682  51 719 622  17   0 1615   0   0   0   2  31  24   2   4   3   0   0
M_Azzarello   18 ita  1  3 16  6 10 682 941 635 430  10   0  952   0   0   0   4  13   8   2   1   3   0   0
D_Kusch       18 ger  1  6 16  9 15 556 459 190 283   2   1  126   0   0   0   0   3   0   0   1   0   0   0
U_Hulot       17 gha  1  8 15 13 15 556 724 588 940   6   0  569   1   0   0   3  11   9   1   2   0   0   0
W_Woolnough   17 nir  1  4 15 12 34 556 227 415 661   0   0    0   0   0   0   0   0   0   0   0   0   0   0
O_Durgin      16 ire  1  3 15  7 27 412 940 136   7   0   0    0   0   0   0   0   0   0   0   0   0   0   0
W_Hybarger    17 den  1  2 15  6 19 412 597  78 373   0   0    0   0   0   0   0   0   0   0   0   0   0   0
J_Lyth        16 sco  1  7  5 15  9 412 121 844 793  16   0 1496   1   0   0   3   4  55  10   0   0   0   0
B_Suess       18 swi  1  9  4 15 57 682 402 952 503   8   0  760   1   0   0   4   3  22   2   0   0   0   0
J_Hyttila     17 col  1  6  8 15 14 556 559 235 415  14   0 1328   0   0   0   3   7  41   3   0   3   0   0
C_Vorley      16 sco  1  8 11 14 26 412  73   9 397   1   1   24   0   0   0   0   0   1   0   0   0   0   0
