Name         Age Nat St Tk Ps Sh Ag KAb TAb PAb SAb Gam Sub  Min Mom Sav Con Ktk Kps Sht Gls Ass  DP Inj Sus
------------------------------------------------------------------------------------------------------------
M_Rypski      19 rus 18  1  1  1 39   1 610 610 610   5   0  473   0  24   9   0   0   0   0   0   0   0   0
C_Kutassy     18 fin 15  1  1  1 18 963 610 610 610   0   0    0   0   0   0   0   0   0   0   0   0   0   0
O_Swinn       16 xxx 14  1  1  1  8 799 340 340 340   0   0    0   0   0   0   0   0   0   0   0   0   0   0
J_Helppi      19 fin  1 18  4  7 39 466 596 104 925   5   0  473   0   0   0   9   1   0   0   0   0   0   0
J_Mercier     18 can  1 17  9  3 26 466 327 992  75   5   0  473   0   0   0   6   4   0   0   0   3   0   0
S_Trickett    18 eng  1 16  2  7 18 466  87  50 211   1   1   88   0   0   0   2   0   0   0   0   0   0   0
J_Koon        19 usa  1 15  5  4  8 466 589 722 465   0   0    0   0   0   0   0   0   0   0   0   0   0   0
Q_Curryer     18 spa  1 15  7  4 49 466  33 829 201   5   0  473   0   0   0   6   1   0   0   0   0   0   0
S_Muenchau    18 xxx  1 14  3  6 18 340 916 398 428   0   0    0   0   0   0   0   0   0   0   0   0   0   0
Q_Nyas        17 xxx  1 14  5  4 56 340 743 765 682   5   0  473   0   0   0   8   3   4   1   0   3   0   0
M_Rukin       16 xxx  1 14  3  3 20 340 683 570 285   4   0  290   0   0   0   2   3   1   0   0   0   2   0
K_Suchar      18 rom  1 13  9  3 29 466 709 304 137   0   0    0   0   0   0   0   0   0   0   0   0   0   0
M_Dyssel      18 bul  1 13  8  5 45 466 569 681 243   0   0    0   0   0   0   0   0   0   0   0   0   0   0
D_Hugeback    16 xxx  1 13  6  3 19 340 723 513 318   0   0    0   0   0   0   0   0   0   0   0   0   0   0
U_Workley     17 xxx  1 13  6  2 35 340 466 496 695   0   0    0   0   0   0   0   0   0   0   0   0   0   0
I_Sahamies    18 fin  1 10 17 13  8 466 575 502  30   5   0  473   0   0   0   5   6   5   1   0   3   0   0
M_Ho          19 usa  1  4 17 15 26 466 929 975 899   5   0  473   0   0   0   1   5   3   1   1   0   0   0
R_Puhn        18 aut  1  4 16  6 56 610 580 870 988   5   4  204   0   0   0   1   5   1   0   0   0   0   0
P_Wranik      18 ger  1  9 14 10 14 466  23 651 957   5   0  364   0   0   0   1   8   4   0   1   3   0   0
A_Dushaw      17 xxx  1  2 13  8 40 340 278 444 886   0   0    0   0   0   0   0   0   0   0   0   0   0   0
Q_Fyrk        19 usa  1  5  6 18 20 610 202 880 339   5   0  473   1   0   0   0   2  10   2   0   3   0   0
Y_Fennel      19 ire  1  9  3 15 18 736 333 489 940   0   0    0   0   0   0   0   0   0   0   0   0   0   0
A_Pugliese    16 xxx  1  2  9 14 45 340 397 517 427   5   0  473   0   0   0   0   1  10   0   0   3   0   0
