Name         Age Nat St Tk Ps Sh Ag KAb TAb PAb SAb Gam Sub  Min Mom Sav Con Ktk Kps Sht Gls Ass  DP Inj Sus
------------------------------------------------------------------------------------------------------------
W_L_Grobbelar 32 saf 28  2  2  2 12  11 335 335 335   7   0  660   1  33  11   0   0   0   0   0   0   0   0
U_Sturdy      25 aus 23  1  1  1 38  75 868 868 868   0   0    0   0   0   0   0   0   0   0   0   0   0   0
V_Marvel      22 usa 23  1  1  1 47  30 956 956 956   0   0    0   0   0   0   0   0   0   0   0   0   0   0
D_Hertz       27 hun  2 27 12 18 17 418 118  15 554   5   1  408   1   0   0   7   1   2   1   0  10   0   0
A_Fagina      24 aus  1 25 16 14 19 812 452 710  86   7   0  660   0   0   0   4   6   2   1   0   0   0   0
R_Zelaya      29 sen  2 23 13 10 50 741 870 942 493   7   0  660   0   0   0   5   1   2   0   0   9   0   0
S_Alan        26 sco  2 23 16 19 20 134 256  85 394   4   0  322   1   0   0   2   4   0   0   0   0   0   0
X_Maugeri     22 por  1 22 19  8 54 762 825 732 920   6   0  495   0   0   0   2   4   1   0   0  13   0   0
S_Hasek       24 den  2 21 17  7  9 124 733 897 151   2   1  115   0   0   0   3   0   1   0   0   0   0   0
U_Maugridge   23 can  2 21  7 13 25 245 189 106 674   0   0    0   0   0   0   0   0   0   0   0   0   0   0
H_Fujishima   29 jap  2 20 17  4 15 367 751 523 688   0   0    0   0   0   0   0   0   0   0   0   0   0   0
Sousa         26 uru  2 17 25 12 11 428 434 267 762   7   0  660   0   0   0   6   9   2   0   0   0   0   0
Sammy_TheBull 25 usa  1 23 24  8 35 956  72 292  24   7   0  571   0   0   0   3   5   1   0   0   0   0   0
M_Gibson      22 aus  2  9 23 22 39 101 344 907 766   7   0  660   0   0   0   1   9   8   1   1   0   0   0
Patman        21 aus  1 12 22 19 26 836 435 614 226   7   0  660   0   0   0   4   6   2   0   0   0   0   0
Emmierto      27 bra  2 12 20 16 19 647 278 579  41   0   0    0   0   0   0   0   0   0   0   0   0   0   0
K_Venet       30 swe  2  4 20 18 25 790 682 442 798   0   0    0   0   0   0   0   0   0   0   0   0   0   0
B_Thackrah    22 ire  2 18 19 17 38 103 218 892 732   2   0  191   0   0   0   2   1   0   0   0   0   0   0
G_Linacre     32 ENG  1  8 11 24 34 956  23 628 135   3   2  174   0   0   0   0   1   2   0   0   0   0   0
Starbucks     26 usa  2  8 14 24 13 542 881 389 154   5   1  405   0   0   0   2   1   5   0   0   0   0   0
E_Velazquez   22 uru  1  6  4 24 25 582 943 391  17   7   1  589   0   0   0   0   1   5   0   0   0   0   0
Moshi         25 jap  2 14 11 21 24 287 912 376 911   0   0    0   0   0   0   0   0   0   0   0   0   0   0
H_Heerdt      29 bel  2  8 17 20 23 285 980  61 425   0   0    0   0   0   0   0   0   0   0   0   0   0   0
