Name         Age Nat St Tk Ps Sh Ag KAb TAb PAb SAb Gam Sub  Min Mom Sav Con Ktk Kps Sht Gls Ass  DP Inj Sus
------------------------------------------------------------------------------------------------------------
C_Leben       19 AUS 18  1  1  1 50 742 676 676 676  13   0 1241   0  63  19   0   0   0   0   0   3   0   0
B_Southworth  19 aus 17  1  1  1 29 247 532 532 532   0   0    0   0   0   0   0   0   0   0   0   0   0   0
Chibs         17 aus 15  1  1  1 35 930 388 388 388   0   0    0   0   0   0   0   0   0   0   0   0   0   0
T_Crabera     19 por  1 19  7 12 15 616  48 936 235  12   0 1042   1   0   0  15   4   8   2   0  10   0   0
L_Tenant      19 aus  1 17 13  5 19 802 752 839  41  13   0 1241   2   0   0  19  10   2   1   3   0   0   0
Haymitch      17 aus  1 17 10 12 20 444  64 295 612  12   0 1031   0   0   0  10  10   9   0   2  10   0   0
Tig_Trader    18 aus  1 17  1  4 36 388  17 682 914  10   2  796   0   0   0   8   0   4   0   0   3   0   0
S_Bonnar      18 aus  1 16  9  5 41 532 465 222 558  10   4  755   0   0   0   8   2   1   0   0   3   0   0
Opie_Winston  17 aus  1 16  5  2 13 388 154 835 758   4   3  230   1   0   0   3   4   2   0   0   0   0   0
Piney_Winston 17 aus  1 15  3  5 27 388 824 504 177   0   0    0   0   0   0   0   0   0   0   0   0   0   0
Ratboy        16 aus  1 12  1 12 26 388 827 527  80   0   0    0   0   0   0   0   0   0   0   0   0   0   0
K_Florian     19 aus  1  9 19  8 57 532 270 972 474  11   0  924   1   0   0   2  18   9   1   2  20   0   1
Mystery       19 hkg  1 16 19 18 34 784 392 566 429  13   0 1241   2   0   0  11   8  22   3   0   3   0   0
F_Griffin     18 aus  1  5 18 14 72 532 488 127 940  12   0  980   1   0   0   1  14   9   1   2  13   0   0
A_DeLancey    19 spa  1  4 17 10 49 820 568 794 780  11   3  699   0   0   0   1  20  14   3   0   0   0   0
J_Koscheck    18 aus  1  9 17  8 24 532 784 139 290   2   1   82   0   0   0   1   1   0   0   0   0   0   0
Greg_ThePeg   18 aus  1  3 15  3 26 388 148 955 897   0   0    0   0   0   0   0   0   0   0   0   0   0   0
Juice_Ortiz   17 aus  1  3 15  6 12 388 591 957 965   0   0    0   0   0   0   0   0   0   0   0   0   0   0
Waterboy      16 aus  1  3 13  4  9 388 798 808 459   0   0    0   0   0   0   0   0   0   0   0   0   0   0
Lamborghini   19 ita  1  6  8 19 24 518 465 735 224  13   0 1241   0   0   0   5   4  18   4   0   3   0   0
M_Swick       19 aus  1  4  9 18 10 532 705 143  94  13   0 1118   0   0   0   1   3  20   4   1   0   0   0
A_Goromaru    19 jap  1  3  5 17 23 532 249 139 187   4   4   98   0   0   0   0   0   3   0   0   0   0   0
M_Gerhart     19 ger  1 12  5 16 16 730 305 805 445   2   2   45   0   0   0   0   0   0   0   0   0   0   0
S_Hoger       18 aus  1  6  7 15  9 532 121 210 558   0   0    0   0   0   0   0   0   0   0   0   0   0   0
