Name         Age Nat St Tk Ps Sh Ag KAb TAb PAb SAb Gam Sub  Min Mom Sav Con Ktk Kps Sht Gls Ass  DP Inj Sus
------------------------------------------------------------------------------------------------------------
G_Stopper     25 mex 25  1  1  1 35 463 896 896 896   8   0  763   0  29  16   0   0   0   0   0   0   0   0
H_Geordio     29 col 23  2  2  2 33  35 485 455 429   0   0    0   0   0   0   0   0   0   0   0   0   0   0
Mandragoran   26 mal  2 25 14 12 27  23 199 637 561   8   0  694   0   0   0   6   6  10   1   0   0   0   0
H_Brubaker    25 usa  2 24 13  6 19 349 140 118 243   8   0  740   0   0   0  15   6   3   0   1   0   0   0
P_Delzell     30 hol  3 23 14  7 35  20 579 344 858   8   0  739   1   0   0  10   9   4   0   0   0   0   0
B_Cassotto    22 usa  1 23 13 15 39 356 212 426 164   8   0  721   0   0   0   8   6   9   0   1   6   0   0
L_Dawson      33 eng  3 22 14  3 15 394  57 499 963   0   0    0   0   0   0   0   0   0   0   0   0   0   0
R_Gobert      25 usa  1 22 10 10 40 482 998 642 573   7   7  158   0   0   0   2   2   0   0   1   0   0   0
U_Denty       30 hol  2 21  4  8 46 894 343 958 858   0   0    0   0   0   0   0   0   0   0   0   0   0   0
B_Boatman     29 eng  2 11 25  7 31 894 637 178 266   8   7  250   0   0   0   2   9   4   0   1   0   0   0
O_Paluzzi     30 ita  2 17 24  6 10 861 445 639 528   8   0  718   0   0   0   4  12   6   2   0   0   0   0
Ze_Eduardo    25 bra  2  3 24 15 27  59 599 618 267   8   0  763   0   0   0   2  15   8   2   1   6   0   0
Firestorm     23 swe  1 11 23 17 30 914  90 298 360   8   0  650   0   0   0   0   7   9   1   1   3   0   0
Conchobar     22 ire  1 18 23  6 31 900 759 281  70   7   0  671   1   0   0   7  14   3   0   3   3   0   0
D_Chiumento   31 SWI  2  8 23 12  7 858  42  28 695   0   0    0   0   0   0   0   0   0   0   0   0   0   0
X_Remschel    28 por  2  8 20  4 24 758 170 932 712   0   0    0   0   0   0   0   0   0   0   0   0   0   0
W_Yarney      20 can  1  5 19  9  8 885 267 640 345   0   0    0   0   0   0   0   0   0   0   0   0   0   0
Z_Drako       24 swe  1  7  3 24 21 770 334 297 256   8   0  648   0   0   0   0   0  15   0   0   0   0   0
U_Bolt        23 jam  1 11 15 23 27 978 339 461 855   7   0  575   0   0   0   0   2  20   2   0   0   1   0
Billy_Liddell 22 sco  1  8 15 22 53 900 204 471 924   7   6  303   1   0   0   1   3  12   3   1   0   0   0
I_Fuhrmeyer   20 saf  1  3  5 17 17 626 588 886 364   0   0    0   0   0   0   0   0   0   0   0   0   0   0
