Name         Age Nat St Tk Ps Sh Ag KAb TAb PAb SAb Gam Sub  Min Mom Sav Con Ktk Kps Sht Gls Ass  DP Inj Sus
------------------------------------------------------------------------------------------------------------
I_Kelava      26 cro 24  2  2  2 32 783 476 512 476   7   0  662   0  34   9   0   0   0   0   0   0   0   0
G_Tutt        22 eng 23  1  1  1 29 670 528 564 528   0   0    0   0   0   0   0   0   0   0   0   0   0   0
R_Marshall    22 eng 21  1  1  1 38 867 475 511 475   0   0    0   0   0   0   0   0   0   0   0   0   0   0
L_Gerald      25 eng  2 25 10 15 18 192 131 915 281   7   0  662   2   0   0   8   3  11   2   0   0   0   0
A_Benjak      26 isr  2 24 17  5 11 274 509 691 580   6   0  525   1   0   0  10   5   3   1   0  10   0   0
F_Perelman    27 lux  2 24 15  8 13 547 247 539 510   7   0  662   0   0   0   7   5   5   1   1   3   0   0
J_Berkey      26 sco  2 23 10 15 18 587 986 295 336   5   0  358   0   0   0   3   0   1   0   0  10   0   0
Y_Scisley     26 nig  2 22 14  9  8 506 189 235  87   4   3  180   0   0   0   0   2   1   0   0   0   0   0
M_Fickett     27 ire  2 21 10 17 10 797 910 108 640   1   0   93   0   0   0   0   1   1   1   1   0   0   0
H_Emmens      20 eng  1 19  7  4 27 693 764 159 425   0   0    0   0   0   0   0   0   0   0   0   0   0   0
S_Shambley    27 jam  2 12 26  6 12 879 649 345 444   7   0  662   0   0   0   3  18   1   0   2   0   0   0
V_Cassenova   24 ita  2 14 25  8 36 138 996 101 379   7   0  662   1   0   0   4  15   7   0   1   0   0   0
Caio          28 bra  2 11 24  6 15 851 334 522 131   7   0  662   0   0   0   4  19   0   0   3   0   0   0
J_Holland     24 usa  1  1 23 15 31 474 570 435 796   7   0  632   0   0   0   0   5  17   2   0   0   0   0
Q_Bezik       28 tur  2 11 22  7  8 459 567 801 226   1   1   16   0   0   0   0   1   0   0   0   0   0   0
D_Seeck       23 fra  2 10 21  4 33 141 698 861 939   0   0    0   0   0   0   0   0   0   0   0   0   0   0
I_Texter      26 can  2  8 21  4 30 370 433 137 876   1   1   14   0   0   0   0   0   0   0   0   0   0   0
C_Byerley     20 wal  1  5 19  9 31 602 699   3 751   0   0    0   0   0   0   0   0   0   0   0   0   0   0
N_Seguine     23 cam  2  6 20 24 14 105  56 144 413   7   0  662   0   0   0   0   5  21   3   0   3   0   0
M_Berg        28 swe  2  5 12 24 17 352 920   4 224   7   0  608   1   0   0   3   4  21   2   0   3   0   0
T_McClaren    27 sco  2  5 11 22 24  26 629  51 756   1   1   10   0   0   0   0   0   0   0   0   0   0   0
W_Ohnleiter   22 ger  2  6  9 20 24  45  51 803 952   0   0    0   0   0   0   0   0   0   0   0   0   0   0
