Name         Age Nat St Tk Ps Sh Ag KAb TAb PAb SAb Gam Sub  Min Mom Sav Con Ktk Kps Sht Gls Ass  DP Inj Sus
------------------------------------------------------------------------------------------------------------
R_Pasveer     23 hol 25  1  1  1 11 451 869 869 869  13   0 1303   0  70  16   0   0   0   0   0   3   0   0
Y_Weems       25 usa 20  2  2  2  8 858 213 213 303   0   0    0   0   0   0   0   0   0   0   0   0   0   0
V_Bechger     20 ger 19  1  1  1 10 783 768 768 768   0   0    0   0   0   0   0   0   0   0   0   0   0   0
J_B_Rebel     29 eng  2 24 17  6 49 716 380 180 574  10   1  795   3   0   0  16  13   6   1   2  13   0   0
E_Tackleberry 30 usa  2 24 14 10 36 920 702 157 579  13   0 1303   1   0   0  18   9  18   0   0   6   0   0
G_Floyd       30 can  2 24 11  9 37 440 658 979 182  12   0 1169   0   0   0  24   9   8   0   1  16   0   0
U_van_Rommel  31 ger  2 22  7 15  9 549 968 414 839   7   0  705   2   0   0  17   2  16   4   0   0   0   0
D_Grayson     23 usa  2 22 19  5 19  51 184 189 525   7   0  695   1   0   0   6   9   2   1   2   0   0   0
S_Hill        23 eng  1 22  3 11  9 474 882 549 645   1   0  111   0   0   0   0   0   0   0   0   0   0   0
Sideshow_Bob  29 usa  2 20 25  5 18 511 821 163 389  13   0 1017   0   0   0   7  13   4   0   1   0   2   0
G_Cogdon      27 eng  1  1 25 20 15 888 861  83 631  13   0 1260   0   0   0   0  18  21   4   4   0   0   0
T_C_Pattison  23 eng  2 16 24  7 12 159 823 142 762  13   1 1144   0   0   0   7  34   9   1   6   3   0   0
A_Peacock     22 eng  1  7 23 21 11 996 401  56  43  13   0 1303   0   0   0   4  20  15   2   1   0   0   0
S_Eriksson    25 swe  2 17 22  6 51 147 724 595 469   9   7  495   1   0   0   6   7   5   1   0  13   0   0
U_Seric       29 cro  2  9 22 15 25 367  77 164 578   7   7  178   0   0   0   1   3   2   0   0   3   0   0
Y_Schwerman   22 ger  1  8 21 14 21 870 981 728 152   0   0    0   0   0   0   0   0   0   0   0   0   0   0
X_Pawley      21 wal  1  6 21 13 10 780 747  40 698   0   0    0   0   0   0   0   0   0   0   0   0   0   0
Brian_Cohen   30 isr  1  2 10 26 39 630 962 889  45  13   0 1221   1   0   0   0   9  48   8   2   0   0   0
J_Oker        24 den  2  6 11 23 15  15 751 594  67  10   1  825   1   0   0   0   9  32   7   2   0   0   0
B_Schuerer    21 ger  1 11  7 20 12 708 524  81 657   0   0    0   0   0   0   0   0   0   0   0   0   0   0
T_Tunnah      20 gha  1  5  7 19 41 564  52 314 634   0   0    0   0   0   0   0   0   0   0   0   0   0   0
U_Castagna    20 spa  1 12  9 18 17 672 391 598 721   5   5   46   0   0   0   0   0   2   0   0   0   2   0
