Name         Age Nat St Tk Ps Sh Ag KAb TAb PAb SAb Gam Sub  Min Mom Sav Con Ktk Kps Sht Gls Ass  DP Inj Sus
------------------------------------------------------------------------------------------------------------
Safay_al_Din  30 isr 29  2  2  2 32 500 470 434 393   0   0    0   0   0   0   0   0   0   0   0   0   0   0
F_Hastie      25 sco 25  2  2  2  8 669 126 126 126   0   0    0   0   0   0   0   0   0   0   0   0   0   0
Z_Speight     31 eng 22  2  2  2 30 621 366 366 366   0   0    0   0   0   0   0   0   0   0   0   0   0   0
F_Sedaborus   25 bol 19  2  2  2 13 999 147 147 147   0   0    0   0   0   0   0   0   0   0   0   0   0   0
A_Okerstrom   27 nor  2 25  6 12 10 678 794 362 468   0   0    0   0   0   0   0   0   0   0   0   0   0   0
S_Reisse      30 hol  2 25 17  5 11 893 485 816 575   0   0    0   0   0   0   0   0   0   0   0   0   0   0
O_Maul        23 fra  2 23  6 12 27   3 791 295 602   0   0    0   0   0   0   0   0   0   0   0   0   0   0
R_Cavendar    26 sco  2 23  6 11 55 573 351 107 944   0   0    0   0   0   0   0   0   0   0   0   0   0   0
F_Marston     27 eng  2 23  7  4 29 208 204 562 239   0   0    0   0   0   0   0   0   0   0   0   0   0   0
G_Theobald    24 wal  2 21  7  5 57  39  27 958 936   0   0    0   0   0   0   0   0   0   0   0   0   0   0
Salah_ad_Din  21 irq  1 21 18  7 30 356 372  46 169   0   0    0   0   0   0   0   0   0   0   0   0   0   0
K_Pearce      22 eng  1 20 12  6 27 930 706 491 523   0   0    0   0   0   0   0   0   0   0   0   0   0   0
X_Avirett     20 fra  1 19  9  8 12 678 617 844 199   0   0    0   0   0   0   0   0   0   0   0   0   0   0
N_Stark       28 eng  1  3 26  2  7 405   1 956 485   0   0    0   0   0   0   0   0   0   0   0   0   0   0
R_Felisky     25 rus  2 12 24  5 18 125 346 242 744   0   0    0   0   0   0   0   0   0   0   0   0   0   0
K_Massie      24 sco  2 15 23 16 66  21 989 870 978   0   0    0   0   0   0   0   0   0   0   0   0   0   0
J_Roche       23 eng  1  7 23 20 57 984 127 981 512   0   0    0   0   0   0   0   0   0   0   0   0   0   0
R_Alfers      28 ire  2  7 22  5 11 287 344  56 296   0   0    0   0   0   0   0   0   0   0   0   0   0   0
R_Ilges       21 arg  1 12 19  6 14 786 493 889 848   0   0    0   0   0   0   0   0   0   0   0   0   0   0
C_Cadwalader  31 wal  2  3 13 27 38 222 686 956 807   0   0    0   0   0   0   0   0   0   0   0   0   0   0
Avon_Barkdale 32 usa  2  7  8 24 14 345 417 800 928   0   0    0   0   0   0   0   0   0   0   0   0   0   0
I_Penegar     22 wal  1  8 19 22  9 858 711 689 828   0   0    0   0   0   0   0   0   0   0   0   0   0   0
A_Maud        27 sco  2 10  4 21 23 575 805 462 234   0   0    0   0   0   0   0   0   0   0   0   0   0   0
