Name         Age Nat St Tk Ps Sh Ag KAb TAb PAb SAb Gam Sub  Min Mom Sav Con Ktk Kps Sht Gls Ass  DP Inj Sus
------------------------------------------------------------------------------------------------------------
N_Kugel       19 ger 16  1  1  1 20 422 650 650 650   7   0  670   0  33  14   0   0   0   0   0   3   0   0
X_Avirett     19 fra  1 19  9  8 12 650 293 550  60  14   0 1287   2   0   0  18  11  12   1   1  13   0   0
T_Kuehne      19 ger  1 17  3  8 30 590 576 798 362  15   0 1410   0   0   0  18   7  13   0   0  16   0   0
U_Swilley     18 eng  1 17  4  4 32 398 562 459 863  16   0 1482   0   0   0  16   6   5   0   1   3   0   0
C_Aye         19 sco  1 16  5  8 55 524 741 486 725  15   0 1424   2   0   0  28   4  13   0   0  12   0   0
T_Humbarger   18 isr  1 15  7  5 21 379 158 361 584   1   0   98   0   0   0   0   1   0   0   0   0   0   0
T_Frood       18 ire  1 15  3  6 30 398  56 738 265   4   1  321   0   0   0   5   1   2   0   0   3   0   0
B_Maack       17 saf  1 14  6  4 14 398 105 313 945   0   0    0   0   0   0   0   0   0   0   0   0   0   0
C_Wrinkles    18 sco  1 14  4 14 20 398  69 964 987   0   0    0   0   0   0   0   0   0   0   0   0   0   0
Q_Iuliano     16 ita  1 13  3  9 24 398 286 600 565   0   0    0   0   0   0   0   0   0   0   0   0   0   0
M_Peneau      19 BOL  1  7 17  5 44 758 913 994 546  15   0 1426   0   0   0   1  35   9   0   3  19   0   0
W_Evy         17 cub  1  9 16  2 23 398 316 580 672  16   0 1472   0   0   0   4  30   4   0   4   0   0   0
N_Dziedzicki  17 ser  1  7 16  2 68 398 128 196 690  14   0 1331   0   0   0   5  28   7   0   0  12   0   0
X_Evagash     18 gha  1  3 14  7  9 650 819 742 377   3   0  284   0   0   0   1   9   0   0   1   0   0   0
R_Guido       17 por  1  9 14  3 10 524 359 613 461   4   2  245   0   0   0   1   5   2   0   0   0   0   0
F_Puder       16 aus  1  3 14  7 11 398 799 392   9   0   0    0   0   0   0   0   0   0   0   0   0   0   0
N_Moxley      17 eng  1  5  3 17 26 524 193 267 200  16   0 1428   1   0   0   2   2  34   6   0   6   0   0
J_Benoliel    19 spa  1 10  6 16  9 758 976 923 555   4   1  334   0   0   0   2   0  12   3   0   3   0   0
N_Burgmans    17 bel  1  4  2 16 23 398 658 939 234  14   1 1282   0   0   0   1   2  54   5   0   3   0   0
