Name         Age Nat St Tk Ps Sh Ag KAb TAb PAb SAb Gam Sub  Min Mom Sav Con Ktk Kps Sht Gls Ass  DP Inj Sus
------------------------------------------------------------------------------------------------------------
M_Vashetti    22 uru 23  2  1  1 33  40  89 588 588   0   0    0   0   0   0   0   0   0   0   0   0   0   0
F_Sealomen    23 eng 20  1  1  1 17 231 836 804 804   0   0    0   0   0   0   0   0   0   0   0   0   0   0
J_O'Brien     30 ire 20  2  2  2 40   5 554 554 602   0   0    0   0   0   0   0   0   0   0   0   0   0   0
H_Zdeny       20 ivo 15  1  1  1 12 980 686 686 686   0   0    0   0   0   0   0   0   0   0   0   0   0   0
U_Demuro      27 arg  2 24 12  7 26 216 330 439 823   0   0    0   0   0   0   0   0   0   0   0   0   0   0
Q_Gendreau    27 rom  2 24 13  5  8 181 501 331 428   0   0    0   0   0   0   0   0   0   0   0   0   0   0
S_Butz        27 hun  2 24  7  5 14 212 105 854 371   0   0    0   0   0   0   0   0   0   0   0   0   0   0
L_Sharkey     27 wal  2 23  6 10 28 249 695  17 769   0   0    0   0   0   0   0   0   0   0   0   0   0   0
I_Scrooby     23 usa  1 23  4 10 29 804   7 650 440   0   0    0   0   0   0   0   0   0   0   0   0   0   0
H_Pefley      22 sco  1 23 14  6 28 732 299 411 297   0   0    0   0   0   0   0   0   0   0   0   0   0   0
G_Facchetti   32 ita  2 22  3  9  1 515 919 639 228   0   0    0   0   0   0   0   0   0   0   0   0   0   0
X_Maugeri     22 por  1 22 19  8 54 714 827 730 934   0   0    0   0   0   0   0   0   0   0   0   0   0   0
J_Laverty     28 ire  2 20  7 13 13 368 874  35 698   0   0    0   0   0   0   0   0   0   0   0   0   0   0
J_Havens      26 eng  2 20 10 14 46 276 709 261 500   0   0    0   0   0   0   0   0   0   0   0   0   0   0
U_Imbroll     21 sen  1 20 12  6 21 714 689 272 608   0   0    0   0   0   0   0   0   0   0   0   0   0   0
A_Cazalet     20 ita  1 19 10  4 50 702 333 353  75   0   0    0   0   0   0   0   0   0   0   0   0   0   0
D_Wedgewood   20 eng  1 19  6 13 28 732 764 298 866   0   0    0   0   0   0   0   0   0   0   0   0   0   0
V_Mumma       20 egy  1 15  6  9 11 462 979 271 616   0   0    0   0   0   0   0   0   0   0   0   0   0   0
B_Nowelle     20 eng  1 15  8  6 40 455 426 219 164   0   0    0   0   0   0   0   0   0   0   0   0   0   0
C_Weems       24 nir  2  5 22 13 12   3 565 186 970   0   0    0   0   0   0   0   0   0   0   0   0   0   0
H_Zdill       24 gha  1 15 22  5 45 894 477 193 399   0   0    0   0   0   0   0   0   0   0   0   0   0   0
N_Beaudin     26 alb  1  4 22 17 15 983 624 162 919   0   0    0   0   0   0   0   0   0   0   0   0   0   0
S_Perry       32 eng  2  9 21  9 21 689 971 360 349   0   0    0   0   0   0   0   0   0   0   0   0   0   0
M_Beaston     27 ire  2  9 21  7 31 161 963 569 893   0   0    0   0   0   0   0   0   0   0   0   0   0   0
P_Searle      22 wal  2 13 21  5 44  39 497 200 965   0   0    0   0   0   0   0   0   0   0   0   0   0   0
M_Heinbaugh   30 ger  3  8 20 12 11  15 222 426 883   0   0    0   0   0   0   0   0   0   0   0   0   0   0
E_Feretos     25 por  2  4 20 12 28 395 783 711 478   0   0    0   0   0   0   0   0   0   0   0   0   0   0
H_Dyke        20 ire  1  6 19 10 39 462 375 118 456   0   0    0   0   0   0   0   0   0   0   0   0   0   0
V_Punzi       20 uru  1  8 18  6  9 516 715  79 528   0   0    0   0   0   0   0   0   0   0   0   0   0   0
S_Kawakaysu   32 jap  2  2 10 21 20 105 615 356 842   0   0    0   0   0   0   0   0   0   0   0   0   0   0
A_Fonzarelli  28 usa  2  4  8 21 12 524 950 543 651   0   0    0   0   0   0   0   0   0   0   0   0   0   0
O_Fernando    30 ita  2  9  6 20 17 582 852 605 816   0   0    0   0   0   0   0   0   0   0   0   0   0   0
