Name         Age Nat St Tk Ps Sh Ag KAb TAb PAb SAb Gam Sub  Min Mom Sav Con Ktk Kps Sht Gls Ass  DP Inj Sus
------------------------------------------------------------------------------------------------------------
G_Heavlin     26 eng 25  2  2  2  9 995 314 314 314   7   0  696   0  23   8   0   0   0   0   0   0   0   0
M_Pawling     25 nir 20  2  2  2 54 826 105 231 105   0   0    0   0   0   0   0   0   0   0   0   0   0   0
S_DeHerrera   27 spa  2 24 14  5 27 387 749 719 903   7   0  696   0   0   0   6   4   1   0   0   3   0   0
W_Chamorro    28 arg  2 24  7 15  9 631 664 312 227   7   0  696   0   0   0   2   2   4   0   0   0   0   0
Kennedy       27 bra  2 23 16 12 27 102 643 215 155   7   0  696   0   0   0   8  10   8   1   1   3   0   0
F_Marston     26 eng  2 23  7  4 29 118  62 472 148   0   0    0   0   0   0   0   0   0   0   0   0   0   0
Y_Theriot     22 fra  1 22 11  8  8 986 977 582 592   7   0  696   0   0   0   6   3   8   2   0   0   0   0
C_Caulk       23 cze  2 22 12  5 34 123 187 112 796   1   1   33   0   0   0   1   0   0   0   0   0   0   0
Luigini       22 ita  1 22 21  6 37 662 759 452 496   5   0  481   1   0   0   6   7   2   0   0   0   0   0
V_Vass        21 ger  1 20  9 12 21 761 401 951 936   0   0    0   0   0   0   0   0   0   0   0   0   0   0
C_Seekell     25 saf  2 14 25  5 53 458 712 225 902   7   0  688   1   0   0   2  21   4   0   1   3   0   0
B_Paul        24 eng  1 13 23 17 10 474 641 233 642   7   0  632   1   0   0   3  13   8   1   2   0   0   1
D_Cervinski   26 ser  2  7 23 14 30 195 470 409 131   6   1  539   0   0   0   1   6   4   0   1   0   0   0
D_Carter      28 nzl  2 16 23  7 43 430 486 990 377   7   0  696   1   0   0   3   8   3   1   1   6   0   0
P_Berquist    29 SWE  2 12 22  7 13 507 505 921 427   0   0    0   0   0   0   0   0   0   0   0   0   0   0
Zizinho       25 bra  2  9 12 25 27 163 553 578 564   7   0  696   0   0   0   2   3  18   1   0   3   0   0
U_Zendt       29 ger  2  6 10 23 17 717 312 239 568   2   1  101   0   0   0   0   0   3   1   0   0   0   0
X_Vaux        25 fra  2 19 19 22 27 260 572  32 538   6   0  570   0   0   0   3   5  14   2   0   0   0   0
J_Dawkin      22 eng  1  5 16 20 13 870 966 116 187   0   0    0   0   0   0   0   0   0   0   0   0   0   0
