Name         Age Nat St Tk Ps Sh Ag KAb TAb PAb SAb Gam Sub  Min Mom Sav Con Ktk Kps Sht Gls Ass  DP Inj Sus
------------------------------------------------------------------------------------------------------------
R_Huffstutler 19 AUT 16  1  1  1 21 618 484 484 484   6   0  562   0  13   9   0   0   0   0   0   0   0   0
A_Cazzell     19 can 14  1  1  1 13 930 693 693 693   0   0    0   0   0   0   0   0   0   0   0   0   0   0
S_Russett     17 can 13  1  1  1 10 476 340 340 340   0   0    0   0   0   0   0   0   0   0   0   0   0   0
V_Dunmire     18 aus  1 16  4  2 34 340 877 892 391   6   0  562   0   0   0   9   1   2   0   0   0   0   0
A_Szarowicz   19 swi  1 16  7  5  8 592 335 770 680   6   0  562   0   0   0   3   1   1   0   0   0   0   0
B_Wysinger    18 usa  1 16 12  9 39 484  57 114  43   6   0  562   1   0   0   5   6   4   1   1   6   0   0
N_Cussen      17 nir  1 15  9  5 17 484 724 773 325   6   1  525   0   0   0   5   3   5   0   0   0   4   0
I_Aulph       18 ire  1 15  4  7  9 592 906 622 499   1   1   27   0   0   0   0   0   0   0   0   0   0   0
P_Muckers     16 usa  1 14  3  7 13 340 780 594 738   6   0  562   0   0   0   4   3   6   2   0   0   0   0
N_Von_Wald    16 hol  1 13  3  9  9 340 672 321 424   0   0    0   0   0   0   0   0   0   0   0   0   0   0
S_Hunsaker    17 ger  1 12  2 10 34 340 712 414 626   0   0    0   0   0   0   0   0   0   0   0   0   0   0
U_Zwaanstra   17 zim  1  2 16 10 17 484 965 176 647   5   0  468   1   0   0   0   8   4   1   2   0   0   0
Z_Nussear     18 pak  1  8 15  7 31 466 709   9 150   6   0  562   1   0   0   3  13   2   1   1   0   0   0
G_Gunthorpe   18 eng  1  3 14  5 18 592 533 699 802   0   0    0   0   0   0   0   0   0   0   0   0   0   0
F_Tumlin      18 sco  1  5 14  3  9 466 694 810 912   6   0  562   0   0   0   3  11   3   0   0   0   0   0
W_Mufflick    18 ire  1  4 14  4 61 340 444 476 356   0   0    0   0   0   0   0   0   0   0   0   0   0   0
M_Kusch       17 aut  1  8 13  4 17 466 777 768 905   0   0    0   0   0   0   0   0   0   0   0   0   0   0
W_Bunch       19 jam  1  3  5 16 30 466 384 879 767   6   0  489   0   0   0   0   1   8   0   0   0   0   0
P_Marrison    19 eng  1  8  6 16 19 736 984 307 288   5   0  432   0   0   0   2   1   9   1   0   0   0   0
A_Crymble     17 nir  1  3  4 14  9 466 999 936 744   3   2  203   0   0   0   1   0   2   1   0   0   0   0
S_Kuehner     16 ger  1  2  9 13 43 340 610 268 761   0   0    0   0   0   0   0   0   0   0   0   0   0   0
