Name         Age Nat St Tk Ps Sh Ag KAb TAb PAb SAb Gam Sub  Min Mom Sav Con Ktk Kps Sht Gls Ass  DP Inj Sus
------------------------------------------------------------------------------------------------------------
B_Buhmann     18 usa 14  1  1  1 16 742 528 528 528   4   0  298   0  10   6   0   0   0   0   0   0   0   0
N_Pushard     19 mlt 14  1  1  1 69 708 546 546 546   2   1  181   0  11   5   0   0   0   0   0   0   0   0
C_Mayhall     19 aus  1 19  5  7 25 636 103 247 932   4   0  376   0   0   0   5   1   2   0   0   0   0   0
E_Rumler      19 ire  1 17 10  5 54 528 373 194 911   5   0  479   0   0   0   7   1   1   0   0   0   0   0
I_Curvin      18 ire  1 16  6  8 10 420 948 346  29   4   0  357   0   0   0   2   2   2   0   0   0   2   0
R_Crumbley    18 ire  1 16  4  5 35 420 736  73 650   5   1  400   0   0   0   5   1   4   0   0   3   0   0
K_Kunfare     18 xxx  1 16 14  3 17 330 715   9 380   2   0  174   0   0   0   5   2   2   0   0   0   0   0
X_Surplice    19 sen  1 15  5  9 46 420 878 558 574   1   1   27   0   0   0   0   0   0   0   0   0   0   0
G_Tutchtone   18 usa  1 15  5 10 18 528 718 568 743   2   1  103   0   0   0   0   0   1   0   0   0   0   0
C_Auvenshine  19 usa  1 15  4  3 26 420 619 792 853   1   0   95   0   0   0   1   1   0   0   0   0   0   0
T_Curmi       17 xxx  1 14  3  9  8 330 695 398 530   0   0    0   0   0   0   0   0   0   0   0   0   0   0
H_Lyerla      16 xxx  1 13  3  5 36 330 635 645 541   0   0    0   0   0   0   0   0   0   0   0   0   0   0
F_Cutchen     19 ire  1  3 17  7 12 528 503 790 932   5   0  448   0   0   0   1   7   1   1   0   0   0   0
B_Murcia      18 spa  1  6 17  5 37 536 717 333 438   5   0  479   0   0   0   1   3   1   0   0   0   0   0
E_Iund        18 xxx  1  8 17  3 12 330 789   3 364   5   0  479   0   0   0   3  11   0   0   1   0   0   0
K_Bunten      18 xxx  1  5 16  3 17 330 457 559 692   4   1  309   0   0   0   0   4   1   0   0   0   0   0
T_Kellsey     19 gha  1  7 15 10 19 636 123 990 918   3   1  201   0   0   0   0   4   3   0   0   0   0   0
L_DuTot       18 fra  1  8 15  5 10 420 697 777  53   0   0    0   0   0   0   0   0   0   0   0   0   0   0
R_Bushmaster  18 aus  1  5 15  1 13 420 773 706 913   0   0    0   0   0   0   0   0   0   0   0   0   0   0
I_Supa        18 spa  1 11 15  9 16 420 843  25 295   1   0   95   0   0   0   0   0   2   0   0   0   0   0
E_Guske       17 xxx  1  5 13  4 64 330 419 484 969   0   0    0   0   0   0   0   0   0   0   0   0   0   0
B_Wig         19 eng  1  9 13 19 14 576 930 558 137   5   0  479   0   0   0   2   2  16   0   0   0   0   0
M_Kunschik    19 rus  1  4  7 16 15 420 569 654 623   3   0  289   0   0   0   0   2   7   0   0   0   0   0
B_Vosburg     17 xxx  1 11  5 14 11 330 425 267 887   0   0    0   0   0   0   0   0   0   0   0   0   0   0
Q_Sturniolo   17 xxx  1  2  5 13 12 330 625 448 415   0   0    0   0   0   0   0   0   0   0   0   0   0   0
