Name         Age Nat St Tk Ps Sh Ag KAb TAb PAb SAb Gam Sub  Min Mom Sav Con Ktk Kps Sht Gls Ass  DP Inj Sus
------------------------------------------------------------------------------------------------------------
D_Da_Silva    25 uru 27  2  2  2 31 768 189 189 189   3   0  292   0  12  11   0   0   0   0   0   0   0   0
M_Ekstrand    26 swe 24  2  2  2 24 512 649 649 649   0   0    0   0   0   0   0   0   0   0   0   0   0   0
A_Stromberg   20 swe 20  1  1  1 16 628 612 612 612   0   0    0   0   0   0   0   0   0   0   0   0   0   0
Franz_Bauer   27 ger  2 26 21  9 19 417  86 607  67   3   0  292   0   0   0   3   3   0   0   1   0   0   0
D_Bradman     27 aus  2 26 20  9 29 227  54 449 206   3   0  292   0   0   0   3   2   4   0   0   3   0   0
D_da_Guia     26 bra  2 25 20 15 37 477 272 417 707   3   0  292   0   0   0   5   2   2   0   1   0   0   0
E_Beregovoi   23 rus  1 23 21 16  8 918 589 495 270   3   0  292   0   0   0   3   2   5   0   0   0   0   0
Dede          23 bra  1 23 20  9 16 650 511 318  89   2   0  147   0   0   0   3   1   0   0   0   0   1   0
F_Buskey      20 jam  1 19  5  3 15 612 442 820 813   0   0    0   0   0   0   0   0   0   0   0   0   0   0
X_Crye        20 jam  1 18  5  4 43 612 791 712 548   0   0    0   0   0   0   0   0   0   0   0   0   0   0
Timmy_K_Hill  27 aus  2 18 25 12 11 490 645 776 632   3   0  292   0   0   0   1   6   2   0   0   3   0   0
C_Ruddy       26 eng  2  8 24 21 16 142 290 923 574   3   0  292   0   0   0   1   2   6   1   1   0   0   0
E_Francescoli 24 uru  2  8 24 21 33 261 499  92 356   2   1   91   0   0   0   0   2   0   0   1  10   0   0
T_Regen       23 ire  2 22 24  7 25 243 487  63 817   2   0  196   0   0   0   2   2   0   0   2   0   0   0
C_LuisGarcia  32 SPA  2  5 24 16 15 732  43 312 966   1   0   96   0   0   0   1   2   2   0   0   0   0   0
K_Vargason    23 ice  2  9 21  4 15  17 244 513  61   0   0    0   0   0   0   0   0   0   0   0   0   0   0
J_Enriquez    21 mex  1 13 20  6 17 728  44 772 719   0   0    0   0   0   0   0   0   0   0   0   0   0   0
K_Pennino     29 fin  2  5 14 27  8 603 833 793 658   1   1   23   0   0   0   0   1   2   1   0   0   0   0
Romario       26 bra  2 18  7 27  9  85 543 568 595   3   0  269   0   0   0   2   0   7   3   0   0   0   0
S_Fujisaki    24 jap  1  6 17 27 24 756  49 222  82   3   0  292   1   0   0   0   5   5   2   1   0   0   0
Marcos_Junior 20 bra  1 11  8 19 41 756 590 215 535   0   0    0   0   0   0   0   0   0   0   0   0   0   0
