Name         Age Nat St Tk Ps Sh Ag KAb TAb PAb SAb Gam Sub  Min Mom Sav Con Ktk Kps Sht Gls Ass  DP Inj Sus
------------------------------------------------------------------------------------------------------------
A_Stromberg   19 swe 19  1  1  1 16 148 444 444 444   0   0    0   0   0   0   0   0   0   0   0   0   0   0
E_Yowell      18 eng 15  1  1  1 24 315 444 444 444   0   0    0   0   0   0   0   0   0   0   0   0   0   0
F_Buskey      19 jam  1 17  4  3 15 444 795 419  53   0   0    0   0   0   0   0   0   0   0   0   0   0   0
X_Crye        19 jam  1 17  4  3 43 444 367 348 778   0   0    0   0   0   0   0   0   0   0   0   0   0   0
Y_Dehoyos     19 far  1  6 18 14 29 720 530 803 593   0   0    0   0   0   0   0   0   0   0   0   0   0   0
L_Wytch       19 usa  1  3 18  9 19 498 468 290 818   0   0    0   0   0   0   0   0   0   0   0   0   0   0
Marcos_Junior 19 bra  1 10  7 17 41 588 193 454 969   0   0    0   0   0   0   0   0   0   0   0   0   0   0
O_Evemy       19 mlt  1  9 10 17 41 534 391 757 650   0   0    0   0   0   0   0   0   0   0   0   0   0   0
A_Ruse        18 nor  1 10  3 15 12 444 486 956 720   0   0    0   0   0   0   0   0   0   0   0   0   0   0
