Name         Age Nat St Tk Ps Sh Ag KAb TAb PAb SAb Gam Sub  Min Mom Sav Con Ktk Kps Sht Gls Ass  DP Inj Sus
------------------------------------------------------------------------------------------------------------
Reg_Holdswoth 28 eng 26  2  2  2 21 444  64  64 190  13   0 1169   0  45  10   0   0   0   0   0   0   0   0
O_Peguero     22 per 21  1  1  1 25 103 996 996 996   3   1  258   0   5   5   0   0   0   0   0   0   0   0
Herr_Flick    29 ger 21  2  2  2 29 446 747 777 747   0   0    0   0   0   0   0   0   0   0   0   0   0   0
Mendoza       30 arg  2 27 14 18 19 126 477   2 111  15   0 1427   2   0   0  15   9  14   2   1   2   0   0
G_DeMontigny  30 can  2 26 20  9 18 689 576  28 640  15   0 1427   1   0   0  17   8   3   1   1   0   0   0
K_Ogawa       28 jap  2 23 18  7 18 312 312 306 338  15   0 1427   2   0   0  18   7  12   0   0   0   0   0
P_Penneagn    29 spa  2 22 17  9  9 573 189 138 696  13   0 1237   0   0   0   5   3   7   1   0   0   0   0
U_Cendejas    22 spa  1 22  7 14 17 888 385 103 213   5   0  441   1   0   0   3   1   2   0   0   0   0   0
T_Gerisch     22 pol  1 20 15  9 30 906 694 303 513   1   1   35   0   0   0   0   0   0   0   0   0   0   0
X_Sallade     31 sen  2 16 25 12 14 747 388 945 175  15   0 1383   0   0   0   6  22  13   0   1   0   0   0
L_Paeroa      25 nzl  2 20 24  7 33 368 624 568  39  14   0 1265   0   0   0   6  15   5   2   0  10   0   0
F_Spearman    31 eng  1  1 24 19  2 912 548 162 348   7   2  545   0   0   0   0   2   9   1   1   0   0   0
T_A_Raszpytz  22 pol  1  4 23 14 22 366 539 425 751  12   1  949   0   0   0   0  20   4   0   0   3   0   0
Sesos_Fritas  26 spa  1  9 23 17 39 941 951 838 360  11   1  979   1   0   0   0  13  11   2   2   0   0   0
DeGothia      22 swe  1 14 23 20 53 874  96  63 179  14   0 1313   0   0   0   2  10  15   4   2  13   0   0
D_Nester      26 arg  2 14 21  9 57 565 783 132 508   1   1   44   0   0   0   0   1   0   0   0   0   0   0
K_Gerend      22 sco  1 12 21  8 31 996 207 442 249   1   1   16   0   0   0   0   0   0   0   0   0   0   0
AJ_Campbell   25 eng  2 15 11 23 13 245 595 219 368  15   0 1427   0   0   0   5   7  24   4   0   0   0   0
P_O'Gravy     31 IRE  2  1  7 20 27 283 937 878 778   0   0    0   0   0   0   0   0   0   0   0   0   0   0
