Name         Age Nat St Tk Ps Sh Ag KAb TAb PAb SAb Gam Sub  Min Mom Sav Con Ktk Kps Sht Gls Ass  DP Inj Sus
------------------------------------------------------------------------------------------------------------
T_Rumsower    19 uas 18  1  1  1 27 372 504 504 504  15   0 1409   0  78  28   0   0   0   0   0   0   0   0
U_Kurkowski   19 cze 16  1  1  1 11 968 708 708 708   1   1   51   0   3   1   0   0   0   0   0   0   0   0
A_Cruden      16 xxx 14  1  1  1 26  52 384 384 384   0   0    0   0   0   0   0   0   0   0   0   0   0   0
U_Sundberg    19 den  1 19  7  5 10 708 103 940 952  14   0 1296   0   0   0  11   6   3   0   0  10   0   0
J_Buser       18 xxx  1 17  7  5 36 384 617  42 839  13   0 1242   3   0   0  18   5  10   1   0  19   0   0
P_Cutrona     18 mex  1 16  7  6  8 492 723 118 246  14   0 1323   0   0   0  18   1   7   1   0  10   0   0
G_Ryttergods  19 usa  1 16  8  5 25 492 585 755 404  14   0 1277   0   0   0  13   8   5   1   0   6   3   0
Y_Kuzy        17 xxx  1 16  5  2 11 384 281 188 618   4   2  304   0   0   0   0   0   0   0   0   3   0   0
M_Suija       18 xxx  1 16  6  3  9 384   3 483 699   3   1  251   0   0   0   4   3   0   0   0   3   0   0
P_Gyles       18 ire  1 14 10  2 14 568 945 978 731   1   0   95   0   0   0   1   1   0   0   0   0   0   0
G_Cunning     16 xxx  1 14  4  3 41 384 107  12 852   0   0    0   0   0   0   0   0   0   0   0   0   0   0
V_Burbeck     19 eng  1  5 19 17  8 600 113 229 158  14   0 1315   0   0   0   6  21  18   3   2   3   0   0
R_Worsfold    18 ire  1 10 17  4 41 492 820 468 169  15   0 1460   0   0   0   7  27   3   0   2   6   0   0
Q_Hutchcraft  18 sco  1 12 16  3 40 600 446 919 831  15   0 1460   0   0   0   3  19   1   0   1   3   0   0
R_Cunyus      18 sen  1  8 16  3 13 492 201 465 155  15   0 1460   0   0   0   6  19   4   0   2   3   0   0
W_Duran       18 xxx  1  9 16  3  9 384 384 203 678   2   1  145   0   0   0   1   2   0   0   1   0   0   0
A_Swor        17 xxx  1 10 15  6 20 384 373 979 765   1   1   51   0   0   0   0   0   1   0   0   0   0   0
Y_Yoshida     19 jap  1  8 11 18 25 636 274 806 625  14   0 1273   1   0   0   7   5  31   6   0  13   0   0
S_Lyerla      18 aus  1  3  5 17 19 492 229 137 340  15   0 1409   1   0   0   1   1  24   4   0   6   0   0
D_Guerena     17 xxx  1 12  9 15 57 384 289 979  83   1   0   93   0   0   0   0   0   0   0   0   0   0   0
