Name         Age Nat St Tk Ps Sh Ag KAb TAb PAb SAb Gam Sub  Min Mom Sav Con Ktk Kps Sht Gls Ass  DP Inj Sus
------------------------------------------------------------------------------------------------------------
AJ_Supaflex   31 eng 27  2  2  2 41 599 476 386 386   2   0  189   0  17   4   0   0   0   0   0   0   0   0
A_Begovic     31 can 22  2  2  2 29 508 257 257 257   0   0    0   0   0   0   0   0   0   0   0   0   0   0
S_Sebring     22 aus 20  1  1  1  8 975 880 880 880   0   0    0   0   0   0   0   0   0   0   0   0   0   0
L_Sents       28 por  2 24 16  9 25 500 626 281  87   2   0  189   0   0   0   4   2   2   1   0   0   0   0
Don_Worry     31 jam  2 22 15 10  7 655 121 453 801   2   0  189   0   0   0   2   1   0   0   0   3   0   0
M_Seacord     24 usa  1 21 15 10 42 805 979 794  79   2   0  189   0   0   0   4   3   2   0   0   0   0   0
Q_Hartenbach  23 ger  2 20 15  8 19   7 970 258  78   2   0  189   0   0   0   3   2   0   0   0   0   0   0
W_Hauri       22 sam  1 20 16  6 47 907 122 671 305   0   0    0   0   0   0   0   0   0   0   0   0   0   0
H_Ferney      30 ire  2 20 19  6 45 309 323 359 349   0   0    0   0   0   0   0   0   0   0   0   0   0   0
H_Akins       21 nir  1 18 18  6 27 814 604 765 946   0   0    0   0   0   0   0   0   0   0   0   0   0   0
Z_Flamer      30 por  2 15 25 14 23 611 204 958  22   2   0  189   0   0   0   1   4   2   0   0   3   0   0
T_Sparks      25 swe  1  1 25 19 38 670 642 197 173   2   0  189   0   0   0   0   2   0   0   0   0   0   0
P_Illsley     23 eng  2 12 22 17 42 142 408 355 837   2   0  189   0   0   0   2   4   1   0   1   0   0   0
N_Bellfield   23 eng  1  7 20 19 15 934 310 865 198   2   0  189   0   0   0   0   1   3   1   1   0   0   0
E_Demsey      26 jam  2 17 20 14 69 252 820 447 436   0   0    0   0   0   0   0   0   0   0   0   0   0   0
J_Aldiek      22 eng  1 15 19  9 21 742 944 442 336   0   0    0   0   0   0   0   0   0   0   0   0   0   0
U_Reissmann   29 usa  2 14 19 10  8 553 844 423   8   0   0    0   0   0   0   0   0   0   0   0   0   0   0
V_Seagle      22 eng  1 11 18 18 52 922 468 307   5   0   0    0   0   0   0   0   0   0   0   0   0   0   0
L_Nogueira    27 por  1  9 13 23 38 418 641 752 991   2   0  189   0   0   0   0   0   3   0   0   0   0   0
R_Ponting     23 aus  1  7 16 22 25 958 842 497 860   1   0   20   0   0   0   2   0   0   0   0  10   0   0
H_Cawdell     22 sco  1 15 10 20 16 844 415 456 586   1   0   92   0   0   0   0   0   4   0   0   0   0   0
K_Ogelvie     21 bel  1  6 14 20 20 922 446 733 528   0   0    0   0   0   0   0   0   0   0   0   0   0   0
