Name         Age Nat St Tk Ps Sh Ag KAb TAb PAb SAb Gam Sub  Min Mom Sav Con Ktk Kps Sht Gls Ass  DP Inj Sus
------------------------------------------------------------------------------------------------------------
Hot_Hans      30 swe 27  1  1  1  7 368 914 914 914   7   0  692   1  39   6   0   0   0   0   0   0   0   0
B_Sefton      20 sco 18  1  1  1 14 813 708 708 708   0   0    0   0   0   0   0   0   0   0   0   0   0   0
H_Caylor      20 eng 18  1  1  1 34 191 737 737 737   0   0    0   0   0   0   0   0   0   0   0   0   0   0
Y_McAnelly    29 sco  2 25  6 10 18 700 215 634 166   8   0  797   2   0   0  12   4   8   1   0   3   0   0
L_Sharkey     27 wal  2 23  6 10 28 279 900  97 902   8   0  543   0   0   0   7   3   8   2   0   3   0   0
M_Selberg     25 den  2 23 12  8 61  51  40 880 298   8   2  563   0   0   0   9   3   2   0   1   6   0   0
P_Kercheval   23 can  1 22  6 11 46 780 673 799 978   5   5  166   0   0   0   5   1   2   0   0   0   0   0
A_Vantage     32 WAL  2 21  5 14 39 415 378 889 795   3   0  217   1   0   0   2   3   4   1   0   0   0   0
Luigi         22 ita  2 21 20 15 28 186 876 845 609   8   0  797   1   0   0   7  10   3   1   2   0   0   0
Ramazinho     20 bra  1 21 11 20 22 692 471 376 610   8   0  797   1   0   0   7   7   6   1   1   0   0   0
Y_Kiyoshi     21 jap  1 20 11  6 31 954 173 567 859   0   0    0   0   0   0   0   0   0   0   0   0   0   0
M_Pauloski    22 pol  2 19  9 18 22 159 136 262 401   5   5  143   0   0   0   1   0   1   0   0  10   0   1
B_Schwegel    21 sco  1 18 14 11 52 684 698 512 252   1   1   44   0   0   0   1   1   0   0   0   0   0   0
K_Hagenbach   30 ger  2  7 23 11 10 681 389  45 561   8   0  687   0   0   0   2  12   5   1   0   0   0   0
H_Byakkotai   21 jap  2 12 22 18 12 183 243 700 697   8   0  797   1   0   0   2  19   9   1   3   6   0   0
E_Jones       23 eng  1  9 22 14 18 852 452  60 214   8   1  489   0   0   0   1   6   4   0   1   0   0   0
X_DeGarmo     21 wal  1  8 21  4  8 582 415 438 314   0   0    0   0   0   0   0   0   0   0   0   0   0   0
H_Dixon       25 nir  2  8 21 15 13 239 907 253 430   8   3  563   0   0   0   0  19   6   0   0   0   0   0
P_Algee       23 saf  1  9 20 14 16 924 454 632  99   7   7  218   0   0   0   0   4   3   1   0   0   0   0
N_Nainoa      31 egy  2 17 19 12 11 469 623 996 592   3   0  317   0   0   0   3   2   2   0   0   6   0   0
B_Becton      21 usa  1  7 17 17 33 894 151 725 684   0   0    0   0   0   0   0   0   0   0   0   0   0   0
C_Keppelman   20 hol  1  5 17 16 43 888 982 679 569   0   0    0   0   0   0   0   0   0   0   0   0   0   0
B_Davies      28 eng  1 16  3 25 18 438 700 548 311   8   0  797   0   0   0   1   1  25   4   0   3   0   0
R_Cervone     21 ita  1  5 13 21 44 726 642 593 462   0   0    0   0   0   0   0   0   0   0   0   0   0   0
G_Hamar       23 wal  1  8  9 21  1 480 663 966 245   0   0    0   0   0   0   0   0   0   0   0   0   0   0
I_Harriott    21 usa  1  3 16 19  9 611 163  47 208   0   0    0   0   0   0   0   0   0   0   0   0   0   0

