Name         Age Nat St Tk Ps Sh Ag KAb TAb PAb SAb Gam Sub  Min Mom Sav Con Ktk Kps Sht Gls Ass  DP Inj Sus
------------------------------------------------------------------------------------------------------------
F_Kurish      19 aut 17  1  1  1 66 114 514 514 514  15   1 1394   0  55  21   0   0   0   0   0   0   0   0
P_Eustice     16 eng 15  1  1  1 24 194 385 385 385   9   1  681   0  24  14   0   0   0   0   0   0   1   0
L_Tenant      19 aus  1 18 14  5 19 835 201 318 241  20   0 1823   2   0   0  23  19   6   1   4  13   0   0
E_Ausbrooks   19 aus  1 17  4 10 41 475 682 376 350  14   1 1052   1   0   0  21   2  11   0   1   3   0   0
G_Dunigan     18 aus  1 17 12  5 51 385  70 481 838  20   0 1790   2   0   0  27  27  15   1   3   9   0   0
A_Burross     18 jam  1 16  7  5 11 385 796 311 748  15   0 1304   0   0   0  15   8  10   2   0   0   0   0
G_Oyervides   17 mex  1 16  7  6 22 533  87 519 437  15   0 1320   3   0   0  23  12  10   2   0   3   0   0
S_Cyples      16 gib  1 13  9  3 41 385 349 422 755  13   4  996   0   0   0   8   5   5   0   0   3   0   0
R_Wraith      17 sco  1 12 11  4 29 385 356 412 718  19   9 1217   1   0   0  10  13   8   1   1   3   0   0
K_Moynes      19 can  1  7 19  4 12 621 792 707 958  22   0 1881   0   0   0   6  38   6   0   1   3   0   0
M_Lurette     19 FRA  1  8 17  4 12 475 427 859 441  22   3 1735   0   0   0   6  27  12   1   3   0   0   0
L_Suvillaga   17 per  1  7 16 10 28 385 466 413 409  15   0 1273   0   0   0   3  18  15   2   2  13   0   0
O_Dungan      18 nzl  1  8 15 11 12 385 660 520 420  14   0 1253   0   0   0   1  13  17   5   0   0   0   0
Po_Kurr       16 jap  1  6 15  4 20 377 246 330 728  16   4 1085   0   0   2   4  16   4   0   2   0   0   0
T_Kwolek      16 ukr  1  8 14  2 27 395 682 334 821  13   5  926   0   0   0   2  16   3   0   2   6   0   0
J_Byrn        16 sco  1  7 13  4 25 395 447 753 225   2   2   75   0   0   0   0   1   0   0   0   0   0   0
P_Rynne       18 usa  1 13  6 17  9 385 802 712 605  22   0 1880   1   0   0  11   8  52   6   0   3   0   0
M_Gerhart     19 ger  1 12  6 16 16 763 751  20 891   9   7  381   0   0   0   3   1   7   1   0   0   0   0
H_Bishop      19 aus  1 14  4 15 50 761 601 457 453  11   1  789   1   0   0  10   3  24   3   0  16   0   0
M_Prue        17 nir  1  8  6 15 10 385  20  59 420   2   1   61   0   0   0   1   0   2   0   0   0   0   0
M_Burtnett    16 can  1  6  6 14 19 385  59 610 777   4   4  142   0   0   0   0   1  12   4   0   0   0   0
