Name         Age Nat St Tk Ps Sh Ag KAb TAb PAb SAb Gam Sub  Min Mom Sav Con Ktk Kps Sht Gls Ass  DP Inj Sus
------------------------------------------------------------------------------------------------------------
H_andy        23 eng 24  1  1  1 19  32 997 997 997  11   0 1038   1  59  22   0   0   0   0   0   0   0   0
Q_Demmitt     30 slo 23  3  3  3 48 973 130 214 374   5   0  477   0  32  12   0   0   0   0   0   0   0   0
G_Vargason    28 ice 21  2  2  2 15  40 583 583 583   0   0    0   0   0   0   0   0   0   0   0   0   0   0
B_Szandyii    24 kaz  1 24  2 18 21 314 272 178 285   2   0  188   0   0   0   3   1   4   1   0   0   0   0
I_Scrooby     24 usa  2 23  4 10 29  11 728 892 789  13   0 1094   0   0   0   9   1   7   0   0  16   1   0
O_Adefemi     23 nig  2 23  8 11 23 284 579 390   4  15   0 1391   0   0   0  22   5   9   2   0  13   0   0
M_Gee         23 eng  1 23 17  5 29 930 390 952 830  16   0 1515   0   0   0  19  23   5   2   3   3   0   0
Style         22 hkg  1 22 13  7 18 650 467 401 810  11   3  731   1   0   0  11   6   3   0   1   3   0   0
M_Brecko      27 slo  2 21 16  5 10 440 994 451 263   6   5  253   0   0   0   1   2   0   0   0   0   0   0
B_Behammer    24 den  2 21  8 15 34 137  63 185 176   3   3   80   0   0   0   2   0   0   0   0   0   0   0
P_Giesen      32 hol  2 19  6  3 54 852 708 314 834   2   2   66   0   0   0   1   0   0   0   0   3   0   0
N_Tidline     29 aus  2 14 25  8 25 724 864 179 781  16   0 1515   0   0   0   7  25  10   0   1   0   0   0
Jay_Dub       24 hkg  1  2 24 15 18 740  79 122 222  16   0 1515   0   0   0   0  26  13   4   1   9   0   0
B_Ressler     29 hol  2  4 22  7 35 921 820 734 908   8   2  553   1   0   0   1  14   5   1   4  23   0   0
DoktorDiscord 22 hkg  1 11 22  7 18 956 576 586 947  16   0 1385   1   0   0   5  17   8   1   3   3   0   0
K_Zeininger   27 ger  2  6 22 14 38 734 587 182 908   8   6  389   0   0   0   0   5   2   1   1  13   0   0
H_Tsuji       26 jap  2  4 21 14 50 263 867 976 910  10   2  643   1   0   0   1   7   7   2   0   3   0   0
K_Moynes      20 can  1  8 20  5 12 724 680 595 440   0   0    0   0   0   0   0   0   0   0   0   0   0   0
Cpt_America   25 usa  1  3 17 24 12 908 880 176 424  16   0 1436   1   0   0   5  12  43   7   2   0   1   0
O_Cobblepot   25 aus  2  4  9 23 17  83 889  72 704   9   1  757   1   0   0   3   3  23   4   0   0   0   0
Prof_Green    21 hkg  1  7 12 23 17 668 709 672  49   9   1  783   0   0   0   6   5  14   1   0   3   0   0
B_Ogilvie     23 sco  2 19  5 20  8 137 654 182 820   1   1   54   0   0   0   1   0   1   0   0   0   0   0
