Name         Age Nat St Tk Ps Sh Ag KAb TAb PAb SAb Gam Sub  Min Mom Sav Con Ktk Kps Sht Gls Ass  DP Inj Sus
------------------------------------------------------------------------------------------------------------
E_Hunsley     19 sco 16  1  1  1 28 422 444 444 444   0   0    0   0   0   0   0   0   0   0   0   0   0   0
F_Utechtt     18 hol 16  1  1  1 28 413 318 318 318   3   0  286   0  11   0   0   0   0   0   0   0   0   0
Espen         18 hkg 15  1  1  1 15 942 570 570 570   0   0    0   0   0   0   0   0   0   0   0   0   0   0
Crush         18 hkg  1 16 15  8 61 570 912 737 533   3   0  286   2   0   0   5   2   2   0   1   0   0   0
R_Evanchuck   18 usa  1 16  4  3 11 444 667 713 794   0   0    0   0   0   0   0   0   0   0   0   0   0   0
G_Muckarsie   19 sco  1 16 10  4  9 444 571 176 819   3   3   59   0   0   0   0   0   0   0   0   0   0   0
U_Hushmire    17 sco  1 15  3  6  8 444 685 258 557   0   0    0   0   0   0   0   0   0   0   0   0   0   0
Half_Sack     17 aus  1 15  6  3  8 444 994 144 910   3   0  248   0   0   0   2   1   0   0   0   0   0   0
O_Mulhare     17 nir  1 15  8 10  8 462 663 201 520   3   0  265   0   0   0   1   1   2   0   0   0   0   0
T_Burgess     17 usa  1 14  5  6 36 318 548 665 648   0   0    0   0   0   0   0   0   0   0   0   0   0   0
T_Humbarger   18 isr  1 14  6  5 21 318 607 803 295   0   0    0   0   0   0   0   0   0   0   0   0   0   0
Le_Tex        16 fra  1 14  5  3 47 318 386  50 383   3   0  286   0   0   0   3   2   0   0   0   3   0   0
W_Swaffield   17 aus  1 13  6  6 42 318 597 334 474   0   0    0   0   0   0   0   0   0   0   0   0   0   0
Bad_Robot     18 hkg  1 15 17 14  9 570 994 200 726   3   0  286   0   0   0   1   5   6   0   0   0   0   0
G_Ivamy       18 cam  1  9 16 11 13 444  91 963 667   3   0  286   0   0   0   2   3   2   1   0   3   0   0
X_Burgan      18 fra  1  2 16  5 20 444 345 450 991   3   0  267   0   0   0   1   4   2   1   0   0   0   0
K_Tusing      17 aus  1  7 15  2  8 444 880 686 588   0   0    0   0   0   0   0   0   0   0   0   0   0   0
T_Guerrera    18 mex  1  4 15  9 29 318 282 369 335   3   3   53   0   0   0   0   1   0   0   0   0   0   0
D_Guice       17 fra  1  3 15 12 13 462 868 428 617   3   0  286   0   0   0   1   2   2   0   0   0   0   0
O_Dungan      18 nzl  1  8 14 10 12 318 203 577 436   0   0    0   0   0   0   0   0   0   0   0   0   0   0
R_U_Reddy     16 aus  1  2 14  3 18 318 360 306 411   0   0    0   0   0   0   0   0   0   0   0   0   0   0
F_Ludden      16 eng  1  5 14  5  8 318 459 959 248   3   0  252   0   0   0   0   3   3   0   0   0   0   0
C_Pobolero    18 hkg  1 10  3 17 11 570 754 912 244   3   0  242   0   0   0   0   2   3   1   0   0   0   0
W_Shogun      18 hkg  1  4 11 16 66 570 538 645  64   3   3   44   0   0   0   0   0   0   0   0   0   0   0
A_Ruse        18 nor  1 10  4 15 12 462 672  56 906   0   0    0   0   0   0   0   0   0   0   0   0   0   0
