Name         Age Nat St Tk Ps Sh Ag KAb TAb PAb SAb Gam Sub  Min Mom Sav Con Ktk Kps Sht Gls Ass  DP Inj Sus
------------------------------------------------------------------------------------------------------------
M_Census      25 bol 26  2  2  2 47 130  59  59  59   7   0  651   0  46  11   0   0   0   0   0   3   0   0
X_Schu        23 nor 20  1  1  1 22 497 984 984 984   1   1    7   0   0   1   0   0   0   0   0   0   0   0
E_Beeden      25 sco  2 23 18 14 18 306 260 381 811   7   0  658   0   0   0  12   3  12   1   2   0   0   0
R_Degge       26 bra  2 23 14  5 25 144   8 225 137   7   0  658   0   0   0  13  10   5   1   0   6   0   0
Luizinho      32 BRA  2 22  8 17 34 683 246 986 408   7   0  658   0   0   0   7   1  15   2   0   0   0   0
I_Bend        22 eng  1 22 12  7 17 750 389 295 904   7   0  658   1   0   0   9   1   6   1   1   3   0   0
V_Schutts     25 aut  2 21  7 14 36  30 576 406 433   0   0    0   0   0   0   0   0   0   0   0   0   0   0
M_Hartas      23 swe  2 20  6 17  8  57 330 194  86   0   0    0   0   0   0   0   0   0   0   0   0   0   0
CJ_McCollum   28 ire  1 14 24 17 39 444 672 421 758   6   0  564   1   0   0   2  17  17   1   4   3   0   0
OMG_C_Aiken   26 usa  2  4 23 13 20 144 136 248 623   7   0  658   0   0   0   1  16   6   0   1   6   0   0
B_Reash       24 can  2  6 22 13 29 116 426 764 759   7   0  658   0   0   0   0  15  11   1   2   0   0   0
K_Lashbrook   24 wal  2 18 22 11 28 108 183 308 507   7   0  658   1   0   0   4  16   8   0   1   0   0   0
K_Aktabowski  22 rus  1 14 21  6  8 750 266 182 523   1   0   94   0   0   0   0   1   0   0   1   0   0   0
Q_Latchu      24 nig  2  6 19 17 30  74 328 624 707   0   0    0   0   0   0   0   0   0   0   0   0   0   0
O_Albort      20 bel  1  6 19 13 14 660 943 571 154   0   0    0   0   0   0   0   0   0   0   0   0   0   0
L_Selders     22 den  1  9 20 22 57 929  88 976 738   7   0  658   0   0   0   0   7  31   9   0   6   0   0
P_Pearia      25 saf  2 11  8 21 45 233 618 747 770   0   0    0   0   0   0   0   0   0   0   0   0   0   0
H_Sugajima    21 jap  1  5 12 21 18 667 390 609 902   7   0  658   0   0   0   2   3  14   4   0   0   0   0
