Name         Age Nat St Tk Ps Sh Ag KAb TAb PAb SAb Gam Sub  Min Mom Sav Con Ktk Kps Sht Gls Ass  DP Inj Sus
------------------------------------------------------------------------------------------------------------
C_Cataford    22 jam 24  1  1  1 20 261 817 817 817  19   0 1807   0  94  35   0   0   0   0   0   5   0   0
B_O'Flynn     24 wal 20  2  2  2 24 699  88  88  88   0   0    0   0   0   0   0   0   0   0   0   0   0   0
F_Cekis       25 swe 20  2  2  2 54 608 120 120 120   0   0    0   0   0   0   0   0   0   0   0   0   0   0
T_Harrup      23 nir  1 23 16  4 63 889  54 421 166  15   0 1341   3   0   0  30  16   5   1   1  36   0   2
O_Cameau      30 fra  2 22 13  6 31 457 886  47 204  17   0 1599   1   0   0  31  16   7   1   5   0   0   0
Q_Pavelko     21 rus  1 22  8 12 24 781 607 521 108  18   0 1639   1   0   0  18   8  21   2   0   3   0   0
D_Thumm       27 t&t  2 21 13  5 53 257 822 431 454  19   0 1558   2   0   0  20  13   4   1   1   0   0   0
U_Peterwood   28 wal  2 21 10  6 10 539 565  97 417  13   6  875   0   0   0   5   4   4   0   0   3   0   0
Q_Cawthron    24 sco  2 20  7  4 60  56 580  96 561   4   3  169   0   0   0   2   1   1   0   0   0   0   0
N_Belfi       25 nor  2  6 22 10 68 226 295 378 245  13   0 1159   1   0   0   5  25   9   2   4  36   0   0
JJ_Agumani    28 nig  2 16 22  5  9 243 636 518 974  16   0 1358   1   0   0  11  27   6   2   0   3   0   0
N_McDiarmid   28 sco  2 12 22  6 47 359 830 487 650  18   2 1620   0   0   0   4  35   7   1   2   0   0   0
S_Theobold    25 sco  2  4 21 13 12  30 771  45 653   8   3  501   0   0   0   2   2   3   0   0   0   0   0
S_Mau         22 gha  1 19 20 14 22 727 687 637 172  17   3 1228   0   0   0  11  18  11   1   1  10   0   1
J_Peawd       22 gha  1  7 20 19 60 907  20 790 384  19   7 1326   0   0   0   1  20  19   3   2   3   0   0
G_Dieng       25 chi  1  4  8 24 30 475 560 700 770  18   0 1694   1   0   0   3   9  56  10   0  13   0   0
T_Matavz      29 slo  2  7 12 22 17 312 120 554  99  10   1  683   0   0   0   1   1  22   1   0   0   0   0
I_Caldwell    31 sco  2  9  5 21 49 621 652  86 381  15   5 1100   0   0   0   0   1  28   1   0   3   0   0
R_Vittek      24 slo  2  5 11 20 34  33 686  56 694   0   0    0   0   0   0   0   0   0   0   0   0   0   0
