Name         Age Nat St Tk Ps Sh Ag KAb TAb PAb SAb Gam Sub  Min Mom Sav Con Ktk Kps Sht Gls Ass  DP Inj Sus
------------------------------------------------------------------------------------------------------------
D_Typpo       18 usa 17  1  1  1  8 486 558 558 558  10   0  957   0  65  15   0   0   0   0   0   0   0   0
V_Ruppe       18 ind 15  1  1  1 35 390 450 450 450   0   0    0   0   0   0   0   0   0   0   0   0   0   0
S_Lynchard    17 xxx 13  1  1  1 15 736 360 360 360   0   0    0   0   0   0   0   0   0   0   0   0   0   0
U_Aumend      19 uae  1 19  6 18 54 648  68 297 300   9   0  831   1   0   0  15   5   5   1   0  13   0   0
M_Nuding      19 jam  1 18  5 16  9 504 256 559  92  10   3  631   0   0   0   9   3  10   0   1   0   0   0
T_Hummel      19 swi  1 18  3  4 44 450 195 228 773  10   3  574   0   0   0  13   2   2   0   0   0   0   0
C_Kuzy        19 hun  1 17 10  7 33 504 991 915 839   4   3  224   1   0   0   3   2   2   1   0   0   0   0
U_Bunkin      19 sco  1 17  4  4  8 504 933 706 758   0   0    0   0   0   0   0   0   0   0   0   0   0   0
Y_Puterbaugh  19 usa  1 16  7  5 14 558 223 942 598   0   0    0   0   0   0   0   0   0   0   0   0   0   0
O_Syzdek      17 xxx  1 15  1  8 70 360 846 517 281   9   0  730   0   0   0  11   0   5   0   0  13   0   1
U_Overpeck    17 xxx  1 15  3  7 16 360 984 556 939   9   0  860   1   0   0  17   0   7   2   0   3   0   0
P_Bussman     17 aus  1 14  4  6  8 450  29 241  56   0   0    0   0   0   0   0   0   0   0   0   0   0   0
L_Guntle      17 aut  1 13  9  5 10 450 983  36 232   0   0    0   0   0   0   0   0   0   0   0   0   0   0
Gigi_Asami    19 ita  1  6 17  8 36 516 104 213  64   9   0  767   1   0   0   5  11   4   1   1   3   0   0
F_Wally       19 usa  1  4 17  6  9 516 191  93 108   9   1  785   1   0   0   1  15   3   0   3   0   0   0
E_Guier       18 xxx  1  7 15  5 19 360 966 840 413   5   2  370   0   0   0   1   6   1   0   0  10   0   0
P_Sweetwood   17 xxx  1  2 15  8 26 360 663 992 780   9   1  696   0   0   0   0  16   7   1   2  16   0   0
B_Purkapile   18 xxx  1  6 15  3  8 360 868  74 715   0   0    0   0   0   0   0   0   0   0   0   0   0   0
N_Butterfield 18 eng  1  4 14  6 42 450  70 928  96   1   0   97   0   0   0   0   3   0   0   0   0   0   0
J_Gunstrom    17 xxx  1  8 14  3 26 360 303 838 638   9   1  815   0   0   0   4   9   3   0   0   9   0   0
A_Burgan      19 eng  1  7  4 18 61 558 960 625 223  10   0  801   1   0   0   4   0  14   4   0   6   0   0
F_Aulich      19 aut  1  8  6 16 18 450 957 155 167   7   5  437   0   0   0   0   0   9   3   0   3   0   0
K_Buttke      17 xxx  1  4  7 15 27 360 435 302 737   6   0  444   0   0   0   1   1   7   1   0   0   0   0
S_Buono       19 spa  1  5  7 15 16 648 333 147 189   0   0    0   0   0   0   0   0   0   0   0   0   0   0
Q_Lydamore    17 usa  1  2  6 14 29 450   1 913 899   5   3  283   0   0   0   1   2   1   0   0   0   0   0
S_Durrer      17 xxx  1  6  3 13 28 360 327 624 770   0   0    0   0   0   0   0   0   0   0   0   0   0   0
