Name         Age Nat St Tk Ps Sh Ag KAb TAb PAb SAb Gam Sub  Min Mom Sav Con Ktk Kps Sht Gls Ass  DP Inj Sus
------------------------------------------------------------------------------------------------------------
M_Borjan      31 can 26  1  1  1 29 652 912 912 912  16   0 1434   0  50  24   0   0   0   0   0   0   3   0
A_Isaksson    30 swe 24  2  2  2 15 205 517 316 316   1   1   86   0   4   2   0   0   0   0   0   0   0   0
T_Keightley   27 eng 20  2  2  2 17 562 429 429 429   0   0    0   0   0   0   0   0   0   0   0   0   0   0
N_Servoss     29 fra  2 26 14  5 19 953 438 764 344  16   0 1522   3   0   0  23   7   9   1   0   6   0   0
T_Vixen       26 wal  1 25 14  3 26 885 169 865 302  16   0 1520   0   0   0  16   9   2   0   1   6   0   0
S_Johnson     31 eng  1 24 12 10 14 436 376 165 509  15   0 1388   0   0   0  18   4   3   0   1   3   0   0
P_Lazarou     31 fij  2 24 22  5 16 752  99 423 676  16   0 1493   0   0   0  18  16   1   0   1  13   0   1
Basil_Brush   27 eng  2 24 14 13 19 256 219 557 975  14   0 1165   1   0   0  13  10   5   0   3   0   0   0
F_Abos        32 spa  2 22 21  3 28 253 182 679   4   2   2  132   0   0   0   0   1   0   0   0   0   0   0
J_Peters      32 can  2 21 16 10 12 151 253 379 168   0   0    0   0   0   0   0   0   0   0   0   0   0   0
P_Fellenbaum  24 hol  2 21 18  5 24 449 600  64 502   0   0    0   0   0   0   0   0   0   0   0   0   0   0
The_Future    28 aus  2 21 15 21 23 570 204 237 971   0   0    0   0   0   0   0   0   0   0   0   0   0   0
B_Leafey      27 can  2 20 20  5 29 446 824 508 946   0   0    0   0   0   0   0   0   0   0   0   0   0   0
B_Harvey      28 aus  2 16 26 13 31 702 220 415 281  15   0 1423   0   0   0   4  23  12   3   2  16   0   0
J_Jordan      31 sco  2 16 23 10 11 654 129 906 662  16   0 1520   0   0   0   1  12   8   2   0   0   0   0
K_Kyle        23 can  1 15 23 13 29 666 535 726 969  15   0 1366   0   0   0   4  10  14   0   2   3   0   0
A_Bannon      32 ENG  3  6 22 17 31 341 467 708 704   5   0  300   0   0   0   0   3   3   0   0  10   0   0
X_Laguna      31 mex  2  9 22 21 15 783 321 399 742   7   2  599   0   0   0   0   7   5   0   0   0   0   0
N_Lamptey     33 gha  1  7 20 12 30 552 145 574 240   0   0    0   0   0   0   0   0   0   0   0   0   0   0
K_Jeannotte   26 fra  2  9 19 19 18 417 349 995 676   0   0    0   0   0   0   0   0   0   0   0   0   0   0
O_Leapson     29 eng  2 15  6 27 12 589 843 375 654  16   0 1520   1   0   0  11   5  35   6   0   0   0   0
B_Shadick     29 saf  3  6 11 26 17  55   6 418 475   8   0  554   0   0   0   1   1   5   0   0  10   0   0
G_Saltmer     31 can  2  5 12 24 10 691 312 215 629   9   6  555   0   0   0   2   4   6   1   0   0   0   0
