Name         Age Nat St Tk Ps Sh Ag KAb TAb PAb SAb Gam Sub  Min Mom Sav Con Ktk Kps Sht Gls Ass  DP Inj Sus
------------------------------------------------------------------------------------------------------------
M_Pugliese    18 can 17  1  1  1 18   4 540 540 540   4   0  378   0  33  10   0   0   0   0   0   0   0   0
V_Hutzel      18 xxx 15  1  1  1 40 396 324 324 324   0   0    0   0   0   0   0   0   0   0   0   0   0   0
P_Lvcall      18 usa 14  1  1  1 17 128 486 486 486   0   0    0   0   0   0   0   0   0   0   0   0   0   0
R_Bures       18 can  1 17  3  8 40 432 227 162 476   4   0  378   0   0   0   3   0   4   1   0   0   0   0
X_Hughs       19 arg  1 17 12  5 42 452 778 831 264   4   0  330   0   0   0   2   1   2   0   0  10   0   1
G_Curle       19 can  1 17  3  5  9 432 138  17 525   4   0  378   0   0   0  11   2   2   1   0   0   0   0
E_Szadowski   19 can  1 16  5  6 14 432 942  47 696   3   0  236   0   0   0   1   3   2   0   0   0   2   0
G_Nulph       19 can  1 15  6  5  8 432 475 472 131   1   1   46   0   0   0   1   0   1   0   0   0   0   0
R_Burhyte     18 xxx  1 15  4  8 60 324 893 386 418   0   0    0   0   0   0   0   0   0   0   0   0   0   0
Y_Pummill     18 can  1 14  6  5  8 540 598 655 683   0   0    0   0   0   0   0   0   0   0   0   0   0   0
D_Swickard    17 xxx  1 14  4 13 15 324 575 851 678   1   0   94   0   0   0   0   0   0   0   0   0   0   0
U_Guidetti    19 can  1  6 18  4 39 432 613 144 851   4   0  378   1   0   0   3  12   3   0   3   0   0   0
T_Gupwell     19 wal  1  5 18  5 38 452 987  32  52   4   0  378   0   0   0   2   9   1   0   2   0   0   0
P_Cseh        19 can  1  4 16  8 56 528 424 883 110   1   0   94   0   0   0   0   1   1   1   0   0   0   0
F_Aumend      18 can  1  4 16  9 26 540 703 764 721   4   0  378   0   0   0   0   7   5   2   0   6   0   0
T_Seitzinger  19 can  1  9 15 14 21 648  48 954 574   4   0  378   1   0   0   2   5   8   2   0   0   0   0
L_Bundren     17 can  1  6 15  3 13 432 482 843   8   1   0   96   0   0   0   0   3   0   0   0   0   0   0
C_Bunyea      18 can  1 12 14  6 22 534 552 722 865   0   0    0   0   0   0   0   0   0   0   0   0   0   0
C_Owen        17 can  1  5  2 15  8 432 834 871 947   2   0  158   0   0   0   1   0   5   2   0   0   0   0
L_Bullard     17 can  1  7  3 15  8 432 673 920 590   4   1  316   0   0   0   1   0   5   2   0   0   0   0
L_Puoci       17 xxx  1  2  6 15 31 324 266 699 391   3   0  282   0   0   0   0   1   5   0   0   0   0   0
W_Cefai       19 can  1  5 11 14 10 612 252 687 383   0   0    0   0   0   0   0   0   0   0   0   0   0   0
