Name         Age Nat St Tk Ps Sh Ag KAb TAb PAb SAb Gam Sub  Min Mom Sav Con Ktk Kps Sht Gls Ass  DP Inj Sus
------------------------------------------------------------------------------------------------------------
V_McCarron    29 ire 26  2  2  2 46 910 821 821 821   4   0  382   0  19   4   0   0   0   0   0   0   0   0
Paddy_G       24 ire 21  1  1  1 18 985 659 659 659   0   0    0   0   0   0   0   0   0   0   0   0   0   0
S_Gap         29 nzl 21  2  2  2 15 248 320 320 320   0   0    0   0   0   0   0   0   0   0   0   0   0   0
O_Owrey       20 ire 16  1  1  1 29 813 639 639 639   0   0    0   0   0   0   0   0   0   0   0   0   0   0
TJ_Galiardi   25 ita  2 23  5 14 14 401 883 589  66   4   0  382   0   0   0   2   0   4   1   0   0   0   0
O_Germani     24 ita  1 22  8 11 21 783 841  34 918   2   0  191   1   0   0   2   1   1   1   0   0   0   0
W_Clyburn     24 ire  1 22 13 10 14 495 544 938 701   4   0  353   0   0   0   7   2   1   0   0   0   4   0
O_Kellman     26 aus  2 22 10  4 11 408 448 771 920   2   0  191   0   0   0   1   0   0   0   0   0   0   0
P_Genisi      23 cam  2 21 14  4 38 140 527 396 336   1   1   29   0   0   0   0   0   0   0   0   0   0   0
R_Demar       27 spa  2 21  8 12 29 408 415 661 487   0   0    0   0   0   0   0   0   0   0   0   0   0   0
L_Reventon    29 uru  2 21  4 10 55 558 679 719 498   0   0    0   0   0   0   0   0   0   0   0   0   0   0
J_Hung_Lowe   20 aus  1 19  4  9 12 765 996 645 219   2   0  191   0   0   0   2   0   0   0   0   0   0   0
J_Cork        20 ire  1 16  7 11 11 747 984 819 846   0   0    0   0   0   0   0   0   0   0   0   0   0   0
A_Mullans     20 ire  1 16 10  6 10 639 691 634 712   0   0    0   0   0   0   0   0   0   0   0   0   0   0
W_Kelter      26 bel  2 15 23 14 25  24  21 865  32   4   0  382   1   0   0   2   7   6   1   1   0   0   0
H_Tomozuka    22 jap  2 18 23 10 16   3 800 188 345   4   1  316   0   0   0   2   3   3   0   1   0   0   0
I_Degenstein  25 hol  2  9 23 18 20  18 376 115 992   4   0  323   0   0   0   1   9   4   0   2   0   0   0
L_Lathery     23 ire  1 20 22  4 13 657 687 299  54   4   0  382   0   0   0   4   6   0   0   1   0   0   0
S_Aldorino    27 ita  2 14 21  6 11 451  74 765  21   1   1   59   0   0   0   0   1   0   0   0   0   0   0
M_Matchell    28 eng  2 14 21  4 11 437 715 581 560   0   0    0   0   0   0   0   0   0   0   0   0   0   0
R_Lashlee     27 nir  2 14 20 11 20 376 301 712 476   0   0    0   0   0   0   0   0   0   0   0   0   0   0
Y_Symonette   20 mlt  1 11 19  4 16 639 107 414 228   2   0  191   0   0   0   1   1   1   0   0   0   0   0
P_Galway      20 ire  1  7 18 12 20 747 813 351 997   0   0    0   0   0   0   0   0   0   0   0   0   0   0
G_Duperault   20 arg  1  5 17  9 15 531 495 907 719   0   0    0   0   0   0   0   0   0   0   0   0   0   0
V_Molotov     26 rus  2  6 12 24 22 193 753 419 669   4   0  382   1   0   0   1   1  13   2   0   0   0   0
L_Bearfield   27 can  2 10  6 22 17 105 574  83  71   3   1  220   0   0   0   0   1   5   0   0   3   0   0
Kelly_Fox     23 can  1 21 10 22 37 711 224 366 101   2   0  191   0   0   0   1   0   2   0   0   0   0   0
L_Mauk        21 ire  1  6 17 21 18 777  32 589 608   1   0   68   0   0   0   0   1   2   0   0   3   2   0
R_Smacker     30 swe  2  9 14 20 51 740 214 849  68   0   0    0   0   0   0   0   0   0   0   0   0   0   0
