Name         Age Nat St Tk Ps Sh Ag KAb TAb PAb SAb Gam Sub  Min Mom Sav Con Ktk Kps Sht Gls Ass  DP Inj Sus
------------------------------------------------------------------------------------------------------------
H_Tysoe       18 mlt 18  1  1  1 37 331 582 582 582  13   0 1238   0  57  29   0   0   0   0   0  10   0   0
O_Owrey       19 ire 16  1  1  1 29 196 582 582 582   2   1  154   0   4   2   0   0   0   0   0   0   0   0
V_Hurrey      17 mlt 14  1  1  1 32 876 366 366 366   0   0    0   0   0   0   0   0   0   0   0   0   0   0
J_Hung_Lowe   19 aus  1 19  4  8 12 708 267 322 575  13   0 1262   0   0   0  11   1  15   2   0   0   0   0
K_Swap        18 mlt  1 18  7  5 13 582 286 378 979  14   0 1392   1   0   0  17   9   8   1   1   3   0   0
M_Putt        18 mlt  1 17  8  6 10 582 823 148 900  14   0 1392   1   0   0  21   8  14   3   0   0   0   0
H_Guzik       18 mlt  1 17 13  6 10 582 701 664 777  14   0 1392   0   0   0  17  14  12   0   1   0   0   0
J_Cork        19 ire  1 16  7 11 11 690 367 492 229   1   0  130   0   0   0   2   0   2   1   0   0   0   0
A_Mullans     19 ire  1 16 10  6 10 582  74  17 385   0   0    0   0   0   0   0   0   0   0   0   0   0   0
Y_Suhrbier    18 uae  1 15 13  3 54 474  17 504 162   0   0    0   0   0   0   0   0   0   0   0   0   0   0
F_Burtchett   18 ire  1 14  6  8 18 474 993  62 458   0   0    0   0   0   0   0   0   0   0   0   0   0   0
M_Kusch       17 hol  1 14  4  9 34 366 966 790 903   0   0    0   0   0   0   0   0   0   0   0   0   0   0
Y_Symonette   19 mlt  1 10 18  3 16 582 466 755 914  14   0 1392   0   0   0   6  22  11   0   1   0   0   0
W_Dusebout    18 mlt  1  5 18  9 76 582 767  38 335  14   0 1360   0   0   0   2  23   8   2   3  19   0   1
P_Galway      19 ire  1  7 17 12 20 690 477 664 395   4   0  446   0   0   0   0   6   1   0   1   3   0   0
C_Burnaine    18 usa  1  6 17  4 32 366 309 334 508   2   0  226   0   0   0   0   3   1   0   0   0   0   0
G_Duperault   19 arg  1  5 17  9 15 474 168 290 102   2   0  220   0   0   0   1   0   1   0   0   0   0   0
S_Guntrip     18 mlt  1 13 16  7 10 582 925 772 100  10   0  946   1   0   0   5  20   7   0   3   0   0   0
U_Duquesnay   18 spa  1  2 15 10 30 474 617 199 204   0   0    0   0   0   0   0   0   0   0   0   0   0   0
O_Tykowski    18 ukr  1 11 15  4 13 474 917 240 373   0   0    0   0   0   0   0   0   0   0   0   0   0   0
Y_Tylka       17 swi  1  2 15  9 34 474 442 211 999   9   0  850   0   0   0   1  19  13   2   0   0   0   0
W_Bunney      16 mlt  1  5 15  3 14 366 318 146 473  10   0  946   1   0   0   1  22   6   0   2   0   0   0
N_Muloin      18 ire  1  3 12 17  8 582 738 704 706  13   0 1223   0   0   0   0  12  38   4   0   0   0   0
F_Kurash      18 aut  1  7  7 17 32 474 855 891   7   6   1  556   1   0   0   1   4  18   5   0   6   0   0
R_Rumph       18 saf  1  3  7 14 44 366 548 794 951   1   0   97   0   0   0   0   1   0   0   1   0   0   0
