Name         Age Nat St Tk Ps Sh Ag KAb TAb PAb SAb Gam Sub  Min Mom Sav Con Ktk Kps Sht Gls Ass  DP Inj Sus
------------------------------------------------------------------------------------------------------------
Billy_T_Fish  24 eng 26  2  2  2 24 122  79  79  79   4   0  379   1  17   0   0   0   0   0   0   0   0   0
AJ_Babaflex   20 eng 21  1  1  1 34  77 728 728 728   0   0    0   0   0   0   0   0   0   0   0   0   0   0
K_Bellion     21 fra 19  2  2  2 21 403   1   1   1   0   0    0   0   0   0   0   0   0   0   0   0   0   0
Y_Cadarette   30 fra  2 26  8 13  9 790 408 755 626   4   0  379   1   0   0   3   3   4   0   0   0   0   0
T_Campbell    22 eng  1 24 15 11 23 852 500 196 375   4   0  379   1   0   0   5   3   4   0   1   0   0   0
N_Base        33 ENG  1 24 12  1 45 601 114 474  15   0   0    0   0   0   0   0   0   0   0   0   0   0   0
Q_Perelman    27 swi  2 24 14  7 18 378  90 616 958   4   0  379   1   0   0   5   9   2   1   1   0   0   0
AJ_Jackson    25 usa  2 23 11 14 19  24 492 858 570   3   0  284   0   0   0   3   0   2   0   0   0   0   0
S_Taylor      24 eng  2 23  8 14 18  43 701 650 404   1   0   95   0   0   0   0   0   2   0   0   0   0   0
G_Jasnau      28 bol  2 22  4  8 11 401 266 448 329   0   0    0   0   0   0   0   0   0   0   0   0   0   0
D_Tepe        21 sco  1 21  8 17 47 990 213 588 600   0   0    0   0   0   0   0   0   0   0   0   0   0   0
AJ_N_Zone     24 usa  2 10 24 20 30 187 506 638 351   4   0  379   0   0   0   0   5   5   1   0   0   0   0
Cando_Santos  28 bra  2 16 24  5 27 343 642 794 275   1   1   55   0   0   0   0   1   0   0   0   0   0   0
AJ_Bigirimana 25 eng  1 17 24 10 39 840 886 353  90   3   0  236   0   0   0   0   4   2   1   0   0   0   0
AJ_Camellini  24 ita  2  5 23 19 14  36 354 874  15   3   0  284   0   0   0   0   2   6   1   1   0   0   0
Mario         22 ita  1 21 23  7 39 870 996 831 421   4   0  324   0   0   0   1   6   0   0   0   3   0   0
Leo_Diamond   23 eng  1 20 22 20 20 990 861 128   2   4   0  379   0   0   0   4   9   7   1   2   0   0   0
K_Beaty       22 eng  1 12 21  9 15 936 410 304  61   0   0    0   0   0   0   0   0   0   0   0   0   0   0
Ji_Sun_Wo     21 kor  1 13 21  9 26 758 547 187 730   0   0    0   0   0   0   0   0   0   0   0   0   0   0
Babybinho     20 bra  1  4 20 15  8 830  96 465 547   0   0    0   0   0   0   0   0   0   0   0   0   0   0
P_Masiker     20 sen  1  9 19  6  9 704 913 422 411   0   0    0   0   0   0   0   0   0   0   0   0   0   0
S_Fukomoto    24 jap  2 12 15 23 44  19 234 505 444   3   1  238   0   0   0   0   1   6   0   0   3   0   0
T_Rooney      22 eng  1  5 17 23 43 834 663 333 681   4   0  357   0   0   0   0   3   6   1   0   3   0   0
AS_Campbell   24 eng  1  4 21 22 34 522 667 702 889   1   1   22   0   0   0   0   1   2   0   0   0   0   0
J_Applewhite  21 usa  1  5 16 21 43 938 169  30 502   0   0    0   0   0   0   0   0   0   0   0   0   0   0
