Name         Age Nat St Tk Ps Sh Ag KAb TAb PAb SAb Gam Sub  Min Mom Sav Con Ktk Kps Sht Gls Ass  DP Inj Sus
------------------------------------------------------------------------------------------------------------
D_Beasant     30 eng 28  1  1  1 21 292 534 534 534   0   0    0   0   0   0   0   0   0   0   0   0   0   0
E_Heabel      28 col 22  2  2  2 23 404 505 540 505   0   0    0   0   0   0   0   0   0   0   0   0   0   0
C_Childress   28 sco 21  2  2  2 10 258 662 662 686   0   0    0   0   0   0   0   0   0   0   0   0   0   0
N_Vendig      27 spa  2 26 18  5 11 471 210 315 507   0   0    0   0   0   0   0   0   0   0   0   0   0   0
A_Pyro        28 swe  1 26 13 15 36 887 782 130 681   0   0    0   0   0   0   0   0   0   0   0   0   0   0
Wicket        25 ger  1 25 19  1 36 534 510 836 507   0   0    0   0   0   0   0   0   0   0   0   0   0   0
M_Calliot     25 can  1 25 18  9 14 948 707 465 503   0   0    0   0   0   0   0   0   0   0   0   0   0   0
P_Septer      31 aut  2 24 11  7 11 735 547 728 737   0   0    0   0   0   0   0   0   0   0   0   0   0   0
O_Ograske     24 cze  2 20 14  4 12 289 198 597 652   0   0    0   0   0   0   0   0   0   0   0   0   0   0
Poltergeist   28 rus  2 14 27 13 41 124 602 376 357   0   0    0   0   0   0   0   0   0   0   0   0   0   0
O_Hargreaves  27 can  1 18 26 13 30 624 562 626 402   0   0    0   0   0   0   0   0   0   0   0   0   0   0
L_Hausfeld    24 usa  2 19 24  8 36 255 389 229 909   0   0    0   0   0   0   0   0   0   0   0   0   0   0
E_Bego        24 nig  1  8 23 21 37 837 180 494 298   0   0    0   0   0   0   0   0   0   0   0   0   0   0
B_Kallam      32 cam  2 19 23  6 38 883 980  52 304   0   0    0   0   0   0   0   0   0   0   0   0   0   0
V_Renwick     30 sco  2 10 21  6 19 321 597 321 203   0   0    0   0   0   0   0   0   0   0   0   0   0   0
K_Peacham     25 ire  2 17 19  8 59  57  79 821  27   0   0    0   0   0   0   0   0   0   0   0   0   0   0
N_Chestnut    31 eng  2  6 14 27 10 686  39 530 517   0   0    0   0   0   0   0   0   0   0   0   0   0   0
F_Oxindebox   27 gha  2  4 16 26 34  42 878 594 926   0   0    0   0   0   0   0   0   0   0   0   0   0   0
C_Sanow       33 POL  2  6 10 23  8 971 934 208  35   0   0    0   0   0   0   0   0   0   0   0   0   0   0
X_Neau        23 cam  2 13  4 20 28   3   7 921 936   0   0    0   0   0   0   0   0   0   0   0   0   0   0
