Name         Age Nat St Tk Ps Sh Ag KAb TAb PAb SAb Gam Sub  Min Mom Sav Con Ktk Kps Sht Gls Ass  DP Inj Sus
------------------------------------------------------------------------------------------------------------
L_Rustay      19 TUR 18  1  1  1 51 297 756 756 756   3   0  283   0  13   2   0   0   0   0   0   0   0   0
X_Dziadula    18 xxx 14  1  1  1 46 606 324 324 324   0   0    0   0   0   0   0   0   0   0   0   0   0   0
Kaz_Harman    19 eng  1 18 13 11 16 594 530 209 705   3   0  283   0   0   0   2   3   2   0   0   0   0   0
G_Dunigan     19 aus  1 17 12  5 51 414 271 670 943   2   0  173   0   0   0   1   0   1   0   0  10   0   0
C_Dommes      19 fra  1 17  5  7  9 468  70 404 430   3   0  283   0   0   0   2   0   2   0   0   0   0   0
I_Burkins     17 xxx  1 15  3  4 10 324 550 502 603   3   0  283   0   0   0   4   1   0   0   1   0   0   0
B_Yow         17 xxx  1 15  6  5  8 324 991 358 733   3   0  283   0   0   0   0   0   0   0   0   0   0   0
Dodinho       19 bra  1  6 17  4 64 468 715 636 971   1   0   58   0   0   0   0   1   0   0   0   3   1   0
T_Bulk        19 usa  1  6 16  2 50 468 713 568 991   3   0  283   0   0   0   1   2   0   0   0   0   0   0
G_Humiston    19 ire  1  5 16  4 35 452 478 405  19   3   0  276   0   0   0   0   2   1   0   0   0   0   0
C_Cumpston    19 ire  1  4 15  3 33 452 453 875 784   2   1  184   0   0   0   1   2   0   0   1   0   0   0
N_Swinburne   17 ire  1  3 15  6 28 468 943  57 890   1   1   35   0   0   0   0   0   0   0   0   0   0   0
S_Supa        19 rom  1  2 14  8 18 468 502 554 480   0   0    0   0   0   0   0   0   0   0   0   0   0   0
F_Lush        17 xxx  1  3 14  4 19 324 502 299 583   0   0    0   0   0   0   0   0   0   0   0   0   0   0
G_Sturzl      17 xxx  1  2 14 11 10 324 625 726 542   2   0  190   0   0   0   0   2   2   1   0   0   0   0
T_Parka       19 eng  1 11  4 18  8 504 677 444 278   3   0  283   1   0   0   0   2   3   1   0   0   0   0
P_Rynne       19 usa  1 14  6 17  9 414  24 829 850   3   0  196   1   0   0   2   1   4   2   0   0   0   0
D_Czepczor    19 can  1  5  2 14 26 468 621 143 564   1   1    7   0   0   0   0   0   0   0   0   0   0   0
