Name         Age Nat St Tk Ps Sh Ag KAb TAb PAb SAb Gam Sub  Min Mom Sav Con Ktk Kps Sht Gls Ass  DP Inj Sus
------------------------------------------------------------------------------------------------------------
H_Sakai       24 jap 24  1  1  1 39 556 644 644 644   8   0  761   0  50  23   0   0   0   0   0   3   0   0
N_Toshiaki    22 jap 20  2  2  2 19 321 281 281 281   0   0    0   0   0   0   0   0   0   0   0   0   0   0
H_Kashibashi  22 jap  2 24 17  8 17  95 554 454 437   8   0  761   0   0   0  11   4   8   1   0   0   0   0
T_Hamaguchi   21 jap  1 23 17  9 12 932 694  76 918   8   0  761   1   0   0  11   7   8   1   0   0   0   0
K_Wakashu     22 jap  2 23 14 11 22  49 213 466 694   8   0  761   1   0   0  13   1   7   2   0   3   0   0
Y_Yeargain    30 cam  2 20 11  5  8 931 918 507 761   3   3   73   0   0   0   0   0   0   0   0   0   0   0
S_Hirasawa    20 jap  2 19 13  9 69 167 946 952 362   1   0   62   0   0   0   1   0   0   0   0   0   0   0
H_Tsujimoto   27 jap  1 10 25  2  8 500 813 672 574   7   0  652   0   0   0   3  13   1   0   0   0   2   0
S_Yoshihiro   23 jap  2 12 24 16 26 121 976  63 530   8   0  761   0   0   0   2  14  11   0   3   3   0   0
Y_Kazuyuki    21 jap  2  8 23 20 56 291  37 554 698   7   0  616   0   0   0   0  14  10   2   1  19   0   0
S_Kubozuka    23 jap  2 10 22 14 14 209 302 305 214   8   0  734   1   0   0   1  10   7   1   2   0   0   0
Y_Yoshizawa   21 jap  2 21 22  6 17 149 654 658 113   8   0  761   0   0   0  14   7   1   0   1   3   0   0
B_Merryfield  28 jam  2  7 20 12 35 680 666 560 867   1   1   15   0   0   0   0   0   1   0   0   0   0   0
K_Asanuma     20 jap  1 11 19  4 13 716 133 553 302   1   0   98   0   0   0   1   1   0   0   0   0   0   0
H_Nowosatka   20 jap  1  5 19 13 11 716 746 471 329   1   1   27   0   0   0   0   0   1   0   0   0   0   0
I_Saito       20 jap  1  7 17 12 15 932 824 883 280   0   0    0   0   0   0   0   0   0   0   0   0   0   0
S_Fujisaki    23 jap  1  5 16 26 24 644 879 882 336   8   0  761   0   0   0   0   7  27   7   1   6   0   0
T_Matsumoto   23 jap  2  6 22 24 44 355 249 377 241   8   0  737   0   0   0   2  15  24   4   1   0   0   0
R_Van_Persie  29 HOL  2  2 10 23 27 198 928 632 463   0   0    0   0   0   0   0   0   0   0   0   0   0   0
D_Suker       28 cro  2 10  7 21 47 326 656 443  92   0   0    0   0   0   0   0   0   0   0   0   0   0   0
I_Deitrich    23 fra  2 12  5 20 28  41 105  62 311   0   0    0   0   0   0   0   0   0   0   0   0   0   0
