Name         Age Nat St Tk Ps Sh Ag KAb TAb PAb SAb Gam Sub  Min Mom Sav Con Ktk Kps Sht Gls Ass  DP Inj Sus
------------------------------------------------------------------------------------------------------------
S_Saionji     18 jap 18  1  1  1 17 173 492 492 492  19   0 1758   0  74  21   0   0   0   0   0   0   0   0
H_Hoshino     19 jap 16  1  1  1 66 691 580 580 580   1   1   44   0   1   0   0   0   0   0   0   0   0   0
A_Shotoku     18 jap  1 20 17  7 12 724 119 230 214  15   0 1329   3   0   0  22  17   7   1   1   3   0   0
J_Funakoshi   18 jap  1 19 12  7 19 580 183 390 572  16   0 1256   0   0   0  15  10  11   0   1  20   0   0
T_Yukutomo    18 jap  1 18 15  3 19 796 384  90  97  19   0 1657   2   0   0  15  16   4   0   1   3   0   0
Y_Dohmoto     18 jap  1 18 10  5  9 796 125 807 165  19  11  878   0   0   0  13   9   7   0   0   3   0   0
M_Mikami      19 JAP  1 18  8  2 10 580  41 446 930  11  11  347   0   0   0   4   2   0   0   0   0   0   0
S_Shimonura   18 jap  1 17  6  9 77 580 642 604 529   2   2   70   0   0   0   0   1   0   0   0   0   0   0
H_Kazuyoshi   17 jap  1 17  9 16 34 562 608 680 754  19   0 1802   1   0   0  13   3  37   5   0   3   0   0
Y_Erizawa     17 jap  1 15  6  6  8 436 956 211  77   0   0    0   0   0   0   0   0   0   0   0   0   0   0
K_Shinohara   18 jap  1 12 20 16 16 724 358  44  93  19   0 1795   2   0   0   8  30  40   6   2   6   0   0
T_Yamoaka     18 jap  1  5 18 10 15 796 295  45 919   8   5  314   0   0   0   0   6   2   0   1   0   0   0
S_Ito         18 jap  1  9 17  4 35 796  79 911 404   0   0    0   0   0   0   0   0   0   0   0   0   0   0
H_Yamashita   18 jap  1 15 17  5 30 580 709 876 341  19   0 1681   1   0   0   8  27   8   0   4   6   0   0
E_Agu         18 jap  1  7 17  9 26 796  61 677 763   2   2   58   0   0   0   0   1   0   0   0   0   0   0
H_Etsuko      18 jap  1  6 17  2 13 436 676 650 849   0   0    0   0   0   0   0   0   0   0   0   0   0   0
H_Makiguchi   17 jap  1 13 17  2 28 492 761 484 258  18   0 1699   1   0   0   3  27   2   2   2  13   0   0
H_Tatekawa    18 jap  1  2 16  7 16 580 555 697 747   0   0    0   0   0   0   0   0   0   0   0   0   0   0
S_Harada      17 jap  1  2 16  5 38 436  59 536 645   0   0    0   0   0   0   0   0   0   0   0   0   0   0
I_Honami      16 jap  1  4 15  3 10 436 209 224 738   0   0    0   0   0   0   0   0   0   0   0   0   0   0
O_Isoda       16 jap  1  6 15  4 32 436 519 199 735   0   0    0   0   0   0   0   0   0   0   0   0   0   0
Y_Okazawaya   18 jap  1  3  9 18 14 492  56 974 485  17   0  983   0   0   0   0   7  24   4   3   0   0   0
H_Fukuzawa    17 jap  1  4 11 17 23 436 434 793 724  19   0 1745   0   0   0   1   9  52   4   1   6   0   0
Y_Mizumaki    18 jap  1  6  8 17 20 436 910 285 407  17  17  561   0   0   0   0   4  22   6   0   0   0   0
