Name         Age Nat St Tk Ps Sh Ag KAb TAb PAb SAb Gam Sub  Min Mom Sav Con Ktk Kps Sht Gls Ass  DP Inj Sus
------------------------------------------------------------------------------------------------------------
J_Bonforte    22 eng 25  2  2  2 21  44  15  15  15   6   0  576   0  20   4   0   0   0   0   0   0   0   0
R_Colobolo    31 spa 22  2  2  3 26 744 893 983 109   0   0    0   0   0   0   0   0   0   0   0   0   0   0
S_Zeininger   26 ger 20  2  2  2  8 887 710 800 836   0   0    0   0   0   0   0   0   0   0   0   0   0   0
Juan_Baez     31 mex  2 25 14 15 32 269 781 192  69   6   0  576   1   0   0   8   7   9   0   0   0   0   0
J_Zanzinger   27 ger  1 25 12 16 19 844 546 315 542   6   0  576   0   0   0   4   7   3   0   0   0   0   0
P_Moore       22 eng  1 24 16 18 29 492 230 306 678   6   0  576   1   0   0   9   6   5   1   0   0   0   0
W_McTell      23 sco  1 24 15 18 30 348 651  16 295   6   0  576   0   0   0   5   5  11   0   0   3   0   0
X_Shadduck    26 eng  2 24  6 19 21 493 556 103 287   1   0   94   0   0   0   1   1   1   0   0   0   0   0
K_Von_Ulm     32 GER  3 23 19  9 46 113 655 463 483   5   0  437   0   0   0   6   3   1   1   0  10   0   0
I_Haward      23 wal  2 22  5 10 45 213 527 413 410   0   0    0   0   0   0   0   0   0   0   0   0   0   0
J_Eisenhuth   26 aut  2  6 25 18 21 677 156 126 177   5   0  479   1   0   0   1  12   6   2   0   0   0   0
A_Eikamp      26 hol  2 17 25  7 10 791 500  33 848   6   0  576   0   0   0   4  12   3   0   1   0   0   0
L_Pera        32 por  3 17 24  9 22  54 975 158  80   6   0  576   0   0   0   2  14   3   0   2   0   0   0
E_Ferger      22 wal  2 20 21  5 21 213 977 988 441   2   2   39   0   0   0   0   0   0   0   0   0   0   0
Y_Degough     22 fra  2  6 20 20 18 213 379 868 885   0   0    0   0   0   0   0   0   0   0   0   0   0   0
K_Kobayashi   29 jap  2 11 10 25 24 213 326 629 900   6   0  559   0   0   0   0   1  11   2   0   0   0   0
Ftang_Ftang   22 nig  1  7 17 23 27 636 977 213 691   5   0  479   0   0   0   0   4  11   0   0   3   0   0
S_benAvraham  31 isr  2 10  9 23 20 566 347  49 536   0   0    0   0   0   0   0   0   0   0   0   0   0   0
V_Maximov     25 rus  2  8 20 22 36 194 933 645  32   2   0  172   0   0   0   0   1   2   1   0   0   0   0
M_Hasson      20 pak  1  4  7 19 14 708 819 652 839   0   0    0   0   0   0   0   0   0   0   0   0   0   0
