Name         Age Nat St Tk Ps Sh Ag KAb TAb PAb SAb Gam Sub  Min Mom Sav Con Ktk Kps Sht Gls Ass  DP Inj Sus
------------------------------------------------------------------------------------------------------------
M_Prowse      19 eng 17  1  1  1 16 241 652 652 652   9   0  869   0  44   8   0   0   0   0   0   0   3   0
J_Ezelle      18 fra 16  1  1  1 28 153 652 652 652   1   1   20   0   0   0   0   0   0   0   0   0   0   0
W_Bunderman   18 eng 13  1  1  1 24 337 440 440 440   0   0    0   0   0   0   0   0   0   0   0   0   0   0
P_Cass        19 eng  1 18 18  8 18 796 813 341 634   9   0  889   0   0   0  14  13   1   0   0   3   0   0
A_Svend       19 nor  1 18 14  6 27 508 328 338 472   9   0  889   0   0   0   9   9   7   0   0   0   0   0
R_Walden      18 eng  1 18 14  6 19 364 275 112 566   9   0  814   1   0   0  11  17   4   0   0   0   0   0
V_Provoncha   18 arg  1 18  7 10 24 652 136 787 564   8   0  776   0   0   0  12   2  12   1   0   0   0   0
M_Marrington  19 ENG  1 17  4 16 33 796 662 713 660   9   0  889   1   0   0  11   1  20   2   0   0   0   0
D_Vosburgh    17 den  1 15  2  4 10 364 704 644 228   2   2   93   0   0   0   2   0   0   0   0   0   0   0
T_Gundel      17 swe  1 14  4  6 74 364 728 409 775   0   0    0   0   0   0   0   0   0   0   0   0   0   0
M_Pue         16 jap  1 14  7  6 23 364 316 176 497   0   0    0   0   0   0   0   0   0   0   0   0   0   0
J_Workstel    16 cro  1 13  9  3 29 364 780 615 399   0   0    0   0   0   0   0   0   0   0   0   0   0   0
K_Supko       19 slo  1  3 19 11  9 652 994 112 181   8   0  731   1   0   0   1  12  10   1   2  10   0   0
K_Pynson      18 eng  1  3 17 11 24 634 643 611 672   9   0  889   1   0   0   0  20  11   2   2   0   0   0
J_Vorndam     18 hol  1 10 16  4  9 364 726 781 515   8   1  684   0   0   0   2  13   1   0   2   0   0   0
P_Kuzman      18 ger  1  6 16 11 31 652 956 268 196   7   0  682   1   0   0   3  17   7   1   2   3   0   0
T_Guerrera    18 mex  1  4 15  9 29 346 418 621 590   5   5   88   0   0   0   0   1   1   0   0   0   0   0
T_Ryle        16 nir  1  2 14  7 24 364 920 781 637   0   0    0   0   0   0   0   0   0   0   0   0   0   0
B_Dvojack     16 pol  1  7 14  2 11 364 623 790 552   0   0    0   0   0   0   0   0   0   0   0   0   0   0
Evian         19 fra  1  5  9 18  9 761 590 700 633   9   0  889   0   0   0   2   9  27   2   1   3   0   0
E_Wornell     18 eng  1  3  6 16 38 364 458 423 812   6   0  583   0   0   0   0   4  15   3   0   3   0   0
A_Duprat      19 fra  1  5 10 15 22 652 993 314 943   1   1   19   0   0   0   0   0   1   0   0   0   0   0
