Name         Age Nat St Tk Ps Sh Ag KAb TAb PAb SAb Gam Sub  Min Mom Sav Con Ktk Kps Sht Gls Ass  DP Inj Sus
------------------------------------------------------------------------------------------------------------
P_Kemmerer    22 can 23  2  2  2 20  87 199 199 199  12   0 1136   0  27  15   0   0   0   0   0   0   0   0
O_Baumann     21 ger 21  1  1  1 14 318 968 968 968   3   0  286   1  20   5   0   0   0   0   0   0   0   0
Y_Pelis       22 fra 19  1  1  1 11 582 690 690 690   0   0    0   0   0   0   0   0   0   0   0   0   0   0
A_Mattinson   24 eng  1 23  8  9 13 984 804 816 250  18   0 1707   1   0   0  19  12   6   0   1   3   0   0
P_Seidlitz    23 can  2 22 12  7 10  21 671 783 607  17   0 1611   1   0   0  27   7   5   1   0   0   0   0
P_Kercheval   23 can  1 22  6 11 46 822 748 810 995   9   6  497   0   0   0   9   1   6   0   0   8   0   0
U_Ogilby      22 can  2 22  7 11 17 149  62 432 347  13   0 1232   1   0   0  10   2   6   1   0   0   0   0
F_Schromm     21 ger  1 21 11 19  8 702 949 190 243  13   0 1151   1   0   0  15   4  13   2   0   0   0   0
X_Schruhl     22 ger  2 21 15  4 21 161 400 524 568  10   0  947   1   0   0   9   8   3   0   1   3   0   0
G_Kendrick    21 sco  1  5 22 17 26 966  31 646 129  17   0 1470   0   0   0   1  31  11   1   2  13   0   0
W_Chenowith   26 rom  2 16 22  7  9 696 629 866 959  17   0 1549   2   0   0   6  26   5   1   4  13   0   0
J_Warte       22 ire  1 11 22 14 10 768 705 136 967  18   0 1707   0   0   0   7  25  11   1   1   0   0   0
S_Verma       21 wal  1  5 21 10 24 917 334 364 397   6   0  569   0   0   0   0  11   1   0   0   0   0   0
K_Wang_Soo    30 chi  2  4 20 17 42 950 656 259  78   0   0    0   0   0   0   0   0   0   0   0   0   0   0
F_Cassity     22 sco  1 17 19  6 17 840 413 821 630   5   5  182   0   0   0   1   4   1   0   0   0   0   0
V_Oladipo     26 gha  1  9  9 24 30 456 688 631 307  18   0 1707   0   0   0   5   4  34   5   1   6   0   0
A_Pato        30 bra  2 15  7 23 17 624 749 561 444  18   0 1598   0   0   0   2   5  33   3   0   6   0   0
L_Pelech      25 spa  2  8 10 21 10 418 205 422 624   1   1   12   0   0   0   0   0   1   0   0   0   0   0
G_Hamar       23 wal  1  8 10 21  1 524 707  11 289   0   0    0   0   0   0   0   0   0   0   0   0   0   0
