Name         Age Nat St Tk Ps Sh Ag KAb TAb PAb SAb Gam Sub  Min Mom Sav Con Ktk Kps Sht Gls Ass  DP Inj Sus
------------------------------------------------------------------------------------------------------------
Safay_al_Din  29 isr 29  2  2  2 32  83 350 314 273   3   0  280   0  16   2   0   0   0   0   0   0   0   0
M_Callegari   32 ITA 25  1  1  1 11 365 884 884 884   0   0    0   0   0   0   0   0   0   0   0   0   0   0
F_Fenge       25 por 20  2  2  2 22 469 358 448 534   0   0    0   0   0   0   0   0   0   0   0   0   0   0
G_Facchetti   27 ita  1 25 11  2 18 668 682 938 766   3   0  259   0   0   0   5   2   1   0   0   0   0   0
G_Zuiverloon  28 hol  2 25  9 18  8 348 363 812 350   3   0  280   1   0   0   4   0   3   1   0   0   0   0
Jarlath       24 ire  2 25 17  6 12  69  98 670  57   3   0  280   0   0   0   2   1   1   0   0   0   0   0
M_Phelps      24 usa  1 24 20 11 27 828 423 620 835   3   0  280   0   0   0   1   2   7   2   0   3   0   0
F_Lauber      26 aut  2 23 12  5 10 345 882 991  45   3   2  171   0   0   0   1   2   0   0   0   0   0   0
A_Ashes       33 swe  2 21 12  4 26 443   3 690 824   1   1   21   0   0   0   0   0   1   0   0   0   0   0
R_Reidy       23 can  2 20  6 15  9 135 358 473 635   0   0    0   0   0   0   0   0   0   0   0   0   0   0
L_Maul        21 eng  1 20  8  5 11 900 511 122 846   0   0    0   0   0   0   0   0   0   0   0   0   0   0
Bruffio       27 ita  2 10 26 16  8 406 151 125 584   3   0  280   1   0   0   2   4   4   1   0   3   0   0
V_Rossi       23 ita  2 22 24 11 33 207 502 608 595   1   0   63   0   0   0   2   1   0   0   0   0   3   0
S_Vassar      25 egy  2  9 24 22 15 435 816 320  29   3   0  232   0   0   0   0   2   4   0   1   0   0   0
U_Matkovich   23 rus  2  7 24 22 30 176 617 117 223   3   0  280   0   0   0   0   5   5   0   1   0   0   0
W_Maharoof    26 tun  2 20 23  5 34  99 885 961 136   3   0  280   1   0   0   2   5   0   0   1   0   0   0
C_Vanwingen   22 hol  1  4 21  9 67 900 748 339 841   0   0    0   0   0   0   0   0   0   0   0   0   0   0
O_Gell        21 fra  1  9 20  4 28 882 374 984 869   0   0    0   0   0   0   0   0   0   0   0   0   0   0
M_Haylett     28 eng  2 18  8 25 38 658 722 233 674   1   0   94   0   0   0   0   1   2   1   0   0   0   0
U_Terribile   23 nor  1  6 22 23  8 976 775   5  52   3   0  280   0   0   0   0   1  10   1   0   0   0   0
U_Chitack     28 uae  2  5  9 22 12 149 633 736  96   0   0    0   0   0   0   0   0   0   0   0   0   0   0
M_Bakunin     31 tur  2  5 15 20  8 801 643 847 672   0   0    0   0   0   0   0   0   0   0   0   0   0   0
