Name         Age Nat St Tk Ps Sh Ag KAb TAb PAb SAb Gam Sub  Min Mom Sav Con Ktk Kps Sht Gls Ass  DP Inj Sus
------------------------------------------------------------------------------------------------------------
E_Kytchen     19 aus 17  1  1  1 10  15 456 456 456   9   0  879   0  31  11   0   0   0   0   0   0   0   0
F_Cudmore     18 eng 15  1  1  1 29 817 348 348 348   0   0    0   0   0   0   0   0   0   0   0   0   0   0
M_Eveleigh    19 usa  1 17  4  6 14 456 747 653 349   9   0  879   0   0   0   7   3   3   0   0   3   0   0
P_Kussmaul    19 nor  1 17  9  5 10 456 149 219 220   9   0  879   0   0   0   7   5   4   1   1   0   0   0
A_Burnam      17 jam  1 16  8  5 59 456 332 890  65   9   0  879   1   0   0  11   9   3   0   1   0   0   0
N_Auty        18 sco  1 14  3  6  8 348 801 371 709   2   1  143   0   0   0   1   0   0   0   0   0   0   0
D_Luscher     18 lux  1 14  6  3 30 348 857 943 579   0   0    0   0   0   0   0   0   0   0   0   0   0   0
Q_Fundis      16 swi  1 14  3  7 23 348 979 770 615   8   0  782   0   0   0   7   1   2   0   0   0   0   0
T_Duvernay    16 swi  1 12  4  2 10 348 677 219 370   0   0    0   0   0   0   0   0   0   0   0   0   0   0
J_Rydel       19 saf  1 14 17  5 40 456 333 641 130   9   0  879   1   0   0   6  18   4   1   0   3   0   0
I_Rush        18 wal  1  4 16  3 12 348 633 721 704   9   0  879   0   0   0   2  14   1   0   1   0   0   0
H_Ryttergods  19 usa  1  6 16  3 28 546 989 373 785   1   0   97   0   0   0   0   0   0   0   0   0   0   0
S_Gonzalez    19 mex  1  3 16 10 10 474  29  44 744   8   0  782   0   0   0   1  11  10   0   0   0   0   0
E_Kueker      17 ger  1  4 15  3  9 348 870 798 934   9   0  879   0   0   0   1  15   1   0   1   0   0   0
P_Dyrland     17 saf  1  8 13  3 15 348 965 607 689   0   0    0   0   0   0   0   0   0   0   0   0   0   0
H_Fuselier    19 ger  1  6  4 15 37 492 462 174 863   8   0  412   0   0   0   1   1   7   0   0   0   0   0
A_Guidetti    17 ita  1  5  5 14 11 456 188 879 505   9   8  505   0   0   0   3   4   9   1   0   0   0   0
M_Duplanty    18 fra  1  4  5 14 18 348 380 637 679   9   1  475   0   0   0   0   1   8   3   0   0   0   0
X_Kuippers    17 hol  1  3 10 14 54 456 256 890 727   3   2   96   0   0   0   0   0   2   0   0   0   0   0
