Name         Age Nat St Tk Ps Sh Ag KAb TAb PAb SAb Gam Sub  Min Mom Sav Con Ktk Kps Sht Gls Ass  DP Inj Sus
------------------------------------------------------------------------------------------------------------
Nester_Egg    31 swe 28  1  1  1 19  32 754 754 754   8   0  769   0  55  20   0   0   0   0   0   0   0   0
J_Crane       23 usa 23  1  2  2 48 741 862 113 113   0   0    0   0   0   0   0   0   0   0   0   0   0   0
P_Kentner     21 can 20  1  1  1 41  10 842 842 842   0   0    0   0   0   0   0   0   0   0   0   0   0   0
E_LeBerth     28 fra  2 25  8 13 31 630 736 329 925   8   0  769   1   0   0  16   4  12   3   1   3   0   0
V_Ivester     28 swe  1 25  2  2 45 578  36 385 586   7   0  671   0   0   0  14   0   1   0   0   3   0   0
F_Teddyboy    30 ire  2 24 10 14 39 312 562 213 951   8   0  709   1   0   0   9   2  10   2   0   0   0   0
H_Schranz     24 ger  2 24 13  6 29 145  90 382 706   8   0  769   1   0   0  13   6  10   1   2   0   0   0
M_Snaer       27 nor  1 23  4 15 41 482 834 446 563   2   1  158   0   0   0   0   0   1   0   0   0   0   0
U_Rydelek     24 nor  1 21  3  3 34 578 943 495 475   0   0    0   0   0   0   0   0   0   0   0   0   0   0
T_Byford      20 eng  1 19  8  3 46 626 805 158 714   0   0    0   0   0   0   0   0   0   0   0   0   0   0
O_McCaughrin  30 sco  2  8 25  5 16 753 221 633 364   8   0  769   0   0   0   0  18   3   1   4   0   0   0
N_Caballero   24 spa  1 11 24  6  3 716 919 222 157   8   0  769   0   0   0   2  21   2   0   1   0   0   0
B_Venteolo    29 ita  2  5 23  8  8 440 369 864 908   1   0   97   0   0   0   0   2   0   0   0   0   0   0
W_Dorey       32 aus  2  7 22 15 34 878 104 223 783   7   0  673   1   0   0   0  26   8   2   1   6   0   0
R_Kaereste    32 tur  2  6 21 14 40 778 328 986 497   1   0   95   0   0   0   0   2   0   0   0   0   0   0
A_Seigfreid   22 eng  1 13 21  5 26 878 972 460 719   0   0    0   0   0   0   0   0   0   0   0   0   0   0
N_Miyanishi   24 jap  2 16 21  4 35 320 565 928 754   1   0   97   0   0   0   0   3   0   0   0   0   0   0
C_Recknor     27 usa  2  5 20 11 39 470 890 680 329   0   0    0   0   0   0   0   0   0   0   0   0   0   0
Santander     27 spa  2 11  8 24 17  68  88 706 695   8   0  769   0   0   0   2   3  14   1   0   0   0   0
M_Palermo     24 arg  1  8 17 24 24 482 548 553 524   8   0  769   0   0   0   0   7  31   6   1   0   0   0
Pelios        32 bra  2  8 13 21 31 748 480 787 909   0   0    0   0   0   0   0   0   0   0   0   0   0   0
