Name         Age Nat St Tk Ps Sh Ag KAb TAb PAb SAb Gam Sub  Min Mom Sav Con Ktk Kps Sht Gls Ass  DP Inj Sus
------------------------------------------------------------------------------------------------------------
D_Kiely       18 ire 16  1  1  1 23 937 636 636 636  17   0 1624   0 127  32   0   0   0   0   0   0   0   0
T_Rumans      19 nir 16  1  1  1  8 661 618 618 618   1   0   96   0   7   2   0   0   0   0   0   0   0   0
X_Gushue      19 ivo  1 18  8  3 11 618 178 469 828  17   0 1553   0   0   0  27   8   5   0   0   6   0   0
C_Mull        17 sco  1 16  9  2 12 402 635 359 991  18   0 1669   3   0   0  32  12   7   3   0   0   0   0
N_Wormald     18 eng  1 15  3 10  8 510 717 271 468   8   3  456   0   0   0   5   1   8   2   0   0   0   0
K_Huitt       18 aus  1 15  8 11  9 402 648 741 170   5   4  267   0   0   0   2   6   5   1   0   0   0   0
F_Czuprynski  17 ukr  1 15 11  4 50 510 710 518 712  18   0 1720   3   0   0  29  16  16   1   3   9   0   0
Q_Sura        19 gha  1 10 19  6 64 650 682 172 222  17   0 1460   0   0   0   2  28   8   0   5  15   0   0
T_Webster     19 eng  1  9 18 17 50 708 686 701 292  17   2 1170   0   0   0   5  13  25   6   2  13   0   0
V_Swabenthal  19 saf  1 15 18  4  8 510 467 552 462  13   6  770   0   0   0   6  19   4   1   3   0   0   0
A_Psencia     18 rom  1  5 17  5 13 510  13 531 268   7   6  309   0   0   0   0   7   2   0   1   3   0   0
Q_Hasenfelt   19 usa  1  4 17  8 46 708 453  73 965   0   0    0   0   0   0   0   0   0   0   0   0   0   0
A_Swartwood   17 jam  1  6 15  3 12 402 199 883 768  14   0 1341   2   0   0   3  34   5   2   4   0   0   0
X_Mullane     16 ire  1  2 15  4 15 402 677 610 298  17   0 1624   2   0   0   1  36  12   4   7  12   0   0
Y_Swingley    18 usa  1 10 15  2 11 402 333 161 756   0   0    0   0   0   0   0   0   0   0   0   0   0   0
D_Kussmaul    17 tur  1  5 14  3 15 510 293 586 323   3   0  286   0   0   0   1   3   0   0   0   3   0   0
M_DeFree      19 fra  1 16  7 18 46 708 455 723 595  16   1 1305   0   0   0  13   7  35   8   2   0   0   0
P_Tutwiler    18 wal  1  6  9 18  8 618 241 634 152  18   3 1405   1   0   0   8   9  55   9   0   0   0   0
P_Nowinski    17 pol  1  5  8 16 17 510 450 724 832  17   3 1217   1   0   0   1   3  36   8   0   3   0   0
X_Ruggeri     18 arg  1  8  4 16 11 618 467 872 612   7   7  324   0   0   0   1   0   8   3   0   3   0   0
F_Casumpang   19 jap  1  8  5 15 60 708 653 562 708   0   0    0   0   0   0   0   0   0   0   0   0   0   0
K_Sully       18 eng  1  9  2 15 39 402 321 112 404   0   0    0   0   0   0   0   0   0   0   0   0   0   0
