Name         Age Nat St Tk Ps Sh Ag KAb TAb PAb SAb Gam Sub  Min Mom Sav Con Ktk Kps Sht Gls Ass  DP Inj Sus
------------------------------------------------------------------------------------------------------------
D_Felgate     32 wal 24  2  2  2 25 499 869 842 800  16   0 1551   0  90  37   0   0   0   0   0   0   0   0
Arse_Bandeet  23 ger 23  1  1  1 34 280 942 942 942   0   0    0   0   0   0   0   0   0   0   0   0   0   0
C_Felix       27 usa  1 25 10  6 31 474 834 864 715  16   0 1551   0   0   0  27   7   9   1   1   9   0   0
A_Altazan     29 irn  2 25 17 11 20 369  17 568 177  16   0 1551   1   0   0  22   9  12   2   3   3   0   0
L_Schvartzman 24 arg  1 24 18  6 26 768 297 814 707  15   0 1377   0   0   0  14  15   2   0   2  13   0   0
Q_Mathey      24 usa  1 23 14  6 13 960 759 145 150  14   0 1343   1   0   0  18   8   7   1   2  10   0   0
F_Tavarez     28 spa  2 22 14 10 29 702  57 582  97   2   1  101   0   0   0   1   0   0   0   0   0   0   0
P_Weinkle     21 swi  1 21  3  9 11 690 478 582 758   0   0    0   0   0   0   0   0   0   0   0   0   0   0
P_Maxville    22 sco  1 21  9  6  8 798 695 321 743   3   1  242   0   0   0   2   0   3   0   0   0   0   0
T_Scott       22 eng  1 21  7 12 11 906 234  80 184   1   1    6   0   0   0   0   0   0   0   0   0   0   0
N_Bradshaw    20 usa  1 20  7 10  9 798 390  72 815   0   0    0   0   0   0   0   0   0   0   0   0   0   0
D_Surch       20 sco  1 19  8 12 10 582 891  20 339   0   0    0   0   0   0   0   0   0   0   0   0   0   0
B_Nelson      28 eng  2  5 25  9 36 497 478 326 708  14   0 1291   0   0   0   1  18   7   3   2  16   0   0
W_Galigher    31 sco  2 14 23  6 11 656 927 618 101  16   0 1551   0   0   0   9  24   8   1   2   0   0   0
S_Gehring     25 ger  1 20 23 11 27 939  89 438 121  15   0 1457   0   0   0   5  35   8   2   0  12   0   0
O_Veiera      27 fra  2  4 22 10 54 311 774 957 755  12   0 1104   0   0   0   1  16  12   0   2  10   0   0
Beg_Tse       29 chi  1  3 10 25 38 840 461 550 759  14   0 1205   1   0   0   1   6  31   8   1  16   0   0
O_Reinauer    30 can  2  6 17 24 33 607 865 158 970  15   0 1436   0   0   0   4   8  44   6   1   3   2   0
A_Yeboah      31 gha  1  5  2 23 12 840 284 153 224   7   2  571   0   0   0   1   0  13   2   0   0   0   0
W_Wattenburg  23 aus  1  7 19 21 15 980 860 592 205   2   0  194   0   0   0   0   1   0   0   0   0   0   0
