Name         Age Nat St Tk Ps Sh Ag KAb TAb PAb SAb Gam Sub  Min Mom Sav Con Ktk Kps Sht Gls Ass  DP Inj Sus
------------------------------------------------------------------------------------------------------------
N_Pue         19 chi 16  1  1  1 31 381 564 564 564  12   0 1139   0  69  13   0   0   0   0   0   0   0   0
P_Hushour     18 isr 14  1  1  1 14 886 456 456 456   0   0    0   0   0   0   0   0   0   0   0   0   0   0
E_Burbridge   19 eng  1 16  3  4 15 474 202 246 985  12   0 1139   2   0   0  16   7   8   1   0   3   0   0
P_Mowat       19 eng  1 15  5  3 10 474 522  29 223  12   0 1139   0   0   0  10   8   2   0   0   0   0   0
A_Guiney      18 ire  1 15  3 14 18 456  76 144 140  12   0 1139   0   0   0  14   0  14   1   0   3   0   0
R_Cuchen      17 sco  1 14  3  7  9 366 655 627 347  10   0  951   0   0   0   7   7   9   0   0   0   0   0
J_Swingley    17 sco  1 14  3  2 40 366  57 844 476   3   0  283   0   0   0   5   1   1   0   0   0   0   0
G_Reigh       19 nir  1  7 19  5 43 672 533 408 840  12   0 1139   1   0   0   4  23   7   0   3   9   0   0
J_Wozny       19 pol  1  7 17  4 13 564 371 923 778  12   0 1139   2   0   0   8  26   6   0   3   3   0   0
N_Cutchen     19 nir  1  7 17 10 20 456 106 178 995  12   0 1058   0   0   0   4  23  15   1   0   3   0   0
L_Bussen      19 den  1  9 16  5 47 456 139 589 117   9   0  734   0   0   0   3  15   3   1   3  13   2   0
X_Lyford      18 sco  1  4 16  2 42 366  39 243 603   3   2  208   0   0   0   0   4   1   0   0   0   0   0
T_Munstedt    19 fra  1  9 15  3  8 456 604 918  63   1   0   94   0   0   0   0   0   0   0   0   0   0   0
U_Huetson     16 hol  1  3 15  8  9 366 464  92 225   0   0    0   0   0   0   0   0   0   0   0   0   0   0
X_Tweedle     16 sco  1  3 13  2 12 366 785 375 558   0   0    0   0   0   0   0   0   0   0   0   0   0   0
A_Swait       16 sco  1  5 13  3  8 366 819 247 593   0   0    0   0   0   0   0   0   0   0   0   0   0   0
P_Buthala     17 uru  1  9  4 16 17 456 136  99 324  12   0 1139   1   0   0   5   6  34   3   0   0   0   0
C_Gerling     19 bel  1  6  8 16 26 672 321 287 443   5   0  473   1   0   0   0   5  14   4   0   0   0   0
O_Kuchta      19 cze  1  7  5 16 48 456  40 220 192   7   0  666   0   0   0   3   0  14   2   0   0   0   0
