Name         Age Nat St Tk Ps Sh Ag KAb TAb PAb SAb Gam Sub  Min Mom Sav Con Ktk Kps Sht Gls Ass  DP Inj Sus
------------------------------------------------------------------------------------------------------------
AJ_van_Cam    28 hol 25  2  2  2 45 578 547 547 547  18   0 1711   1  60  18   0   0   0   0   0   3   0   0
H_Thorsheim   26 can 20  2  2  2 27 231 556 556 556   0   0    0   0   0   0   0   0   0   0   0   0   0   0
J_DeMortier   30 ita  2 24  5 15 50 690 502 379 290  13   7  830   2   0   0  14   5  14   0   0   3   0   0
T_Shatswell   28 wal  2 24 18 11 53 495 278  18 292  14   0 1155   0   0   0  13  10  14   1   0  13   1   0
M_Redmann     23 aus  1 23 15  8 40 762 352 467 588  16   0 1317   0   0   0  13   5  10   2   1  13   0   0
O_Marrs       22 sen  1 23 21  7 19 744 202 190 145  17   0 1584   2   0   0  22  21  15   0   2   0   0   0
J_Catt        25 eng  2 22 16  9 14 354 986 303 884  14   1 1172   0   0   0  11  11  11   1   0  10   0   0
B_DelFierro   23 ita  2 21 13  5 14 123 313 432 489  10   5  597   0   0   0   6   6   4   0   0   6   0   0
V_Peedin      20 rom  1 20  7  4 22 726 222 467 864   0   0    0   0   0   0   0   0   0   0   0   0   0   0
G_Hecke       30 den  2 13 23 17 33 761   7 616 461  18   0 1655   3   0   0   4  26  45   4   3   9   0   0
J_LeBron      25 fra  1  9 23 14 44 510 708 507 873  16   6 1015   1   0   0   2  27  18   1   2   8   0   0
C_Matheral    24 sco  1 13 23  7 14 870 744 421 488  17   0 1451   0   0   0   4  28   9   1   2   0   0   0
Y_Hersi       28 hol  2 12 22 12 21 152  68 636 655  12   6  626   1   0   0   1  14   7   0   1  10   0   0
O_Redlon      23 isr  2 17 22 11 40 141 325 505 831  16   0 1360   1   0   0   9  24  18   2   1  10   0   0
Thiago_Silva  22 bra  1 16 22  5  9 786 124 311 134  16   1 1418   0   0   0   4  37   6   0   2   3   0   0
P_Genth       22 nig  1  4 20 17 12 780 910 918 357   2   2   68   0   0   0   0   1   1   0   0   0   0   0
W_Kelsen      26 wal  2 16 19 11 42 281 422 757 907   5   2  335   0   0   0   1   0   2   0   0   0   0   0
S_Aune        20 aus  1  7 18  6 28 618 258 957 179   0   0    0   0   0   0   0   0   0   0   0   0   0   0
J_Mahony      31 IRE  2  5  9 23 55 850 810 739 201  12  11  518   0   0   0   0   4  18   1   1   0   0   0
A_Sharpe      29 eng  2  5 16 22 28 564 445 634 601  11   4  591   1   0   0   0   2  23   1   1   3   0   0
I_Kerchhoff   22 aut  1  9 16 21 19 978 545 360 313  13   1  775   0   0   0   0   5  26   3   0   6   0   0
