Name         Age Nat St Tk Ps Sh Ag KAb TAb PAb SAb Gam Sub  Min Mom Sav Con Ktk Kps Sht Gls Ass  DP Inj Sus
------------------------------------------------------------------------------------------------------------
P_Duppong     19 nig 15  1  1  1 53 621 570 570 570   0   0    0   0   0   0   0   0   0   0   0   0   0   0
J_Juul        19 fin  1 16  7  3 15 426 893 525 826   0   0    0   0   0   0   0   0   0   0   0   0   0   0
Shukokai      18 jap  1 16  7  5 42 570 983 851 509   0   0    0   0   0   0   0   0   0   0   0   0   0   0
K_Hatakeyama  17 jap  1 15  9 12 19 426 600  83 685   0   0    0   0   0   0   0   0   0   0   0   0   0   0
K_Fuga        17 por  1 13  1  6  8 438 274 838 450   0   0    0   0   0   0   0   0   0   0   0   0   0   0
Tete_Dure     19 usa  1  5 19 15 33 714 351  43  81   0   0    0   0   0   0   0   0   0   0   0   0   0   2
Seiunchin     19 jap  1  5 18 11 36 570 689 671 772   0   0    0   0   0   0   0   0   0   0   0   0   0   1
Bao_Zhi       19 chi  1  9 17 15 23 570 761 976 282   0   0    0   0   0   0   0   0   0   0   0   0   0   0
Cyr           19 usa  1  6 17  5 28 570 874 812 446   0   0    0   0   0   0   0   0   0   0   0   0   0   0
Y_Lytur       17 usa  1  4 16  4 12 426 828 326 417   0   0    0   0   0   0   0   0   0   0   0   0   0   0
G_Mumby       17 ire  1  2 15  5 26 426 712 373 308   0   0    0   0   0   0   0   0   0   0   0   0   0   0
Daniel        19 uru  1  9  5 18  9 710 773 388 306   0   0    0   0   0   0   0   0   0   0   0   0   0   0
Fyodor        18 rus  1  5 12 17 23 570 148 180 706   0   0    0   0   0   0   0   0   0   0   0   0   0   0
P_Suhm        19 isr  1  4  9 16 55 426 321 488 244   0   0    0   0   0   0   0   0   0   0   0   0   0   0
