Name         Age Nat St Tk Ps Sh Ag KAb TAb PAb SAb Gam Sub  Min Mom Sav Con Ktk Kps Sht Gls Ass  DP Inj Sus
------------------------------------------------------------------------------------------------------------
N_Bunks       18 eng 18  1  1  1 46 447 426 426 426   0   0    0   0   0   0   0   0   0   0   0   0   0   0
D_Symk        16 xxx 14  1  1  1 14 249 300 300 300   0   0    0   0   0   0   0   0   0   0   0   0   0   0
N_Kodama      18 jap  1 16  9  6  9 534 632 500 406   0   0    0   0   0   0   0   0   0   0   0   0   0   0
H_Guntly      18 sco  1 16 11  4 45 426 352 314 732   0   0    0   0   0   0   0   0   0   0   0   0   0   1
P_Nowakowski  19 POL  1 16  9 12 23 534 627  12  11   0   0    0   0   0   0   0   0   0   0   0   0   0   0
P_Dupy        17 xxx  1 15  3  5 10 300 489 180 145   0   0    0   0   0   0   0   0   0   0   0   0   0   0
N_Overfield   16 xxx  1 14  2  6 43 300 245 166 196   0   0    0   0   0   0   0   0   0   0   0   0   0   0
N_Cusick      17 xxx  1 13  4  3 21 300 436 311 389   0   0    0   0   0   0   0   0   0   0   0   0   0   0
H_Pukancik    16 xxx  1 13 11 10 16 300 156 273 354   0   0    0   0   0   0   0   0   0   0   0   0   0   0
V_Gerhard     19 wal  1  6 17  8 13 642 884 755 540   0   0    0   0   0   0   0   0   0   0   0   0   0   0
H_Fuerst      18 hol  1  9 16  3 34 426 567 628 923   0   0    0   0   0   0   0   0   0   0   0   0   0   0
J_Mulkey      19 ire  1  2 15 10 51 426 917 553 427   0   0    0   0   0   0   0   0   0   0   0   0   0   0
U_Felzinger   19 ger  1  4 15  7 58 618 502 344 286   0   0    0   0   0   0   0   0   0   0   0   0   0   0
N_Currington  17 eng  1  9 15  3 52 426 411 329 901   0   0    0   0   0   0   0   0   0   0   0   0   0   0
X_Burnaime    18 jam  1  8 15  8  9 300 122 541 635   0   0    0   0   0   0   0   0   0   0   0   0   0   0
A_Butina      16 xxx  1  3 11  7 13 300 134 277 278   0   0    0   0   0   0   0   0   0   0   0   0   0   0
S_Hynes       19 eng  1 16  8 17 15 426  46 825 476   0   0    0   0   0   0   0   0   0   0   0   0   0   0
U_Croyle      17 sco  1 11  3 15  9 426 615 293 555   0   0    0   0   0   0   0   0   0   0   0   0   0   0
D_Swertfager  16 xxx  1  6  8 14 67 300 147 105 101   0   0    0   0   0   0   0   0   0   0   0   0   0   0
