Name         Age Nat St Tk Ps Sh Ag KAb TAb PAb SAb Gam Sub  Min Mom Sav Con Ktk Kps Sht Gls Ass  DP Inj Sus
------------------------------------------------------------------------------------------------------------
B_Luteman     18 fra 16  1  1  1 10 273 560 560 560   0   0    0   0   0   0   0   0   0   0   0   0   0   0
G_Austin      19 usa 16  1  1  1  8 163 596 596 596   0   0    0   0   0   0   0   0   0   0   0   0   0   0
H_Roy         16 can 15  1  1  1  8 901 344 344 344  12   0 1141   0  54  24   0   0   0   0   0   0   0   0
P_Luzier      19 ita  1 18  4  9  9 560 788 494  97   7   0  666   0   0   0   9   0   5   0   0   0   0   0
O_Lythgoe     19 sco  1 18  5  4 32 452 521 946 532  12   0 1009   0   0   0  19   1   6   1   0   6   0   0
J_Zweidinger  19 hol  1 18  4  8  9 452 172  87  74   9   7  408   0   0   0   8   0   1   0   0   0   0   0
I_Avary       19 sco  1 17  5 14 18 452 938  84 347  12   0 1141   2   0   0  23   7  13   2   0   0   0   0
K_Lueddeke    18 bel  1 17  4  7 34 637 152 135 160   4   0  380   0   0   0   4   3   5   0   0   6   0   0
W_Therfield   19 sco  1 17  9  3 14 668 110 711 937   6   0  573   0   0   0   5   4   3   0   0   3   0   0
B_Bradley     16 eng  1 14  7  3 66 344 999 498 433  10   0  948   0   0   0   8   4   0   0   0  12   0   0
O_Byroad      17 aus  1 13 10  5 19 452 936 468  64   0   0    0   0   0   0   0   0   0   0   0   0   0   0
H_Gulyban     19 kuw  1  3 17  8 20 452 469 180 443   2   0  190   0   0   0   0   7   2   0   0   0   0   0
H_Pryes       18 sco  1  3 17  6 39 344 801 154 937  11   0  992   0   0   0   1  17   6   0   2   3   0   0
B_Cuiney      18 ire  1  2 16  6 60 344 538 803  22   0   0    0   0   0   0   0   0   0   0   0   0   0   0
N_Moore       17 usa  1  8 16  7 30 596 104 605 491  11   0 1047   0   0   0   2  15   7   1   2  12   0   0
J_Duperault   18 usa  1  6 15  6  9 344 812 761 934   0   0    0   0   0   0   0   0   0   0   0   0   0   0
D_Ozelton     17 nzl  1  5 15  3 31 344  58 895 779   7   1  621   0   0   0   1  12   1   0   2   0   0   0
Kwok_Bo       16 chn  1  5 15  6 35 344 909 399 850  12   0 1141   2   0   0   3  12  12   3   0   9   0   0
E_Dummigan    17 ire  1  7 14  4 32 344  74 816 492   0   0    0   0   0   0   0   0   0   0   0   0   0   0
K_Lisbie      18 eng  1  6 12 16  8 722 891 462 695  12   0 1141   1   0   0   5   5  29   4   0   0   0   0
H_Nyas        18 ivo  1  4  7 15 20 344 427  53 868   8   0  674   0   0   0   0   3  21   1   0   0   0   0
K_Worswick    18 eng  1  8 14 15  8 452 111 107 120  10   6  467   0   0   0   0   7   7   0   2   0   0   0
