Name         Age Nat St Tk Ps Sh Ag KAb TAb PAb SAb Gam Sub  Min Mom Sav Con Ktk Kps Sht Gls Ass  DP Inj Sus
------------------------------------------------------------------------------------------------------------
V_Fulgencio   19 spa 20  1  1  1 20 805 642 642 642   0   0    0   0   0   0   0   0   0   0   0   0   0   0
B_Kujawa      18 xxx 16  1  1  1 23 540 300 300 300   0   0    0   0   0   0   0   0   0   0   0   0   0   0
W_Lumgair     19 gha  1 17  3  6 32 408 962 731 734   0   0    0   0   0   0   0   0   0   0   0   0   0   0
U_Koronya     19 nig  1 16  8  2 66 408 968 589 958   0   0    0   0   0   0   0   0   0   0   0   0   0   0
D_Rybicki     19 cze  1 15  3  9 15 498 596 665 349   0   0    0   0   0   0   0   0   0   0   0   0   0   0
I_Kupp        18 saf  1 15  8  2 44 408  88 599 698   0   0    0   0   0   0   0   0   0   0   0   0   0   0
P_Swepenizer  18 xxx  1 15 14  2 33 300 842 194 266   0   0    0   0   0   0   0   0   0   0   0   0   0   0
W_Burman      18 ire  1 14  6  4 15 498 333 778 760   0   0    0   0   0   0   0   0   0   0   0   0   0   0
L_Surgent     17 xxx  1 14  8  4 29 300 149 405 402   0   0    0   0   0   0   0   0   0   0   0   0   0   0
I_Vomsteeg    16 xxx  1 13  5  2 51 300 654 154 682   0   0    0   0   0   0   0   0   0   0   0   0   0   0
I_Chepaz      19 mex  1 16 19  8 23 498 448 650 770   0   0    0   0   0   0   0   0   0   0   0   0   0   0
O_Guidetti    19 ita  1  4 18  7 23 642  79 317 747   0   0    0   0   0   0   0   0   0   0   0   0   0   0
R_Pereyra     19 arg  1  9 16  5 10 606 716 653 424   0   0    0   0   0   0   0   0   0   0   0   0   0   0
A_Azzaretti   18 ita  1  5 15 11 42 498 579 850 514   0   0    0   0   0   0   0   0   0   0   0   0   0   0
S_Sweers      19 saf  1  5 15  4 16 408 519 398 344   0   0    0   0   0   0   0   0   0   0   0   0   0   0
F_Vuerhard    17 xxx  1  6 15  6 74 300 295 381 277   0   0    0   0   0   0   0   0   0   0   0   0   0   0
R_Wurzel      18 sen  1  3 14  9 16 408  75 650 484   0   0    0   0   0   0   0   0   0   0   0   0   0   0
A_Wotruba     17 cze  1  5 13  1 20 408 217 363 714   0   0    0   0   0   0   0   0   0   0   0   0   0   0
V_Butdorf     16 xxx  1  6 12  2 47 300 108 725 455   0   0    0   0   0   0   0   0   0   0   0   0   0   0
U_Sundberg    19 den  1  4  6 18 55 498 424 413 200   0   0    0   0   0   0   0   0   0   0   0   0   0   0
X_Pensive     18 eng  1  5 11 17 33 540  57  18 931   0   0    0   0   0   0   0   0   0   0   0   0   0   0
H_Lytle       18 xxx  1  1 12 15  8 300 249 250 625   0   0    0   0   0   0   0   0   0   0   0   0   0   0
D_Crowhurst   18 xxx  1  4  6 15 11 300 138 181 334   0   0    0   0   0   0   0   0   0   0   0   0   0   0
F_Pruneau     17 saf  1  4  5 13 46 408 791 531 631   0   0    0   0   0   0   0   0   0   0   0   0   0   0
