Name         Age Nat St Tk Ps Sh Ag KAb TAb PAb SAb Gam Sub  Min Mom Sav Con Ktk Kps Sht Gls Ass  DP Inj Sus
------------------------------------------------------------------------------------------------------------
N_Ellen       18 usa 18  1  1  1 37 266 680 680 680   7   0  699   0  38   8   0   0   0   0   0   0   0   0
C_Philippou   19 aus 17  1  1  1 13 127 750 750 750   0   0    0   0   0   0   0   0   0   0   0   0   0   0
D_Curtsinger  16 usa 12  1  1  1 23 602 372 372 372   0   0    0   0   0   0   0   0   0   0   0   0   0   0
P_Shirtliff   19 eng  1 19 19 10 20 798 580 434 558   7   0  699   1   0   0   8  13  15   1   0   0   0   0
C_Pates       19 eng  1 18  5  3 21 624 354 971 275   0   0    0   0   0   0   0   0   0   0   0   0   0   0
D_Babyn       18 can  1 18 14 12 30 680 270 771 101   7   0  699   0   0   0  13   5  14   2   1   3   0   0
R_Rufus       18 eng  1 17 10  5 25 750 808 270   1   7   0  699   1   0   0  14   8   6   1   0   3   0   0
X_Wrzesinski  19 POL  1 17  7  5  8 624 494 855 295   0   0    0   0   0   0   0   0   0   0   0   0   0   0
G_Sullivan    18 eng  1 17 15  3 37 480 240 915 306   7   0  699   2   0   0  10  11   6   1   1   0   0   0
K_Lueddeke    18 bel  1 16  3  6 34 609 799 954 852   0   0    0   0   0   0   0   0   0   0   0   0   0   0
U_Kulas       16 hun  1 13  6  2  9 372 780 657 362   0   0    0   0   0   0   0   0   0   0   0   0   0   0
P_Mortimer    19 eng  1  4 19 11 17 858 563 773 450   7   0  699   0   0   0   1  20  12   0   3   0   0   0
Y_Redbourne   19 can  1 14 19  5 16 876 575 617 828   7   0  677   0   0   0   3  20   3   0   3   0   4   0
S_Newton      19 jam  1  7 18  8 13 624 790 335 643   1   0  125   0   0   0   0   3   1   0   0   0   0   0
K_Jones       18 eng  1  9 17  6 12 750 151 972 598   7   0  699   0   0   0   5  15   8   1   1   0   0   0
W_Gretzky     16 can  1  5 16 12 16 372 344 327 322   7   1  596   0   0   0   1  10   9   0   0   3   0   0
S_MacKenzie   17 eng  1 10 15  2 23 372 530   3 487   0   0    0   0   0   0   0   0   0   0   0   0   0   0
L_Caroll      16 eng  1  4 14  6 31 372 733 843 845   0   0    0   0   0   0   0   0   0   0   0   0   0   0
G_Schweinler  19 can  1  4  8 18 10 858 645 236  56   7   0  699   1   0   0   1   7  35   5   0   0   0   0
D_Douglas     17 can  1  9 15 17  9 624 543 134  41   7   0  634   2   0   0   8   9  37   4   1   0   1   0
K_Bylow       18 xxx  1  5  9 16 28 372 496 709 322   1   1   65   0   0   0   0   0   5   0   0   3   0   0
M_Flanagan    18 ire  1  5  7 15 14 372 339 596 697   0   0    0   0   0   0   0   0   0   0   0   0   0   0
