Name         Age Nat St Tk Ps Sh Ag KAb TAb PAb SAb Gam Sub  Min Mom Sav Con Ktk Kps Sht Gls Ass  DP Inj Sus
------------------------------------------------------------------------------------------------------------
C_Rustay      18 tur 16  1  1  1 13 608 676 676 676  12   0 1051   0  52  13   0   0   0   0   0   0   0   0
I_Buratti     19 ita 15  1  1  1 15 283 532 532 532   1   1   84   0   4   0   0   0   0   0   0   0   0   0
M_Lukaicaite  16 bel 14  1  1  1 38  65 388 388 388   0   0    0   0   0   0   0   0   0   0   0   0   0   0
M_Muscala     19 ita  1 18 18  4 12 532 624 744 464   9   0  783   0   0   0   6  14   5   1   0   0   0   0
T_Syuhldreer  18 ger  1 16  2  3 28 388 475 760 895  12   0 1135   3   0   0  20   3   3   0   1   0   0   0
C_Burgarello  18 arg  1 16  4 13 21 388 119 829 876  12   0 1135   1   0   0  17   3  17   0   0   9   0   0
M_Nuottimaki  19 mlt  1 16  3 11 16 588  72 939 634   4   0  342   0   0   0   2   2   2   1   0   0   0   0
V_Lundblade   17 nor  1 15  2 12 11 388 957 598 842  12   0 1135   2   0   0  13   2  18   1   0   0   0   0
W_Ives        18 t&t  1 15  8  4 27 532 300 187 353   5   2  392   0   0   0   8   1   1   0   0   3   0   0
U_Furchner    18 aus  1  3 17  7 33 676 875 729 164  12   0 1135   0   0   0   2  21   5   2   4   9   0   0
G_Czappa      18 usa  1  2 17  8 12 532 647 449 336  12   0 1135   0   0   0   0  18  10   4   2   0   0   0
V_Surritte    18 cam  1  7 16  2 27 532 189 575 618   3   0  281   0   0   0   2   4   3   1   1   0   0   0
R_Nurmi       17 swe  1  4 16  3 19 388 835 387 652  12   0 1135   0   0   0   1  20   5   0   2   3   0   0
X_Gul         18 isr  1  8 16  6 21 388 966  97 656   4   0  378   0   0   0   1  10   0   0   2   0   0   0
J_Purl        18 fin  1  6 11 18 16 676 863 463 111  12   0 1135   1   0   0   3   8  27   8   1   0   0   0
H_Crust       17 eng  1  3  9 16 21 532 195  43 384   6   0  494   0   0   0   0   3  10   3   0   3   0   0
A_Lysinger    17 usa  1  4  2 16 13 388 986 484 211   8   1  735   0   0   0   0   2  20   4   0   0   0   0
N_Turner      16 eng  1  3  6 13 12 388 898 865 978   0   0    0   0   0   0   0   0   0   0   0   0   0   0
