Name         Age Nat St Tk Ps Sh Ag KAb TAb PAb SAb Gam Sub  Min Mom Sav Con Ktk Kps Sht Gls Ass  DP Inj Sus
------------------------------------------------------------------------------------------------------------
B_Wall        27 usa 27  1  1  1 41 856 708 708 708  12   0 1139   0  89  31   0   0   0   0   0   0   0   0
D_Quartus     24 usa 20  1  1  1 15 602 989 989 989   0   0    0   0   0   0   0   0   0   0   0   0   0   0
N_Sandberg    33 swe 19  2  2  2 21 584 522 522 612   0   0    0   0   0   0   0   0   0   0   0   0   0   0
Shiva         27 usa  1 27 14  7  3 454  80 809 633  12   0 1139   1   0   0  21  11  14   5   1   3   0   0
Tigger        28 usa  1 26 15  3 11 503  24   2 594  12   0 1139   0   0   0  17  16   8   0   0   3   0   0
L_Countach    28 usa  2 24 16  9 22 622 486 334 949  11   0  991   0   0   0  21   6   6   1   0  13   0   0
Hobbes        24 swe  1 24 17  2 36 559   3 633 498   9   0  768   0   0   0  16  13   4   0   2  20   0   0
H_Beil        25 uru  2 22 17  6 12 239 538 175  71   6   2  494   0   0   0   6   4   0   0   1   0   0   0
B_Hurrican    21 usa  1 21 15  5 60 611 760 178 521   0   0    0   0   0   0   0   0   0   0   0   0   0   0
W_Ilg         24 usa  2 21 12  5 52 325  45  12 338   0   0    0   0   0   0   0   0   0   0   0   0   0   0
A_Abdale      31 ISR  3 10 27  7 39  67 306 429 443  12   0 1139   1   0   0   2  42   8   2   3   6   0   0
N_Chater      27 saf  2  7 25 17  8 591 694 569 284  12   0 1139   0   0   0   1  25  24   5   2   3   0   0
Panthera      26 ind  1  6 25 14 28 356 206 547 148   9   0  850   0   0   0   1  19  12   0   1   0   0   0
D_Deleuw      24 isr  1  6 23 14 24 863 565 723 116  12   0  863   1   0   0   1  18  15   2   2   0   0   0
Z_Roberts     29 can  2  7 22 13 37 942 210  50 212   1   1   83   0   0   0   1   2   1   0   0   0   0   0
E_Feretos     25 por  2  4 20 12 28 472 860 788 555   0   0    0   0   0   0   0   0   0   0   0   0   0   0
E_Wallert     27 aus  2  7 10 26  1 189 386 633 992  12   0 1139   0   0   0   1   3  63   7   2   0   0   0
J_Hoilett     25 can  1 10 20 24 17 857 950 987 105  12   0 1139   3   0   0   4  15  57  10   1   0   0   0
Shere_Kahn    23 swe  1  8  8 22 22 541 856 856 608   3   3   78   0   0   0   0   0   4   1   0   0   0   0
F_Feirn       24 ger  2  5 12 21 68 296 339 860 755   0   0    0   0   0   0   0   0   0   0   0   0   0   0
