Name         Age Nat St Tk Ps Sh Ag KAb TAb PAb SAb Gam Sub  Min Mom Sav Con Ktk Kps Sht Gls Ass  DP Inj Sus
------------------------------------------------------------------------------------------------------------
Rajah         18 jap 17  1  1  1 18 482 475 475 475   9   0  857   0  56  13   0   0   0   0   0   0   0   0
S_Ryder       18 eng 16  1  1  1 51 506 601 601 601   0   0    0   0   0   0   0   0   0   0   0   0   0   0
G_Swanstrom   19 aus 15  1  1  1 17 885 601 601 601   0   0    0   0   0   0   0   0   0   0   0   0   0   0
L_Kuyt        18 hol  1 18 15  4 18 600   6 604 945   9   0  857   0   0   0  15  20   4   0   4   3   0   0
A_Wysinger    18 aus  1 17 13  3 13 601 984  45   2   9   0  775   0   0   0  15   5   3   0   0   0   0   0
Q_Burruel     18 xxx  1 16  3  2 24 349 630 558 553   1   1   70   0   0   0   1   0   0   0   0   0   0   0
O_Ewing       19 USA  1 16  8  3  8 475 685 861 207   1   1   12   0   0   0   1   0   0   0   0   0   0   0
P_Gruissem    17 ger  1 16 11  3 15 475 199 650 545   9   0  857   0   0   0  14  11   2   0   2   0   0   0
L_Ruvolo      18 col  1 16 11  4  9 601  36  13 848   9   0  857   1   0   0  15  14   8   0   2   0   0   0
O_Crumbley    16 xxx  1 13  9  4  8 349 546 630 361   0   0    0   0   0   0   0   0   0   0   0   0   0   0
W_Lunar       18 eng  1  9 17  3 45 589 429 175 587   8   0  671   0   0   0   6  13   5   1   0   3   0   0
Tony          17 eng  1 10 16  5 16 475 821 785 143   9   0  857   0   0   0   3  21   8   2   4   6   0   0
H_Onozawa     17 jap  1  9 16  3 13 475 960 335 295   9   0  857   0   0   0   5  19   0   0   3   6   0   0
Vitaly        17 rus  1 10 15 13 16 349 249 673 777   9   0  853   2   0   0   3  14  36   6   1   0   0   0
P_Buskala     17 xxx  1  9 15  1 13 349 599  64 340   1   1    4   0   0   0   0   0   0   0   0   0   0   0
Jacob         17 usa  1  4 15 11 11 349 873  44 699   1   0   94   0   0   0   0   0   1   0   0   0   0   0
Champawat     17 ind  1  4  6 16 11 475 721 889 852   9   0  857   0   0   0   0   2  42   3   1   0   0   0
Kitty         17 usa  1  6  6 16  9 475 163 923 355   8   0  732   1   0   0   0   2  38  10   0   0   0   0
Diego         17 spa  1  6  2 15 25 349 627 576 691   6   5  217   1   0   0   1   2  11   3   1   3   0   0
U_Iacampo     17 mex  1  4  6 14 41 475 794 716 926   0   0    0   0   0   0   0   0   0   0   0   0   0   0
