Name         Age Nat St Tk Ps Sh Ag KAb TAb PAb SAb Gam Sub  Min Mom Sav Con Ktk Kps Sht Gls Ass  DP Inj Sus
------------------------------------------------------------------------------------------------------------
T_Krul        23 hol 23  1  1  1 11 508 699 699 699   3   0  284   0  20   2   0   0   0   0   0   0   0   0
D_Remme       27 arg 23  2  2  2 10 608 484 484 484   0   0    0   0   0   0   0   0   0   0   0   0   0   0
V_Habel       28 aut  1 25 11  7 11 622 116 835 537   3   0  284   0   0   0   4   2   2   0   0   0   0   0
G_Jerrett     24 ire  1 23 15 13 48 447 171 597 636   2   0  179   1   0   0   4   1   2   0   0  10   0   0
Dede          22 bra  1 22 19  8 16 521 936 967 911   3   0  284   0   0   0   4   1   4   0   1   0   0   0
V_Laundry     23 eng  1 22 10  6 14 807  12 449 903   2   1  105   0   0   0   1   0   0   0   0   0   0   0
Q_Thetreau    22 fra  1 21  6 10 38 933 954 729  37   0   0    0   0   0   0   0   0   0   0   0   0   0   0
C_Cahall      22 aus  1 21  7 15 18 622 419 758 942   0   0    0   0   0   0   0   0   0   0   0   0   0   0
B_DeForest    23 fra  1 21  4  9 32 911 788 951 953   0   0    0   0   0   0   0   0   0   0   0   0   0   0
P_Mitchell    21 usa  1 20  4 10 24 777 844 866 261   0   0    0   0   0   0   0   0   0   0   0   0   0   0
Pernambucano  34 COL  1  2 28 18 30 321 245 538 451   3   0  201   0   0   0   0   3   4   0   0   0   2   0
Gecko         29 ivo  2 13 24 15 31 237 894 313  39   3   0  284   0   0   0   0   5   5   0   0   0   0   0
X_Tamblyn     23 por  1 10 23  3 15 621 703 817 167   3   0  284   0   0   0   1   2   0   0   0   0   0   0
F_Ness        27 sco  2 12 22  4 16 581  24 902 839   3   0  273   0   0   0   1   2   1   0   0   0   0   0
Romulo        21 bra  1 18 21 18 26 789 290 847   1   3   0  284   0   0   0   2   3   1   0   0   0   0   0
K_Vassaw      22 uae  1  3 21 16 14 789 675  36  49   1   1   83   0   0   0   0   1   0   0   0   0   0   0
P_Geoghegan   21 usa  1  5 21  9  8 681 808 767  22   0   0    0   0   0   0   0   0   0   0   0   0   0   0
Q_Geake       25 t&t  2  6 21 11 11 204 525 563 681   0   0    0   0   0   0   0   0   0   0   0   0   0   0
K_Paustian    23 can  2 11 20  5 23 132 277 961  33   0   0    0   0   0   0   0   0   0   0   0   0   0   0
K_Bierhoff    27 ger  2 15 20 12 16 556 991 820 283   0   0    0   0   0   0   0   0   0   0   0   0   0   0
T_Pamplin     26 aus  2  9  3 23  1 155 988 456 294   3   0  284   0   0   0   0   0   7   1   0   0   0   0
T_Bangura     23 fra  1  6  8 22 56 663  67 115 440   2   2   31   0   0   0   0   1   0   0   0   0   0   0
P_Sedlow      20 sco  1  4  8 19 20 699 731 361 234   0   0    0   0   0   0   0   0   0   0   0   0   0   0
