Name         Age Nat St Tk Ps Sh Ag KAb TAb PAb SAb Gam Sub  Min Mom Sav Con Ktk Kps Sht Gls Ass  DP Inj Sus
------------------------------------------------------------------------------------------------------------
Y_Kydney      19 aus 16  1  1  1  8 822 628 628 628   5   0  403   0  33  12   0   0   0   0   0   0   0   0
J_Overend     19 wal 15  1  1  1 36  73 628 628 628   1   1   75   0   5   0   0   0   0   0   0   0   0   0
N_Schuemann   19 ger  1 17  4 15 36 772 774 773 311   5   0  478   0   0   0  10   2   9   0   0   0   0   0
W_Beauch      19 fra  1 17  9  5 10 772 388  87 651   5   0  478   0   0   0   4   2   1   0   0   0   0   0
O_Evemy       18 gha  1 16 11  5 70 628 431 837  45   3   0  262   0   0   0   5   0   1   0   0   3   0   0
P_Buls        17 hol  1 16  7  4 25 484 220 856 982   5   0  450   0   0   0   9   1   1   0   0   0   0   0
W_Huskisson   19 fin  1 15  6 11 12 484 968  76 606   3   1  216   0   0   0   3   1   2   0   1   0   0   0
O_Sutphin     18 cam  1 15  5  4  8 628 773 800  76   0   0    0   0   0   0   0   0   0   0   0   0   0   0
N_Culling     17 wal  1 14  8  9 13 340 611 381 462   0   0    0   0   0   0   0   0   0   0   0   0   0   0
R_Huston      16 can  1 12  5  3 19 340 609 154 422   0   0    0   0   0   0   0   0   0   0   0   0   0   0
H_Kuch        18 hol  1 10 17  6 20 484 492 136  82   5   0  475   1   0   0   4  11   2   0   2   3   0   0
D_Szasz       18 rom  1  2 16  7 58 484  42 640  83   5   0  478   0   0   0   0   1   1   0   0   0   0   0
U_Sweetser    18 usa  1  4 16  2 18 340 496 512 632   5   0  478   0   0   0   1   5   0   0   0   0   0   0
Q_Dunch       17 jam  1  4 15  3 30 484 805 608 976   4   3  124   0   0   0   0   1   0   0   0   0   0   0
I_Burelison   18 swe  1  6 15  5 21 340 777 792 348   5   1  333   0   0   0   1   6   4   0   0   0   0   0
W_Durocher    18 ger  1 12 14  5 13 340 461 985 405   2   2   52   0   0   0   0   0   0   0   0   0   0   0
Q_Overcash    18 usa  1  4 14  3 10 484 644 749 913   0   0    0   0   0   0   0   0   0   0   0   0   0   0
U_Worthing    16 eng  1  5 14  1 14 340 552 648 861   0   0    0   0   0   0   0   0   0   0   0   0   0   0
P_Lurette     18 fra  1  3 12  6  8 484 963 838 700   0   0    0   0   0   0   0   0   0   0   0   0   0   0
M_Swalbach    16 nor  1  3 11  2 10 340 480 690 606   0   0    0   0   0   0   0   0   0   0   0   0   0   0
L_Lapratte    19 fra  1  5  6 16 21 772 324 590 141   5   0  478   0   0   0   0   1  11   4   0   6   0   0
W_Cutshaw     19 ire  1  9 10 16 30 484 122 729 152   5   0  478   0   0   0   2   2   9   3   0   0   0   0
R_Kyler       18 aus  1  7  2 14 21 340 598 687 517   0   0    0   0   0   0   0   0   0   0   0   0   0   0
T_Saabye      16 xxx  1  6  3 12 21 340 878 371 426   0   0    0   0   0   0   0   0   0   0   0   0   0   0
