Name         Age Nat St Tk Ps Sh Ag KAb TAb PAb SAb Gam Sub  Min Mom Sav Con Ktk Kps Sht Gls Ass  DP Inj Sus
------------------------------------------------------------------------------------------------------------
I_Fenna       19 spa 15  1  1  1 12 731 588 588 588   2   0  192   0  15   2   0   0   0   0   0   0   0   0
X_Fry         18 jam 14  1  1  1 39 443 492 492 492   0   0    0   0   0   0   0   0   0   0   0   0   0   0
M_Cyrus       17 usa 13  1  1  1  8 979 402 402 402   0   0    0   0   0   0   0   0   0   0   0   0   0   0
Y_Syuhldreer  19 ger  1 16  3  5 26 492 712 724 539   2   0  192   0   0   0   3   2   0   0   0   3   0   0
O_Ayde        19 saf  1 15  6  4 50 402 870 342 827   0   0    0   0   0   0   0   0   0   0   0   0   0   0
S_Nuttall     18 xxx  1 15  5  2 32 312 738 284 376   2   0  192   2   0   0   6   2   2   1   0   0   0   0
R_Provians    17 xxx  1 15 14  4 52 312 444 258 206   2   0  192   0   0   0   1   1   1   0   0   3   0   0
P_Thackway    19 SCO  1 15  8  4  8 547 769 360 796   0   0    0   0   0   0   0   0   0   0   0   0   0   0
L_Galeano     18 arg  1 14  4  9 26 546 586 467 828   1   1   32   0   0   0   0   0   1   0   0   0   0   0
Y_Hyslope     18 eng  1 14  3  7 31 402 418 280 568   0   0    0   0   0   0   0   0   0   0   0   0   0   0
J_Hurren      17 xxx  1 14  4  7 14 312 309 591 414   2   0  160   0   0   0   3   2   1   0   0   0   0   0
C_Ruvo        18 col  1  7 16 14 38 492 474 788 848   2   0  192   0   0   0   0   2   4   0   0   0   0   0
Q_Wriedt      19 ger  1  3 16  7 17 402 841 414 343   2   0  172   0   0   0   1   1   1   0   0   0   0   0
B_Rummage     18 sco  1  5 15 10 19 402 113 840 858   2   0  192   0   0   0   0   4   5   1   0   0   0   0
T_Zvacek      17 pol  1  7 15  4 34 402 121 560 713   2   0  192   0   0   0   1   4   3   0   0   0   0   0
M_Bumbulis    18 bol  1  7 14  6  8 492 690 748 481   0   0    0   0   0   0   0   0   0   0   0   0   0   0
M_Gulla       18 per  1 10 14  2 20 492 668 625 454   1   1   20   0   0   0   0   0   0   0   0   0   0   0
I_Wortley     18 xxx  1  2  4 15 24 312 252 904 910   2   0  192   0   0   0   0   0   3   0   0   0   0   0
U_Guillon     18 wal  1  6  4 15 11 402 461 149 531   2   0  160   0   0   0   0   0   2   1   0   0   0   0
A_Furye       18 xxx  1  8  5 15 22 312 731 182 315   1   1   32   0   0   0   0   0   0   0   0   0   0   0
