Name         Age Nat St Tk Ps Sh Ag KAb TAb PAb SAb Gam Sub  Min Mom Sav Con Ktk Kps Sht Gls Ass  DP Inj Sus
------------------------------------------------------------------------------------------------------------
S_Bosher      18 bel 19  1  1  1 60 573 300 300 300  15   0 1363   0  58  19   0   0   0   0   0   2   0   0
Y_Sciretta    21 ita 17  1  1  1 51 729 300 300 300   2   1  190   0  11   3   0   0   0   0   0   0   0   0
B_Moore       20 eng  1 19  4  7 10 300 955 367 426  16   0 1553   1   0   0  17   2  10   0   0   2   0   0
Ron_Kray      19 eng  1 18  4  7 24 300 948 612 640  16   0 1553   0   0   0  22   4  12   1   0   6   0   0
P_Demby       20 hol  1 18  5  7  9 300 348 608 532  16   0 1553   3   0   0  21   5  16   1   2   0   0   0
Reg_Kray      18 eng  1 17  5  3 30 300 544 645 868  16   0 1553   0   0   0  19   4   5   2   0   2   0   0
C_Bohbot      18 spa  1 16  7  2  8 300 266 551 319   0   0    0   0   0   0   0   0   0   0   0   0   0   0
Q_Cobia       16 bra  1 15  2  3 58 300 307 146 605   0   0    0   0   0   0   0   0   0   0   0   0   0   0
Y_Wierhake    16 jap  1 14  2  1 55 300  27 279 829   0   0    0   0   0   0   0   0   0   0   0   0   0   0
E_Blazard     21 hol  1  6 19  2 37 300 650 617 794  16   0 1553   2   0   0   0  25   6   1   2   2   0   0
C_Bronson     18 eng  1  6 18  2 44 300 803 167 705  16   0 1553   0   0   0   6  25   4   1   1   0   0   0
J_Allsop      19 aus  1  4 17  4 12 300 187 974 253  16   0 1500   1   0   0   2  24   6   2   2   2   0   0
V_Samways     17 eng  1  2 16  3 19 300 716 805 762  16   0 1553   1   0   0   1  29   7   1   5   4   0   0
T_Lidwick     18 ita  1  4 16  2 27 300 155 382 175   1   1   53   0   0   0   0   4   0   0   0   0   0   0
U_Harrig      20 jap  1  7  3 17 15 300 380 184 998  16   0 1514   2   0   0   3   2  36   7   0   2   0   0
D_McNew       17 uru  1  2  3 16 16 300 407 142  55   1   1   39   0   0   0   0   0   0   0   0   0   0   0
H_Klosset     16 cam  1  1  3 15 40 300 621 593 380  16   0 1553   0   0   0   0   2  25   6   0   6   0   0
