Name         Age Nat St Tk Ps Sh Ag KAb TAb PAb SAb Gam Sub  Min Mom Sav Con Ktk Kps Sht Gls Ass  DP Inj Sus
------------------------------------------------------------------------------------------------------------
Dai_Davies    21 wal 23  1  1  1 11 860 300 300 300  15   0 1384   0  60  17   0   0   0   0   0   0   0   0
Tico_Squirrel 19 usa 20  1  1  1 48 181 300 300 300   1   1   33   0   2   0   0   0   0   0   0   0   0   0
Herbie        17 eng 17  1  1  1 12 116 300 300 300   0   0    0   0   0   0   0   0   0   0   0   0   0   0
AJ_Kokic      18 cro  7 21 12  7 26 300 342  30 996  15   0 1417   0   0   0  18  15  17   1   1   4   0   0
F_Starr       19 nzl  2 19 16 11 30 300 995 189 839  15   0 1417   1   0   0  22  18  18   3   3   2   0   0
AJ_Avasuko    18 jap  9 19 16  5 23 300 914 791 157  14   0 1237   0   0   0  15   8   5   0   1   2   2   0
C_Mosko       19 cam  4 19 16  7 36 300 773 230 798  15   0 1417   4   0   0  20  19  18   3   1   0   0   0
E_Retchford   21 nir  1 18  3  4 37 300 893 808 115   2   1  180   0   0   0   2   0   0   0   0   0   0   0
P_McNimble    18 nir  1 16  3  6 16 300 974 767 826   0   0    0   0   0   0   0   0   0   0   0   0   0   0
Jester        18 usa  1 16  5  3  9 300 967 636  70   0   0    0   0   0   0   0   0   0   0   0   0   0   0
Piki_Zenoze   18 fra  1 16 11  4 24 300 265 121  35   0   0    0   0   0   0   0   0   0   0   0   0   0   0
A_Vasofiakov  20 rsa  1  2 21 13 11 300 326 564 769  15   0 1417   0   0   0   1  31  25   1   2   2   0   0
AJ_Omam_Biyik 19 cam  4  7 21 17 26 300  61  66 507  15   0 1417   2   0   0   2  34  35   5   3   2   0   0
M_Schuey      18 ger  1  2 17  8 26 300 486  81  90   2   0  158   0   0   0   0   4   2   0   0   0   0   0
H_Herrera     17 mex  1  8 16  8 13 300 657 560 766  15   0 1385   1   0   0   6  23  21   3   3   2   0   0
A_M_Campbell  17 eng  1 11 16 11 22 300 985 586  64  14   0 1323   1   0   0   8  20  23   5   1   0   0   0
Owen_Evans    18 wal  1 11 16  2 12 300  31 222 552   0   0    0   0   0   0   0   0   0   0   0   0   0   0
C_Gamboa      17 nig  1  4 16  6 19 300 835 140 531   0   0    0   0   0   0   0   0   0   0   0   0   0   0
Troy          17 usa  1  2 14  3  8 300 390 957 294   0   0    0   0   0   0   0   0   0   0   0   0   0   0
D_Marquez     20 usa  1  3 12 20 10 300 236 446 436  14   0 1283   1   0   0   1  11  53   9   2   0   0   0
AJ_Gillespie  18 nir  2  5 16 19 13 300 993 683 799  15   0 1417   0   0   0   1  22  54   6   3   2   0   0
B_Kadrii      20 den  1  3 10 17 13 300 756 936 366   3   3  102   0   0   0   0   0   5   0   0   0   0   0
Kenny         19 sco  1  9  3 17 43 300 703 540 526   0   0    0   0   0   0   0   0   0   0   0   0   0   0
J_Campbell    17 usa  1  2  7 16 12 300 566 521 253   0   0    0   0   0   0   0   0   0   0   0   0   0   0
Barnie        18 usa  1  7  4 16 29 300 614 961  45   0   0    0   0   0   0   0   0   0   0   0   0   0   0
