Name         Age Nat St Tk Ps Sh Ag KAb TAb PAb SAb Gam Sub  Min Mom Sav Con Ktk Kps Sht Gls Ass  DP Inj Sus
------------------------------------------------------------------------------------------------------------
J_Lehmann     26 ire 28  1  1  1 24 163 480 300 300  14   0 1305   0  69  15   0   0   0   0   0   0   0   0
O_Heiden      31 arg 24  1  1  1 10 858 390 390 390   3   1  241   0  12   5   0   0   0   0   0   0   0   0
D_Candela     23 mex 20  1  1  1  8 826 300 300 300   0   0    0   0   0   0   0   0   0   0   0   0   0   0
J_Maddas      23 gre 16  1  1  1  9 479 350 350 300   0   0    0   0   0   0   0   0   0   0   0   0   0   0
O_Thomert     22 fra 16  1  1  1  8 242 300 300 300   0   0    0   0   0   0   0   0   0   0   0   0   0   0
Y_Mcqueeney   28 ire  2 26 20 16 16 570 516 475 511  16   0 1473   2   0   0  23  15  13   1   1   0   0   0
V_Hemingsley  29 ire  1 26 20 14 34 730 195 139 916  11   0  938   0   0   0   9  10   4   0   0   2   0   0
R_Roohoo      27 hol  7 25 16  5 31 300 306 106 141  16   1 1495   2   0   0  15  11   4   0   1   2   0   0
C_Burmann     27 swe  7 24 20 13 10 300 727 245 635  16   3 1291   0   0   0  12   9  13   0   0   0   0   0
A_Bonafine    27 ita  3 24 15 11 21 300 538 384 406  16   5 1081   0   0   0  12   7   7   2   0   0   0   0
R_Song        28 cam  8 23 13  4 24 300 624 255 546   6   5  275   0   0   0   0   0   1   0   0   0   0   0
I_Fullington  23 aus  1 18  7  4 60 300 257 797 762   0   0    0   0   0   0   0   0   0   0   0   0   0   0
C_Bochum      28 nig  1 18  6  3 48 390 862 290 659   0   0    0   0   0   0   0   0   0   0   0   0   0   0
W_Jewell      29 nzl  1  8 26  8 34 570 107 739 724  13   5  819   0   0   0   2  11   1   0   1   0   0   0
V_Eldridge    28 eng  1  3 26 17 21 335 882  91 654  16   0 1473   3   0   0   7  21  29   6   1   2   0   0
J_Parlantini  29 usa  5 16 25 16 34 300 443 485  31  12   0 1103   0   0   0   8  13  13   1   2   4   0   0
N_Moore       27 nzl  7 16 24 16 34 450 733 690 569  14   0 1358   0   0   0  13  16  18   1   1   2   0   0
R_Bekahvic    26 cze  1  2 22 15 27 300 330 153 483   9   8  391   0   0   0   0   8   7   0   0   0   0   0
N_Lustermann  24 cze  1 11 17  3 36 300 520 523 277   0   0    0   0   0   0   0   0   0   0   0   0   0   0
P_Hatteras    26 rsa  5 10 13 25 20 350 551 992 306  15  13  469   0   0   0   2   6  21   3   0   2   1   0
N_Liden       28 arg  7  8 16 23 33 300 987 414 356  10   8  401   0   0   0   1   1   7   1   0   2   0   0
E_McDuffie    21 nir  2  6 16 22 17 300 627 480 238  13   0  884   1   0   0   3   3  20   6   0  10   0   0
B_Alberga     22 ita  1  3  7 16 16 300 878 139 481   0   0    0   0   0   0   0   0   0   0   0   0   0   0
