Name         Age Nat St Tk Ps Sh Ag KAb TAb PAb SAb Gam Sub  Min Mom Sav Con Ktk Kps Sht Gls Ass  DP Inj Sus
------------------------------------------------------------------------------------------------------------
O_Thomert     21 fra 16  1  1  1  8 242 300 300 300   0   1    0   0   0   0   0   0   0   0   0   0   0   0
P_Bonner      20 ire 16  1  1  1 53 530 300 300 300  15   0 1425   0  83  28   0   0   0   0   0   0   0   0
F_T_Aitch     20 eng  9 20 11 10 20 300 339 781 878  16   0 1458   1   0   0  14   8  17   3   0   2   0   0
F_Swiper      19 usa  1 18  9  6 10 300 651  71  31  15   0 1408   3   0   0  32   9   5   0   1   2   0   0
D_D_Aitch     18 eng  1 18 11  7 27 300 538 418 706  18   0 1708   0   0   0  22  11  12   0   0   2   0   0
V_Tungate     21 kor  1 16  3  5 50 300 617 129 257  12   0 1115   0   0   0  16   2   3   0   0   2   0   0
Y_Akright     21 wal  1 16  7  3 49 300 972 221 792  11   0  951   0   0   0  13   9   6   1   0   2   2   0
W_Silva       18 spa  1 16  2  5 23 300 314 620 322   2   1  158   0   0   0   5   0   0   0   0   0   0   0
O_Kleboe      17 gre  1 15  2  6 32 300 890 125 122   5   3  300   0   0   0   2   0   2   0   0   0   0   0
M_Laudrup     20 den  1 12 20 12 29 300 594 587 765  17   0 1591   0   0   0   8  33  20   2   1   2   0   0
P_Gilbough    19 arg  1 12 19 12 16 300 685 921 931  18   0 1708   2   0   0  10  38  14   1   2   4   0   0
G_Thomas      20 eng  1 10 17  5 14 300 779 842 496   6   1  434   0   0   0   3   6   3   0   2  10   0   0
U_Gerty       19 cro  1  3 17  3 33 300 247 636 226   0   0    0   0   0   0   0   0   0   0   0   0   0   0
W_Skeels      18 ire  1  5 17  2 25 300 448 376 638   0   0    0   0   0   0   0   0   0   0   0   0   0   0
S_Rodger      19 eng  1  8 17  8 27 300 652 186 230   0   0    0   0   0   0   0   0   0   0   0   0   0   0
Q_Claspill    18 nig  1  4 17  2 33 300 626 212 650   1   1   81   0   0   0   0   2   0   0   0   2   0   0
F_Meister     16 eng  1  2 16  9 51 300 764 593 415  15   0 1308   0   0   0   1  28  19   2   1  20   0   0
D_Scott       17 usa  1  2 16  1 25 300  18 454 731   0   0    0   0   0   0   0   0   0   0   0   0   0   0
R_L_Aitch     16 eng  1  2 16  8 21 300 919 214 810  17   0 1590   0   0   0   1  24  13   3   3  12   0   0
M_Dalvechio   19 ita  1  8  3 19 11 300 882 115 265  18   0 1708   1   0   0   5   2  51   7   0   0   0   0
B_Alberga     21 ita  1  3  7 16 16 300 878 139 481  12   0 1144   1   0   0   4   3  37   4   0   0   0   0
S_Berenson    17 usa  1  2  6 15 43 300 908 363 264   0   0    0   0   0   0   0   0   0   0   0   0   0   0
