Name         Age Nat St Tk Ps Sh Ag KAb TAb PAb SAb Gam Sub  Min Mom Sav Con Ktk Kps Sht Gls Ass  DP Inj Sus
------------------------------------------------------------------------------------------------------------
J_Richmond    20 usa 23  1  1  1 44 165 690 690 690  12   0 1137   0  90  30   0   0   0   0   0   0   0   0
Roberto_Verde 24 mex 22  1  1  1 29 395 690 690 690   0   0    0   0   0   0   0   0   0   0   0   0   0   0
C_Ungry       28 rus 19  1  1  1 36 461 780 720 900   0   0    0   0   0   0   0   0   0   0   0   0   0   0
T_Weeks       31 eng  4 25 16 15 18 690 547 865 565  10   5  688   0   0   0   4  10   9   1   0   0   0   0
C_Veloso      24 por  3 24 15 16 30 780 144 715  63  12   0 1117   0   0   0  26  10  12   0   1   4   0   0
A_Vadnais     21 uru  9 22 18 16 36 714 619  41 758   8   0  672   1   0   0   7   5   9   2   1   0   1   0
E_Blum        22 uru  7 22 18 12 21 690 360 594 246  12   0 1032   0   0   0  15  15  10   0   2   2   0   0
J_Montana     23 usa  1 19  7 14 17 728 707 720 289   4   4  165   0   0   0   2   0   1   0   0   0   0   0
O_Nuxall      23 geo  1 19  4  9 17 420 374 567 697   3   3   75   0   0   0   0   1   0   0   1   0   0   0
L_de_Raado    29 hol  1 17 15  3 23 690 579 409 603   0   0    0   0   0   0   0   0   0   0   0   0   0   0
D_Winton      26 ger  5 17 25 15 28 690 833 779 630  11   0 1016   0   0   0   1  22  19   1   2  14   0   0
C_Sivils      26 nzl  9 10 24 14 21 420 580 762 537  12   0 1137   0   0   0   5  20  15   0   2   0   0   0
JJ_Massey     22 mex  2  9 24 17 37 690 761 413 857  12   0  974   1   0   0   2  25  10   3   2   4   0   0
M_Yakes       23 por  3  7 23 11 12 690 126 308 499  12   1  961   0   0   0   5  19  14   0   1   2   0   0
S_Gates       23 arg  1 13 22 15 12 550 520 252 651  12   0 1137   0   0   0   7  19  15   2   1   0   0   0
J_Bucyk       23 cze  1 16 18  5 58 690  78 792 784   1   1    3   0   0   0   0   0   0   0   0   0   0   0
Valenceney    33 URU  1  4 13 24 15 690 308 900 584   8   6  246   0   0   0   0   0  10   1   0   2   0   0
L_Blunk       23 mex  1  3 10 23 39 690 997  15 931  10   0  728   0   0   0   0   1  24   4   0   0   0   0
Lillian       24 mex  3  7 15 22 42 690 835 463 827  12   0 1137   0   0   0   0   5  31   6   0   2   0   0
K_Sutley      24 uru  1 17 17 19 10 690 253 767 216   3   2  257   0   0   0   1   9   4   0   0   0   0   0
U_Abubakar    24 cam  1  3  9 19 34 420 772 935 331   0   0    0   0   0   0   0   0   0   0   0   0   0   0
U_Juliano     23 uru  1  3  7 18 42 715 702 839 957   0   0    0   0   0   0   0   0   0   0   0   0   0   0
E_Balesky     22 geo  1  8  4 18 41 420 727 736 545   0   0    0   0   0   0   0   0   0   0   0   0   0   0
