Name         Age Nat St Tk Ps Sh Ag KAb TAb PAb SAb Gam Sub  Min Mom Sav Con Ktk Kps Sht Gls Ass  DP Inj Sus
------------------------------------------------------------------------------------------------------------
S_Knesl       19 rsa 20  1  1  1 17 821 300 300 660  15   0 1422   0  81  21   0   0   0   0   0   0   0   0
S_Miley       20 nzl 18  1  1  1  8 376 300 300 660   0   0    0   0   0   0   0   0   0   0   0   0   0   0
G_McPhie      19 sco 18  1  1  1 33 360 300 300 660   0   0    0   0   0   0   0   0   0   0   0   0   0   0
E_Farver      20 den  1 20  3  6 20 480 266 842 727  15   0 1422   1   0   0  26   4  11   2   0   0   0   0
L_Smithwick   19 eng  1 19  4  4  8 480 445 925  18  14   3 1153   1   0   0  22   4   3   0   0   4   0   0
K_Tiffie      20 rsa  1 17  4  7 36 480 442 141 287   0   0    0   0   0   0   0   0   0   0   0   0   0   0
M_Larsen      19 den  1 17  5  4 22 480 973 452 690   2   2   38   0   0   0   0   0   0   0   0   0   0   0
T_MacCurrach  18 ire  1 17 14  8 66 300 686 823 618  14   0 1281   1   0   0  23  19  10   1   0  18   0   0
H_Dinesen     18 den  1 17  3  9 41 480 108 315 227   0   0    0   0   0   0   0   0   0   0   0   0   0   0
M_Hallford    18 aus  1 17  5  6 13 300  22 799 542   0   0    0   0   0   0   0   0   0   0   0   0   0   0
U_Halsey      17 aus  1 16  6 13 45 300 290 759 682  14   0 1173   0   0   0  15   4  19   2   0  10   0   0
J_Sexton      21 ire  1 16 19  5 27 590 192 908 787  14   0 1313   0   0   0   6  13   9   0   1   4   0   0
I_Wargo       20 ita  6 11 19 10 15 300 457 630 369  10   0  942   0   0   0   5  16  16   0   0   2   0   0
R_Herrimen    19 wal  1  2 19  3 16 480 555 676 917  15   0 1380   0   0   0   0  26   4   1   4   0   0   0
I_Kerk        21 rsa  1  4 18  5 24 480 344 536 934   2   1  118   0   0   0   0   3   1   0   0   0   0   0
Ji_Parana     20 bra  1  5 18  6 59 480 958 282 663  10   6  460   0   0   0   3   8   4   1   1   0   0   0
K_Berg        19 den  1  3 18  5 17 480  74 536 600  10   4  545   0   0   0   0   7   3   0   0   2   0   0
S_Ugarte      17 spa  4  5 18  6 25 450 788 295 798  11   0  979   1   0   0   3  18  10   1   2   0   0   0
D_Wise        19 eng  1  3 17  7 30 480 605 806 857   0   0    0   0   0   0   0   0   0   0   0   0   0   0
G_Hallauer    17 den  1  5 16 11 10 300 698 661 673  15   0 1384   2   0   0   6  20  18   1   3   0   0   0
T_Leatt       21 den  1  6  3 18 10 480 406  24 987   9   8  228   0   0   0   2   0   4   1   0   0   0   0
I_Colinger    18 rsa  1  3  3 18 11 480 111 448  88  14   0 1146   0   0   0   0   1  34   3   0   2   0   0
I_Palorici    16 ita  1  9  3 14 66 300 512 447 939  11   6  562   0   0   0   2   0  10   0   0   2   0   0
